"","numid|f","X|f","Word|s","Unnamed|f","FREQcount|f","Cdcount|f","FREQlow|f","Cdlow|f","SUBLTLWF|f","Lg10WF|f","SUBTLCD|f","Lg10CD|f","Dom_PoS_SUBTLEX|f","Freq_dom_PoS_SUBTLEX|f","Percentage_dom_PoS|f","Zipfvalue|f","cmu_sylls|f","BF_TP|f","LEN_L|f","N|f","Zipfvalue_incl|f","Zipfvalue_cat|s"
"2",12881,12880,"perk",47368,72,63,58,55,1.411764706,1.86332286,0.751072961,1.806179974,"Noun",46,0.630136986,3.155157002,1,18,4,7,1,"low"
"4",18313,18312,"trough",67916,72,58,70,56,1.411764706,1.86332286,0.691463996,1.770852012,"Noun",72,1,3.155157002,1,36,6,1,1,"low"
"6",5616,5615,"eel",20722,73,52,64,50,1.431372549,1.86923172,0.619933238,1.72427587,"Noun",72,1,3.161065862,1,1.5,3,1,1,"low"
"8",7235,7234,"gauze",26843,73,56,63,51,1.431372549,1.86923172,0.66762041,1.755874856,"Noun",54,0.739726027,3.161065862,1,14.25,5,2,1,"low"
"10",18113,18112,"tract",67153,73,56,71,54,1.431372549,1.86923172,0.66762041,1.755874856,"Noun",70,0.95890411,3.161065862,1,41.75,5,3,1,"low"
"12",7432,7431,"gloss",27566,74,65,74,65,1.450980392,1.875061263,0.774916547,1.819543936,"Noun",64,0.853333333,3.166895406,1,29.5,5,4,1,"low"
"14",16225,16224,"sloth",59952,74,24,26,18,1.450980392,1.875061263,0.286123033,1.397940009,"Noun",74,1,3.166895406,1,40,5,3,1,"low"
"16",9640,9639,"lag",36143,75,60,71,57,1.470588235,1.880813592,0.715307582,1.785329835,"Noun",62,0.826666667,3.172647734,1,10.5,3,22,1,"low"
"18",13880,13879,"prune",50923,75,62,62,52,1.470588235,1.880813592,0.739151168,1.799340549,"Noun",41,0.546666667,3.172647734,1,30.5,5,2,1,"low"
"20",18645,18644,"vale",70703,75,19,5,5,1.470588235,1.880813592,0.226514068,1.301029996,"Noun",44,0.586666667,3.172647734,1,25.33,4,12,1,"low"
"22",7395,7394,"gland",27419,77,54,76,53,1.509803922,1.892094603,0.643776824,1.740362689,"Noun",77,1,3.183928745,1,37.75,5,3,1,"low"
"24",11431,11430,"mound",41872,77,47,77,47,1.509803922,1.892094603,0.560324273,1.681241237,"Noun",77,1,3.183928745,1,40,5,9,1,"low"
"26",16343,16342,"sob",60519,77,75,57,56,1.509803922,1.892094603,0.894134478,1.880813592,"Noun",57,0.74025974,3.183928745,1,9,3,18,1,"low"
"28",6332,6331,"feat",23776,78,70,76,69,1.529411765,1.897627091,0.834525513,1.851258349,"Noun",78,1,3.189461233,1,31.67,4,12,1,"low"
"30",12790,12789,"peer",46999,78,63,70,56,1.529411765,1.897627091,0.751072961,1.806179974,"Noun",49,0.628205128,3.189461233,1,26.67,4,11,1,"low"
"32",15109,15108,"rut",55994,78,44,74,42,1.529411765,1.897627091,0.524558894,1.653212514,"Noun",73,0.935897436,3.189461233,1,8,3,17,1,"low"
"33",8188,8187,"hedge",29985,79,58,73,54,1.549019608,1.903089987,0.691463996,1.770852012,"Noun",66,0.835443038,3.194924129,1,23.5,5,3,1,"low"
"34",14047,14046,"quad",51533,79,53,53,43,1.549019608,1.903089987,0.631855031,1.73239376,"Noun",77,0.987179487,3.194924129,1,7,4,2,1,"low"
"35",8158,8157,"hearse",29886,81,53,80,52,1.588235294,1.913813852,0.631855031,1.73239376,"Noun",71,0.8875,3.205647995,1,56.6,6,1,1,"low"
"36",12483,12482,"pang",46097,81,31,15,13,1.588235294,1.913813852,0.369575584,1.505149978,"Noun",57,0.703703704,3.205647995,1,35.67,4,13,1,"low"
"37",16706,16705,"stag",61960,81,56,72,48,1.588235294,1.913813852,0.66762041,1.755874856,"Noun",75,0.903614458,3.205647995,1,8.67,4,7,1,"low"
"38",19525,19524,"yarn",73860,81,60,78,59,1.588235294,1.913813852,0.715307582,1.785329835,"Noun",81,1,3.205647995,1,28,4,7,1,"low"
"39",3500,3499,"coil",12447,82,61,82,61,1.607843137,1.919078092,0.727229375,1.792391689,"Noun",75,0.914634146,3.210912235,1,21.67,4,7,1,"low"
"40",7297,7296,"gent",27016,82,64,76,60,1.607843137,1.919078092,0.762994754,1.812913357,"Noun",82,1,3.210912235,1,19.67,4,10,1,"low"
"41",7397,7396,"glare",27423,82,72,80,71,1.607843137,1.919078092,0.858369099,1.86332286,"Noun",62,0.756097561,3.210912235,1,44.75,5,4,1,"low"
"42",13175,13174,"plaid",48442,82,72,76,67,1.607843137,1.919078092,0.858369099,1.86332286,"Noun",82,1,3.210912235,1,35.5,5,2,1,"low"
"43",13406,13405,"pong",49108,82,34,18,16,1.607843137,1.919078092,0.405340963,1.544068044,"Noun",46,0.56097561,3.210912235,1,29,4,8,1,"low"
"44",14052,14051,"quake",51575,82,48,47,35,1.607843137,1.919078092,0.572246066,1.69019608,"Noun",81,0.987804878,3.210912235,1,16.25,5,0,1,"low"
"45",7257,7256,"gel",26916,83,67,80,65,1.62745098,1.924279286,0.798760134,1.832508913,"Noun",77,0.927710843,3.216113428,1,3.5,3,6,1,"low"
"46",8686,8685,"hymn",31726,83,62,63,49,1.62745098,1.924279286,0.739151168,1.799340549,"Noun",82,1,3.216113428,1,1.33,4,0,1,"low"
"47",8689,8688,"hype",31734,83,61,79,59,1.62745098,1.924279286,0.727229375,1.792391689,"Noun",83,1,3.216113428,1,6.67,4,2,1,"low"
"48",9724,9723,"lark",36384,83,54,61,45,1.62745098,1.924279286,0.643776824,1.740362689,"Noun",69,0.831325301,3.216113428,1,36,4,9,1,"low"
"49",10690,10689,"mast",39380,83,57,70,49,1.62745098,1.924279286,0.679542203,1.763427994,"Noun",83,1,3.216113428,1,34.67,4,16,1,"low"
"50",7578,7577,"graft",28057,84,49,79,48,1.647058824,1.929418926,0.584167859,1.698970004,"Noun",71,0.845238095,3.221253068,1,36.5,5,3,1,"low"
"51",10505,10504,"malt",38788,84,66,73,61,1.647058824,1.929418926,0.78683834,1.826074803,"Noun",84,1,3.221253068,1,29.67,4,7,1,"low"
"52",12191,12190,"ore",44813,84,43,83,42,1.647058824,1.929418926,0.512637101,1.643452676,"Noun",81,1,3.221253068,1,3,3,7,1,"low"
"53",7008,7007,"fringe",26040,85,69,71,63,1.666666667,1.934498451,0.82260372,1.84509804,"Noun",85,1,3.226332593,1,52,6,2,1,"low"
"54",15100,15099,"ruse",55955,85,72,85,72,1.666666667,1.934498451,0.858369099,1.86332286,"Noun",85,1,3.226332593,1,20.67,4,9,1,"low"
"55",17008,17007,"strife",62966,85,67,63,55,1.666666667,1.934498451,0.798760134,1.832508913,"Noun",84,1,3.226332593,1,48,6,4,1,"low"
"56",6619,6618,"flan",24625,86,11,39,10,1.68627451,1.939519253,0.131139723,1.079181246,"Noun",86,1,3.231353395,1,20.67,4,8,1,"low"
"57",9292,9291,"jive",34919,86,64,77,58,1.68627451,1.939519253,0.762994754,1.812913357,"Noun",59,0.686046512,3.231353395,1,10,4,5,1,"low"
"58",9718,9717,"lard",36364,86,65,68,59,1.68627451,1.939519253,0.774916547,1.819543936,"Noun",82,0.953488372,3.231353395,1,36,4,11,1,"low"
"59",10295,10294,"louse",38018,86,63,84,62,1.68627451,1.939519253,0.751072961,1.806179974,"Noun",87,1,3.231353395,1,42.25,5,6,1,"low"
"60",9280,9279,"jig",34846,87,62,80,58,1.705882353,1.944482672,0.739151168,1.799340549,"Noun",81,0.931034483,3.236316814,1,5,3,11,1,"low"
"61",12646,12645,"paste",46591,87,71,81,65,1.705882353,1.944482672,0.846447306,1.857332496,"Noun",66,0.75862069,3.236316814,1,41,5,8,1,"low"
"62",13528,13527,"pouch",49516,87,57,87,57,1.705882353,1.944482672,0.679542203,1.763427994,"Noun",85,0.977011494,3.236316814,1,41.25,5,5,1,"low"
"63",7211,7210,"gasp",26765,88,60,82,55,1.725490196,1.949390007,0.715307582,1.785329835,"Noun",45,0.505617978,3.241224149,1,20.67,4,3,1,"low"
"64",8475,8474,"hoof",30994,88,60,80,56,1.725490196,1.949390007,0.715307582,1.785329835,"Noun",62,0.704545455,3.241224149,1,27.67,4,7,1,"low"
"65",19490,19489,"writ",73703,88,61,85,59,1.725490196,1.949390007,0.727229375,1.792391689,"Noun",75,0.852272727,3.241224149,1,13.33,4,3,1,"low"
"66",6263,6262,"farce",23544,89,68,88,67,1.745098039,1.954242509,0.810681927,1.838849091,"Noun",89,1,3.246076652,1,35.75,5,1,1,"low"
"67",6611,6610,"flake",24598,89,68,84,65,1.745098039,1.954242509,0.810681927,1.838849091,"Noun",67,0.752808989,3.246076652,1,35.75,5,4,1,"low"
"68",6736,6735,"fluke",25036,89,65,80,61,1.745098039,1.954242509,0.774916547,1.819543936,"Noun",89,1,3.246076652,1,25.25,5,2,1,"low"
"69",9855,9854,"leech",36769,89,50,56,40,1.745098039,1.954242509,0.596089652,1.707570176,"Noun",57,0.640449438,3.246076652,1,35.75,5,2,1,"low"
"70",15157,15156,"sage",56148,89,63,57,49,1.745098039,1.954242509,0.751072961,1.806179974,"Noun",77,0.875,3.246076652,1,17,4,12,1,"low"
"71",18980,18979,"wad",71752,89,77,80,72,1.745098039,1.954242509,0.917978064,1.892094603,"Noun",90,1,3.246076652,1,9,3,17,1,"low"
"72",19237,19236,"whirl",72722,89,72,85,70,1.745098039,1.954242509,0.858369099,1.86332286,"Noun",74,0.831460674,3.246076652,1,23.25,5,1,1,"low"
"73",16284,16283,"snail",60234,90,54,82,49,1.764705882,1.959041392,0.643776824,1.740362689,"Noun",89,0.988888889,3.250875534,1,19.25,5,1,1,"low"
"74",18315,18314,"troupe",67921,90,54,77,50,1.764705882,1.959041392,0.643776824,1.740362689,"Noun",79,0.877777778,3.250875534,1,35.8,6,0,1,"low"
"75",3386,3385,"clot",12064,92,61,91,60,1.803921569,1.968482949,0.727229375,1.792391689,"Noun",77,0.836956522,3.260317091,1,18,4,6,1,"low"
"76",4257,4256,"crumb",15475,92,63,64,60,1.803921569,1.968482949,0.751072961,1.806179974,"Noun",92,1,3.260317091,1,25,5,0,1,"low"
"77",17149,17148,"suede",63552,92,53,88,51,1.803921569,1.968482949,0.631855031,1.73239376,"Noun",92,1,3.260317091,1,16.75,5,1,1,"low"
"78",391,390,"amp",1977,93,73,73,60,1.823529412,1.973127854,0.870290892,1.86923172,"Noun",92,1,3.264961996,1,1.5,3,1,1,"low"
"79",13930,13929,"pulp",51173,93,82,74,66,1.823529412,1.973127854,0.977587029,1.919078092,"Noun",85,0.934065934,3.264961996,1,15,4,3,1,"low"
"80",16510,16509,"spawn",61144,93,56,68,54,1.823529412,1.973127854,0.66762041,1.755874856,"Noun",58,0.630434783,3.264961996,1,23.75,5,0,1,"low"
"81",1157,1156,"bane",4674,94,34,24,22,1.843137255,1.977723605,0.405340963,1.544068044,"Noun",88,0.936170213,3.269557747,1,36.67,4,18,1,"low"
"82",2188,2187,"brow",8107,94,78,94,78,1.843137255,1.977723605,0.929899857,1.897627091,"Noun",94,1,3.269557747,1,13.33,4,5,1,"low"
"83",6763,6762,"foe",25136,94,76,91,75,1.843137255,1.977723605,0.906056271,1.886490725,"Noun",92,1,3.269557747,1,5.5,3,11,1,"low"
"84",13943,13942,"pun",51222,94,85,82,75,1.843137255,1.977723605,1.013352408,1.934498451,"Noun",86,0.924731183,3.269557747,1,7.5,3,16,1,"low"
"85",16149,16148,"slab",59634,94,66,72,63,1.843137255,1.977723605,0.78683834,1.826074803,"Noun",94,1,3.269557747,1,17,4,8,1,"low"
"86",16219,16218,"slop",59932,94,72,85,68,1.843137255,1.977723605,0.858369099,1.86332286,"Noun",64,0.680851064,3.269557747,1,18.67,4,11,1,"low"
"87",16361,16360,"sod",60588,94,73,65,53,1.843137255,1.977723605,0.870290892,1.86923172,"Noun",47,0.505376344,3.269557747,1,8.5,3,16,1,"low"
"88",16962,16961,"strand",62810,94,64,52,45,1.843137255,1.977723605,0.762994754,1.812913357,"Noun",54,0.574468085,3.269557747,1,51.8,6,0,1,"low"
"89",17268,17267,"surge",64043,94,70,91,68,1.843137255,1.977723605,0.834525513,1.851258349,"Noun",87,0.925531915,3.269557747,1,28.25,5,2,1,"low"
"90",7100,7099,"fuzz",26424,95,71,88,66,1.862745098,1.982271233,0.846447306,1.857332496,"Noun",95,1,3.274105375,1,6,4,2,1,"low"
"91",10176,10175,"lobe",37658,95,69,93,68,1.862745098,1.982271233,0.82260372,1.84509804,"Noun",95,1,3.274105375,1,16.67,4,7,1,"low"
"92",16526,16525,"speck",61213,95,62,58,51,1.862745098,1.982271233,0.739151168,1.799340549,"Noun",90,0.947368421,3.274105375,1,30.75,5,2,1,"low"
"93",13276,13275,"plow",48710,96,73,87,67,1.882352941,1.986771734,0.870290892,1.86923172,"Noun",59,0.614583333,3.278605876,1,15.33,4,9,1,"low"
"94",16742,16741,"stance",62056,96,73,93,73,1.882352941,1.986771734,0.870290892,1.86923172,"Noun",95,1,3.278605876,1,55,6,1,1,"low"
"95",17065,17064,"stun",63137,96,67,83,61,1.882352941,1.986771734,0.798760134,1.832508913,"Noun",61,0.635416667,3.278605876,1,6.67,4,4,1,"low"
"96",2272,2271,"bulk",8356,97,91,89,83,1.901960784,1.991226076,1.084883166,1.963787827,"Noun",81,0.835051546,3.283060218,1,18.67,4,7,1,"low"
"97",10654,10653,"mart",39266,97,58,21,19,1.901960784,1.991226076,0.691463996,1.770852012,"Noun",49,0.515789474,3.283060218,1,36.33,4,13,1,"low"
"98",11466,11465,"muck",41987,97,81,92,79,1.901960784,1.991226076,0.965665236,1.913813852,"Noun",97,1,3.283060218,1,23.33,4,14,1,"low"
"99",16631,16630,"spouse",61644,97,80,96,79,1.901960784,1.991226076,0.953743443,1.908485019,"Noun",97,1,3.283060218,1,37,6,0,1,"low"
"100",4493,4492,"dart",16251,98,71,91,66,1.921568627,1.995635195,0.846447306,1.857332496,"Noun",84,0.857142857,3.287469337,1,33,4,12,1,"low"
"101",9738,9737,"latch",36436,98,73,80,63,1.921568627,1.995635195,0.870290892,1.86923172,"Noun",56,0.565656566,3.287469337,1,42.25,5,7,1,"low"
"102",11525,11524,"muse",42255,98,58,91,55,1.921568627,1.995635195,0.691463996,1.770852012,"Noun",93,0.911764706,3.287469337,1,19.33,4,7,1,"low"
"103",17830,17829,"thud",66187,99,72,68,52,1.941176471,2,0.858369099,1.86332286,"Noun",80,0.816326531,3.291834142,1,8.67,4,2,1,"low"
"104",18609,18608,"urn",70533,99,46,88,43,1.941176471,2,0.54840248,1.672097858,"Noun",88,0.888888889,3.291834142,1,1,3,0,1,"low"
"105",5192,5191,"dome",19417,100,74,82,61,1.960784314,2.004321374,0.882212685,1.875061263,"Noun",97,0.97979798,3.296155516,1,18.67,4,12,1,"low"
"106",7130,7129,"gall",26526,101,82,92,77,1.980392157,2.008600172,0.977587029,1.919078092,"Noun",87,0.861386139,3.300434314,1,34.67,4,14,1,"low"
"107",11331,11330,"moor",41611,101,23,82,14,1.980392157,2.008600172,0.27420124,1.380211242,"Noun",105,0.972222222,3.300434314,1,26.33,4,6,1,"low"
"108",16489,16488,"span",61060,101,86,95,81,1.980392157,2.008600172,1.025274201,1.939519253,"Noun",74,0.74,3.300434314,1,11.67,4,6,1,"low"
"109",3973,3972,"cot",14529,102,76,97,73,2,2.012837225,0.906056271,1.886490725,"Noun",102,1,3.304671367,1,11.5,3,24,1,"low"
"110",167,166,"aide",1278,103,81,87,70,2.019607843,2.017033339,0.965665236,1.913813852,"Noun",103,1,3.308867481,1,13.67,4,8,1,"low"
"111",4202,4201,"crock",15295,103,80,98,77,2.019607843,2.017033339,0.953743443,1.908485019,"Noun",102,0.990291262,3.308867481,1,43.5,5,6,1,"low"
"112",7416,7415,"glitch",27507,103,77,102,76,2.019607843,2.017033339,0.917978064,1.892094603,"Noun",98,0.951456311,3.308867481,1,31.2,6,0,1,"low"
"113",7801,7800,"guild",28755,103,53,14,11,2.019607843,2.017033339,0.631855031,1.73239376,"Noun",100,0.970873786,3.308867481,1,24.5,5,3,1,"low"
"114",1092,1091,"bale",4528,104,23,71,18,2.039215686,2.021189299,0.27420124,1.380211242,"Noun",87,0.836538462,3.313023441,1,33,4,21,1,"low"
"115",2177,2176,"brook",8083,104,70,70,48,2.039215686,2.021189299,0.834525513,1.851258349,"Noun",61,0.59223301,3.313023441,1,35.25,5,3,1,"low"
"116",13189,13188,"plank",48479,104,63,84,58,2.039215686,2.021189299,0.751072961,1.806179974,"Noun",95,0.913461538,3.313023441,1,40.75,5,8,1,"low"
"117",8068,8067,"haste",29628,106,79,103,77,2.078431373,2.029383778,0.94182165,1.903089987,"Noun",96,0.888888889,3.32121792,1,37,5,6,1,"low"
"118",13204,13203,"plaque",48502,106,65,102,63,2.078431373,2.029383778,0.774916547,1.819543936,"Noun",106,1,3.32121792,1,29.2,6,1,1,"low"
"119",14072,14071,"quart",51629,106,77,100,74,2.078431373,2.029383778,0.917978064,1.892094603,"Noun",105,1,3.32121792,1,28,5,0,1,"low"
"120",18224,18223,"trend",67604,106,79,84,76,2.078431373,2.029383778,0.94182165,1.903089987,"Noun",87,0.836538462,3.32121792,1,33,5,1,1,"low"
"121",1342,1341,"beak",5204,107,88,100,85,2.098039216,2.033423755,1.049117787,1.949390007,"Noun",108,1,3.325257898,1,30.67,4,11,1,"low"
"122",1654,1653,"blaze",6468,107,77,88,72,2.098039216,2.033423755,0.917978064,1.892094603,"Noun",80,0.747663551,3.325257898,1,30,5,5,1,"low"
"123",4163,4162,"crest",15150,107,67,69,50,2.098039216,2.033423755,0.798760134,1.832508913,"Noun",97,0.906542056,3.325257898,1,37.5,5,5,1,"low"
"124",4285,4284,"cub",15588,107,68,38,27,2.098039216,2.033423755,0.810681927,1.838849091,"Noun",104,0.971962617,3.325257898,1,6.5,3,13,1,"low"
"125",17005,17004,"stride",62957,107,68,75,67,2.098039216,2.033423755,0.810681927,1.838849091,"Noun",76,0.703703704,3.325257898,1,53,6,5,1,"low"
"126",18858,18857,"vine",71374,107,80,78,62,2.098039216,2.033423755,0.953743443,1.908485019,"Noun",104,0.981132075,3.325257898,1,31,4,15,1,"low"
"127",2053,2052,"brawl",7700,108,88,106,86,2.117647059,2.037426498,1.049117787,1.949390007,"Noun",96,0.897196262,3.32926064,1,34.5,5,4,1,"low"
"128",6747,6746,"flute",25078,108,71,100,65,2.117647059,2.037426498,0.846447306,1.857332496,"Noun",108,1,3.32926064,1,32.75,5,1,1,"low"
"129",17427,17426,"tack",64700,108,73,90,67,2.117647059,2.037426498,0.870290892,1.86923172,"Noun",60,0.555555556,3.32926064,1,30,4,15,1,"low"
"130",17875,17874,"tile",66378,108,78,105,78,2.117647059,2.037426498,0.929899857,1.897627091,"Noun",104,0.962962963,3.32926064,1,29.33,4,13,1,"low"
"131",1760,1759,"blur",6818,109,94,101,87,2.137254902,2.041392685,1.120648546,1.977723605,"Noun",89,0.824074074,3.333226827,1,12.33,4,2,1,"low"
"132",4859,4858,"dew",17879,109,69,57,47,2.137254902,2.041392685,0.82260372,1.84509804,"Noun",105,0.963302752,3.333226827,1,4.5,3,7,1,"low"
"133",14864,14863,"rink",55195,109,58,85,52,2.137254902,2.041392685,0.691463996,1.770852012,"Noun",104,0.95412844,3.333226827,1,30.67,4,11,1,"low"
"134",16638,16637,"spree",61675,109,83,98,80,2.137254902,2.041392685,0.989508822,1.924279286,"Noun",101,0.935185185,3.333226827,1,31.5,5,1,1,"low"
"135",1767,1766,"boar",6846,111,60,93,55,2.176470588,2.049218023,0.715307582,1.785329835,"Noun",111,1,3.341052165,1,26.33,4,5,1,"low"
"136",11868,11867,"noose",43662,111,89,111,89,2.176470588,2.049218023,1.06103958,1.954242509,"Noun",110,1,3.341052165,1,37.25,5,4,1,"low"
"137",16105,16104,"skid",59494,111,74,79,58,2.176470588,2.049218023,0.882212685,1.875061263,"Noun",78,0.702702703,3.341052165,1,8.33,4,6,1,"low"
"138",16257,16256,"smear",60085,111,90,104,84,2.176470588,2.049218023,1.072961373,1.959041392,"Noun",69,0.621621622,3.341052165,1,22,5,3,1,"low"
"139",16316,16315,"snob",60367,111,86,103,82,2.176470588,2.049218023,1.025274201,1.939519253,"Noun",94,0.862385321,3.341052165,1,6,4,5,1,"low"
"140",19550,19549,"yikes",73977,111,92,14,13,2.176470588,2.049218023,1.096804959,1.968482949,"Noun",99,0.916666667,3.341052165,1,67,5,4,1,"low"
"141",7230,7229,"gauge",26830,112,92,111,91,2.196078431,2.053078443,1.096804959,1.968482949,"Noun",102,0.910714286,3.344912586,1,24.5,5,2,1,"low"
"142",7520,7519,"goof",27858,113,70,80,64,2.215686275,2.056904851,0.834525513,1.851258349,"Noun",55,0.486725664,3.348738993,1,24.33,4,6,1,"low"
"143",7758,7757,"grunt",28658,113,87,104,84,2.215686275,2.056904851,1.037195994,1.944482672,"Noun",62,0.548672566,3.348738993,1,36.75,5,3,1,"low"
"144",16837,16836,"stench",62329,113,91,101,90,2.215686275,2.056904851,1.084883166,1.963787827,"Noun",113,1,3.348738993,1,46.8,6,0,1,"low"
"145",3473,3472,"cod",12323,114,70,34,25,2.235294118,2.06069784,0.834525513,1.851258349,"Noun",66,0.578947368,3.352531982,1,11,3,22,1,"low"
"146",13292,13291,"plunge",48759,114,101,108,96,2.235294118,2.06069784,1.204101097,2.008600172,"Noun",61,0.535087719,3.352531982,1,33.2,6,0,1,"low"
"147",16835,16834,"stem",62322,114,95,112,93,2.235294118,2.06069784,1.132570339,1.982271233,"Noun",83,0.728070175,3.352531982,1,7.67,4,4,1,"low"
"148",17485,17484,"tang",64917,114,68,12,12,2.235294118,2.06069784,0.810681927,1.838849091,"Noun",113,0.99122807,3.352531982,1,32,4,11,1,"low"
"149",3002,3001,"chant",10610,116,82,108,77,2.274509804,2.068185862,0.977587029,1.919078092,"Noun",62,0.52991453,3.360020004,1,42,5,1,1,"low"
"150",6609,6608,"flair",24596,116,88,110,86,2.274509804,2.068185862,1.049117787,1.949390007,"Noun",115,1,3.360020004,1,35.25,5,1,1,"low"
"151",7522,7521,"goon",27877,116,64,67,55,2.274509804,2.068185862,0.762994754,1.812913357,"Noun",99,0.860869565,3.360020004,1,26,4,7,1,"low"
"152",11394,11393,"moth",41781,116,69,91,65,2.274509804,2.068185862,0.82260372,1.84509804,"Noun",114,0.982758621,3.360020004,1,17,4,5,1,"low"
"153",15493,15492,"scroll",57271,116,48,102,39,2.274509804,2.068185862,0.572246066,1.69019608,"Noun",103,0.887931034,3.360020004,1,26.8,6,1,1,"low"
"154",9535,9534,"kite",35739,117,76,113,72,2.294117647,2.071882007,0.906056271,1.886490725,"Noun",117,1,3.363716149,1,19.67,4,6,1,"low"
"155",16202,16201,"sling",59862,117,103,104,92,2.294117647,2.071882007,1.227944683,2.017033339,"Noun",88,0.752136752,3.363716149,1,47.75,5,8,1,"low"
"156",1658,1657,"bleach",6478,118,71,110,70,2.31372549,2.075546961,0.846447306,1.857332496,"Noun",84,0.705882353,3.367381104,1,37.4,6,1,1,"low"
"157",6707,6706,"flop",24932,118,91,117,90,2.31372549,2.075546961,1.084883166,1.963787827,"Noun",87,0.737288136,3.367381104,1,18.33,4,7,1,"low"
"158",15985,15984,"siege",59061,118,91,113,87,2.31372549,2.075546961,1.084883166,1.963787827,"Noun",119,1,3.367381104,1,23.5,5,2,1,"low"
"159",16484,16483,"spade",61046,118,57,55,38,2.31372549,2.075546961,0.679542203,1.763427994,"Noun",92,0.786324786,3.367381104,1,28.5,5,5,1,"low"
"160",18932,18931,"vogue",71593,119,61,24,11,2.333333333,2.079181246,0.727229375,1.792391689,"Noun",118,1,3.371015388,1,11.75,5,2,1,"low"
"161",19159,19158,"wedge",72347,119,97,107,90,2.333333333,2.079181246,1.156413925,1.991226076,"Noun",91,0.764705882,3.371015388,1,21.5,5,3,1,"low"
"162",19229,19228,"whim",72682,119,96,117,96,2.333333333,2.079181246,1.144492132,1.986771734,"Noun",119,1,3.371015388,1,11,4,5,1,"low"
"163",19380,19379,"woe",73330,119,86,76,56,2.333333333,2.079181246,1.025274201,1.939519253,"Noun",117,1,3.371015388,1,6,3,11,1,"low"
"164",11936,11935,"nuke",43903,121,70,107,62,2.37254902,2.086359831,0.834525513,1.851258349,"Noun",85,0.702479339,3.378193973,1,9.67,4,3,1,"low"
"165",17532,17531,"tart",65061,122,93,96,79,2.392156863,2.089905111,1.108726753,1.973127854,"Noun",107,0.869918699,3.381739254,1,33,4,12,1,"low"
"166",8371,8370,"hoax",30653,123,82,122,82,2.411764706,2.093421685,0.977587029,1.919078092,"Noun",119,0.967479675,3.385255827,1,17.67,4,1,1,"low"
"167",9646,9645,"lair",36161,123,74,103,72,2.411764706,2.093421685,0.882212685,1.875061263,"Noun",111,0.902439024,3.385255827,1,24.33,4,5,1,"low"
"168",9567,9566,"knob",35844,125,99,118,95,2.450980392,2.100370545,1.180257511,2,"Noun",124,0.992,3.392204687,1,5.33,4,3,1,"low"
"169",14851,14850,"rim",55158,125,95,103,80,2.450980392,2.100370545,1.132570339,1.982271233,"Noun",121,0.975806452,3.392204687,1,5,3,10,1,"low"
"170",17062,17061,"stump",63131,125,80,92,75,2.450980392,2.100370545,0.953743443,1.908485019,"Noun",104,0.832,3.392204687,1,29.5,5,3,1,"low"
"171",7261,7260,"gem",26931,126,90,74,69,2.470588235,2.103803721,1.072961373,1.959041392,"Noun",126,1,3.395637863,1,3.5,3,7,1,"low"
"172",16557,16556,"sphere",61335,126,47,74,39,2.470588235,2.103803721,0.560324273,1.681241237,"Noun",126,1,3.395637863,1,50.4,6,0,1,"low"
"173",2137,2136,"brink",7947,127,110,112,102,2.490196078,2.10720997,1.311397234,2.045322979,"Noun",123,0.968503937,3.399044112,1,52.25,5,7,1,"low"
"174",2237,2236,"buff",8279,127,98,102,87,2.490196078,2.10720997,1.168335718,1.995635195,"Noun",69,0.5390625,3.399044112,1,13.33,4,6,1,"low"
"175",3421,3420,"clutch",12160,127,82,118,78,2.490196078,2.10720997,0.977587029,1.919078092,"Noun",100,0.787401575,3.399044112,1,28.2,6,1,1,"low"
"176",9547,9546,"knack",35781,127,103,126,103,2.490196078,2.10720997,1.227944683,2.017033339,"Noun",127,1,3.399044112,1,25.5,5,2,1,"low"
"177",13362,13361,"poll",48968,127,79,112,70,2.490196078,2.10720997,0.94182165,1.903089987,"Noun",129,0.992307692,3.399044112,1,37.67,4,13,1,"low"
"178",15106,15105,"rust",55972,127,101,112,93,2.490196078,2.10720997,1.204101097,2.008600172,"Noun",77,0.606299213,3.399044112,1,27,4,12,1,"low"
"179",19226,19225,"whiff",72666,127,112,123,109,2.490196078,2.10720997,1.33524082,2.053078443,"Noun",117,0.936,3.399044112,1,21.25,5,0,1,"low"
"180",2096,2095,"brew",7831,128,91,119,85,2.509803922,2.11058971,1.084883166,1.963787827,"Noun",83,0.6484375,3.402423852,1,13,4,6,1,"low"
"181",3376,3375,"clone",12039,128,56,118,51,2.509803922,2.11058971,0.66762041,1.755874856,"Noun",71,0.5546875,3.402423852,1,40.25,5,4,1,"low"
"182",5345,5344,"dread",19877,128,104,110,98,2.509803922,2.11058971,1.239866476,2.021189299,"Noun",67,0.531746032,3.402423852,1,35,5,3,1,"low"
"183",4144,4143,"creed",15096,129,51,51,37,2.529411765,2.113943352,0.608011445,1.716003344,"Noun",124,0.96124031,3.405777494,1,80.75,5,7,1,"low"
"184",7242,7241,"gaze",26869,129,103,110,90,2.529411765,2.113943352,1.227944683,2.017033339,"Noun",126,0.976744186,3.405777494,1,12.67,4,10,1,"low"
"185",14311,14310,"rave",52397,129,89,109,80,2.529411765,2.113943352,1.06103958,1.954242509,"Noun",91,0.705426357,3.405777494,1,20,4,14,1,"low"
