word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
invite-N	11	6	5	2	0	0	0	0	N	
tempter-N	1	7	6	2	0	0	0	0	N	
twentieth-J	20	9	8	3	0	0	0	0	J	
field-V	274	5	4	1	0	0	0	0	V	
audit-N	4	5	4	2	326	371	253	642	N	
composite-N	16	9	8	3	0	0	0	0	N	
case-N	362	4	3	1	553	548	517	311	N	
nature-V	191	6	5	2	535	414	513	342	V	
similar-J	157	7	6	3	554	0	324	0	J	
midst-A	19	5	5	1	0	0	0	0	A	
daring-N	12	6	5	2	0	0	0	0	N	
tell-V	268	4	3	1	596	306	350	0	V	
urgency-N	12	7	6	3	0	0	0	0	N	
lose-V	58	4	3	1	534	299	373	0	V	
ruling-J	24	6	5	2	0	0	0	0	J	
like-R	1290	4	3	1	610	286	352	0	R	
due-N	142	3	3	1	0	0	0	0	N	
humble-J	18	6	5	2	519	231	377	0	J	
molar-N	1	5	4	2	0	0	0	0	N	
schism-N	1	6	5	2	231	0	361	0	N	
game-J	123	4	3	1	574	477	521	242	J	
bold-J	21	4	4	1	0	0	0	0	J	
famous-V	89	6	5	2	556	0	376	0	V	
cannon-V	7	6	5	2	498	604	588	0	V	
small-A	542	5	4	1	616	402	447	0	A	
promote-V	32	7	6	2	0	0	0	0	V	
atrophic-J	3	8	7	3	0	0	0	0	J	
grecian-J	4	7	6	2	0	0	0	0	J	
bottom-V	88	6	5	2	587	0	436	0	V	
design-V	114	6	5	2	538	444	407	403	V	
establish-V	58	9	8	3	0	0	0	0	V	
galley-J	4	6	4	2	0	0	0	0	J	
spine-N	6	5	4	1	0	0	0	0	N	
making-V	255	6	5	2	0	0	0	0	V	
ragged-V	9	6	5	2	0	0	0	0	V	
finish-V	39	6	5	2	617	343	437	300	V	
war-N	464	3	2	1	582	477	551	314	N	
canter-N	1	6	5	2	0	0	0	0	N	
sugar-N	34	5	4	2	608	620	595	0	N	
pear-N	6	4	2	1	567	634	590	0	N	
affection-N	18	9	7	3	513	280	484	467	N	
smart-J	21	5	4	1	602	304	396	0	J	
hamper-V	5	6	5	2	0	0	0	0	V	
unseemly-A	1	8	7	3	0	0	0	0	A	
retrace-V	1	7	6	2	0	0	0	0	V	
posthumous-J	2	10	9	3	0	0	0	0	J	
one-V	3292	3	3	1	613	379	432	0	V	
nominee-N	3	7	6	3	0	0	0	0	N	
pointed-V	74	7	6	2	0	0	0	0	V	
rate-N	209	4	3	1	527	308	311	456	N	
buss-N	1	4	3	1	0	0	0	0	N	
worship-N	36	7	5	2	0	0	0	0	N	
county-N	155	6	5	2	0	0	0	0	N	
section-V	189	7	5	2	0	0	0	0	V	
than-C	1789	4	3	1	545	188	213	0	C	
wink-V	7	4	4	1	521	515	501	0	V	
posture-V	13	7	6	2	0	0	0	0	V	
beat-V	68	4	3	1	536	361	406	0	V	
ideal-J	61	5	4	2	521	253	331	461	J	
famous-J	89	6	5	2	556	0	376	0	J	
turn-V	233	4	3	1	583	359	384	233	V	
kale-N	1	4	3	1	256	558	391	575	N	
deception-N	1	9	8	3	0	0	0	0	N	
without-C	583	7	5	2	577	267	302	0	C	
longing-N	10	7	5	2	0	0	0	0	N	
living-V	194	6	5	2	0	0	0	0	V	
review-N	56	6	5	2	496	388	345	547	N	
dormant-J	5	7	6	2	0	0	0	0	J	
market-V	155	6	5	2	518	551	583	328	V	
muzzle-V	10	6	4	2	369	585	513	461	V	
stock-J	147	5	4	1	0	0	0	0	J	
rape-V	5	4	3	1	555	472	565	0	V	
metier-N	1	6	5	2	0	0	0	0	N	
petted-V	2	6	5	2	0	0	0	0	V	
trial-N	134	5	5	2	509	446	516	433	N	
pretty-N	107	6	5	2	584	341	520	0	N	
namely-A	33	6	5	2	0	0	0	0	A	
eastward-N	4	8	6	2	0	0	0	0	N	
lord-V	93	4	3	1	518	409	482	342	V	
service-V	315	7	5	2	560	364	408	397	V	
ended-V	60	5	5	2	0	0	0	0	V	
without-R	583	7	5	2	577	267	302	0	R	
combing-N	1	7	5	2	0	0	0	0	N	
rare-A	41	4	3	1	559	327	439	0	A	
smack-A	4	5	4	1	511	451	601	0	A	
customer-N	27	8	7	3	549	505	488	369	N	
havoc-V	3	5	5	2	462	338	505	469	V	
cooling-V	41	7	5	2	0	0	0	0	V	
alike-J	20	5	4	2	0	0	0	0	J	
indeed-A	162	6	5	2	0	0	0	0	A	
bottom-N	88	6	5	2	587	0	436	0	N	
meal-N	30	4	3	1	603	602	573	0	N	
skinny-J	9	6	5	2	0	0	0	0	J	
equine-J	1	6	5	2	0	0	0	0	J	
jack-N	92	4	3	1	472	552	460	414	N	
handed-J	38	6	6	2	0	0	0	0	J	
applied-J	106	7	5	2	0	0	0	0	J	
worth-V	94	5	3	1	542	257	275	369	V	
inform-J	7	6	5	2	0	0	0	0	J	
might-N	672	5	3	1	533	271	346	400	N	
