word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
greek-J	61	5	4	1	0	0	0	0	J	
technical-J	120	9	8	3	0	0	0	0	J	
side-N	380	4	3	1	566	394	386	0	N	
wine-V	72	4	3	1	570	621	624	403	V	
creek-N	14	5	4	1	0	0	0	0	N	
station-N	105	7	6	2	548	572	554	300	N	
renal-J	1	5	4	2	0	0	0	0	J	
both-N	730	4	3	1	598	322	298	0	N	
running-V	123	7	5	2	571	444	490	0	V	
manikin-N	1	7	7	3	0	0	0	0	N	
various-J	201	7	6	2	0	0	0	0	J	
division-N	107	8	7	3	518	332	404	417	N	
fillip-N	1	6	5	2	0	0	0	0	N	
scorn-V	4	5	4	1	417	290	364	471	V	
balustrade-N	3	10	9	3	0	0	0	0	N	
parvenu-N	2	7	7	3	0	0	0	0	N	
acetone-N	4	7	6	3	0	0	0	0	N	
supper-V	37	6	5	2	593	563	590	250	V	
lively-J	26	6	5	2	582	0	429	0	J	
system-N	416	6	6	2	588	356	340	461	N	
forward-V	115	7	5	2	596	0	329	0	V	
first-V	1360	5	4	1	590	311	388	0	V	
outside-A	210	7	5	2	607	0	419	0	A	
blink-V	4	5	5	1	450	0	471	0	V	
knotted-V	4	7	5	2	0	0	0	0	V	
week-N	275	4	3	1	577	383	481	0	N	
fine-N	161	4	3	1	560	328	392	0	N	
detergent-N	25	9	8	3	0	0	0	0	N	
effect-V	213	6	5	2	602	295	280	414	V	
cartoon-V	3	7	5	2	0	0	0	0	V	
pension-V	13	7	6	2	0	0	0	0	V	
shot-N	112	4	3	1	531	467	535	0	N	
roof-N	59	4	3	1	552	586	604	0	N	
tradition-V	94	9	7	3	526	291	354	486	V	
hypodermic-J	1	10	9	4	0	0	0	0	J	
o'er-R	1	4	2	2	0	0	0	0	R	
father-N	183	6	4	2	591	594	646	0	N	
cold-V	171	4	4	1	626	457	531	183	V	
minute-N	53	6	6	2	621	361	473	264	N	
self-V	40	4	4	1	604	459	466	328	V	
plus-R	72	4	4	1	0	0	0	0	R	
soon-J	199	4	3	1	547	261	278	0	J	
done-N	320	4	3	1	567	271	346	0	N	
balance-V	90	7	6	2	545	366	429	367	V	
preacher-N	11	8	6	2	0	0	0	0	N	
toilsome-J	1	8	6	2	0	0	0	0	J	
godlike-A	1	7	6	2	0	0	0	0	A	
acting-V	61	6	5	2	0	0	0	0	V	
primary-J	96	7	7	3	497	326	367	297	J	
session-N	80	7	5	2	505	372	394	0	N	
home-V	547	4	3	1	626	539	599	233	V	
longer-A	193	6	4	2	0	0	0	0	A	
went-V	507	4	4	1	594	240	308	0	V	
escape-V	65	6	5	2	524	341	459	353	V	
stay-N	113	4	3	1	573	329	321	0	N	
modern-N	198	6	5	2	579	0	368	0	N	
service-N	315	7	5	2	560	364	408	397	N	
settlement-N	26	10	8	3	482	437	457	478	N	
except-R	181	6	6	2	0	0	0	0	R	
cutting-J	66	7	5	2	0	0	0	0	J	
retired-J	35	7	6	3	0	0	0	0	J	
verdict-N	14	7	6	2	0	0	0	0	N	
outside-R	210	7	5	2	607	0	419	0	R	
wanting-J	16	7	6	2	0	0	0	0	J	
normal-N	136	6	4	2	602	237	294	375	N	
lagoon-N	15	6	5	2	0	0	0	0	N	
await-N	9	5	4	2	456	0	293	0	N	
tooth-N	20	5	3	1	578	619	624	0	N	
neck-V	81	4	3	1	576	587	622	0	V	
overlap-N	4	7	6	3	472	371	399	444	N	
beyond-A	175	6	6	2	0	0	0	0	A	
perfect-A	58	7	6	2	613	0	404	0	A	
type-N	200	4	3	1	567	376	395	383	N	
table-V	198	5	4	2	599	604	582	0	V	
twenty-J	80	6	6	2	0	0	0	0	J	
runner-J	1	6	5	2	531	0	546	0	J	
assault-V	15	7	5	2	470	410	481	0	V	
morning-J	211	7	5	2	605	515	579	0	J	
massive-J	33	7	5	2	0	0	0	0	J	
contrition-N	1	10	9	3	0	0	0	0	N	
head-J	424	4	3	1	611	603	593	181	J	
maybe-A	134	5	4	2	598	0	222	0	A	
harvest-V	12	7	6	2	466	535	562	322	V	
knew-V	395	4	3	1	557	291	267	0	V	
line-N	298	4	3	1	591	477	491	275	N	
married-J	105	7	5	2	615	0	568	0	J	
from-A	4369	4	4	1	612	197	239	0	A	
nude-N	20	4	4	1	556	0	0	0	N	
quite-A	281	5	4	1	0	0	0	0	A	
crescent-N	2	8	6	2	0	0	0	0	N	
reckon-V	7	6	5	2	0	0	0	0	V	
accent-N	9	6	6	2	0	0	0	0	N	
letter-N	145	6	4	2	610	577	595	256	N	
partner-J	32	7	6	2	555	500	513	344	J	
famous-J	89	6	5	2	556	0	376	0	J	
lunged-V	4	6	5	2	0	0	0	0	V	
some-J	1617	4	3	1	578	286	302	0	J	
common-A	223	6	5	2	595	0	276	0	A	
process-V	196	7	6	2	0	0	0	0	V	
making-V	255	6	5	2	0	0	0	0	V	
