word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
scout-V	8	5	4	1	452	562	578	372	V	
ecstatic-J	4	8	8	3	0	0	0	0	J	
weed-V	1	4	3	1	542	600	596	0	V	
shod-V	2	4	3	1	0	0	0	0	V	
twain-N	1	5	4	1	0	0	0	0	N	
bracket-V	1	7	6	2	0	0	0	0	V	
alarm-V	16	5	4	2	0	0	0	0	V	
gilt-N	3	4	4	1	316	413	390	0	N	
boulder-N	10	7	5	2	495	597	614	0	N	
lustily-A	1	7	7	3	0	0	0	0	A	
worsted-N	2	7	6	2	0	0	0	0	N	
vignette-V	1	8	6	2	0	0	0	0	V	
hither-J	2	6	5	2	0	0	0	0	J	
swarm-N	3	5	4	1	463	406	488	0	N	
unsuitable-J	3	10	9	4	0	0	0	0	J	
maggoty-J	1	7	6	3	0	0	0	0	J	
ratable-J	1	7	6	3	0	0	0	0	J	
wayside-J	2	7	5	2	0	0	0	0	J	
shifty-J	1	6	5	2	0	0	0	0	J	
rondo-N	1	5	5	2	0	0	0	0	N	
beating-N	13	7	5	2	0	0	0	0	N	
canine-N	1	6	5	2	0	0	0	0	N	
heading-V	32	7	5	2	0	0	0	0	V	
punch-N	5	5	5	1	483	548	527	306	N	
corrode-V	1	7	5	2	0	0	0	0	V	
poke-N	1	4	3	1	0	0	0	0	N	
wont-V	2	4	4	1	0	0	0	0	V	
infection-N	8	9	8	3	471	468	487	0	N	
lumbar-J	1	6	5	2	0	0	0	0	J	
biplane-N	2	7	6	2	0	0	0	0	N	
neural-J	3	6	6	2	0	0	0	0	J	
lab-N	3	3	3	1	0	0	0	0	N	
seal-V	17	4	3	1	482	587	563	328	V	
catharsis-N	5	9	7	3	0	0	0	0	N	
recitative-N	2	10	9	4	0	0	0	0	N	
boo-V	1	3	2	1	0	0	0	0	V	
wobble-V	3	6	4	2	0	0	0	0	V	
prey-V	7	4	3	1	443	464	500	439	V	
cleric-J	1	6	6	2	0	0	0	0	J	
burr-J	7	4	3	1	0	0	0	0	J	
feud-N	1	4	4	1	0	0	0	0	N	
tsar-N	1	4	3	1	0	0	0	0	N	
leak-J	2	4	3	1	514	472	545	336	J	
curing-V	1	6	6	2	0	0	0	0	V	
outbreak-N	2	8	6	2	471	358	359	444	N	
whirling-V	10	8	5	2	0	0	0	0	V	
centric-J	1	7	7	2	0	0	0	0	J	
shoddy-N	1	6	4	2	0	0	0	0	N	
procure-V	4	7	6	2	0	0	0	0	V	
hardness-N	2	8	6	2	0	0	0	0	N	
vine-V	4	4	3	1	411	601	564	425	V	
costive-J	1	7	6	2	0	0	0	0	J	
gale-V	2	4	3	1	0	0	0	0	V	
quaver-N	1	6	5	2	0	0	0	0	N	
heed-V	8	4	3	1	0	0	0	0	V	
grind-N	2	5	5	1	486	441	485	0	N	
beguile-V	1	7	5	2	0	0	0	0	V	
unnumbered-J	1	10	8	3	0	0	0	0	J	
fixing-V	11	6	6	2	0	0	0	0	V	
dashing-J	4	7	5	2	0	0	0	0	J	
autopsy-N	3	7	6	3	0	0	0	0	N	
brazier-N	1	7	6	2	0	0	0	0	N	
flatter-J	1	7	6	2	0	0	0	0	J	
impute-V	1	6	6	2	0	0	0	0	V	
possum-V	2	6	5	2	0	0	0	0	V	
motherly-J	1	8	6	3	0	0	0	0	J	
tally-V	4	5	4	2	374	331	308	536	V	
gorge-N	1	5	3	1	0	0	0	0	N	
peal-V	1	4	3	1	451	402	433	0	V	
overpaid-V	1	8	6	3	0	0	0	0	V	
vestige-N	2	7	6	2	0	0	0	0	N	
atrophy-N	4	7	6	3	0	0	0	0	N	
coop-N	3	4	3	1	0	0	0	0	N	
gaudy-N	7	5	4	2	380	0	446	0	N	
export-N	10	6	6	2	0	0	0	0	N	
bonus-N	2	5	5	2	539	0	397	0	N	
bushel-V	1	6	4	2	0	0	0	0	V	
ferret-N	1	6	5	2	0	0	0	0	N	
accede-N	1	6	5	2	0	0	0	0	N	
capitalize-N	4	10	9	4	0	0	0	0	N	
rage-V	16	4	3	1	0	0	0	0	V	
icing-V	1	5	4	2	0	0	0	0	V	
magical-J	12	7	7	3	0	0	0	0	J	
slap-A	2	4	4	1	521	511	542	0	A	
hire-N	15	4	3	2	0	0	0	0	N	
fastens-V	1	7	5	2	0	0	0	0	V	
ramp-N	6	4	4	1	504	538	527	0	N	
slug-V	10	4	4	1	0	0	0	0	V	
ordeal-N	3	6	4	2	0	0	0	0	N	
reject-V	10	6	6	2	0	0	0	0	V	
gamble-V	3	6	5	2	0	0	0	0	V	
footpath-N	1	8	6	2	0	0	0	0	N	
heater-N	14	6	4	2	0	0	0	0	N	
peasant-N	7	7	6	2	422	550	540	419	N	
revise-V	5	6	5	2	0	0	0	0	V	
obverse-N	1	7	5	2	0	0	0	0	N	
bun-N	1	3	3	1	0	0	0	0	N	
outlet-V	9	6	5	2	0	0	0	0	V	
rebound-V	2	7	6	2	0	0	0	0	V	
radial-N	5	6	6	2	0	0	0	0	N	
