word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
demand-N	102	6	6	2	0	0	0	0	N	
reclaim-N	2	7	6	2	0	0	0	0	N	
terrain-J	8	7	5	2	0	0	0	0	J	
resume-V	16	6	6	2	0	0	0	0	V	
greater-J	188	7	6	2	0	0	0	0	J	
understand-V	137	10	9	3	0	0	0	0	V	
like-N	1290	4	3	1	610	286	352	0	N	
over-A	1236	4	3	2	589	287	327	0	A	
crime-V	34	5	4	1	537	387	471	383	V	
our-J	1252	3	2	2	602	245	315	0	J	
woolly-N	3	6	4	2	0	0	0	0	N	
insert-V	13	6	5	2	0	0	0	0	V	
static-J	13	6	6	2	0	0	0	0	J	
left-N	480	4	4	1	592	341	383	0	N	
village-V	72	7	5	2	524	576	578	317	V	
they-U	3618	4	2	1	607	316	312	0	U	
ladle-N	1	5	4	2	0	0	0	0	N	
greater-A	188	7	6	2	0	0	0	0	A	
patrol-N	25	6	6	2	0	0	0	0	N	
after-C	1070	5	4	2	575	242	217	0	C	
long-V	755	4	3	1	579	381	471	0	V	
beaver-J	3	6	5	2	470	589	612	0	J	
member-N	137	6	5	2	573	455	399	392	N	
audible-N	4	7	5	2	0	0	0	0	N	
class-N	207	5	4	1	0	0	0	0	N	
turning-N	75	7	5	2	0	0	0	0	N	
stalked-J	7	7	5	2	0	0	0	0	J	
light-A	333	5	3	1	575	550	542	0	A	
filthy-J	7	6	5	2	0	0	0	0	J	
madam-N	2	5	5	2	0	0	0	0	N	
unhurt-J	1	6	5	2	0	0	0	0	J	
lose-N	58	4	3	1	534	299	373	0	N	
whereas-C	41	7	5	2	0	0	0	0	C	
wet-J	53	3	3	1	585	478	509	0	J	
spray-V	16	5	4	1	521	514	559	0	V	
began-V	312	5	5	2	593	0	251	0	V	
series-J	130	6	5	2	525	373	398	461	J	
pastor-N	17	6	5	2	461	567	488	0	N	
symmetric-J	7	9	8	3	0	0	0	0	J	
town-V	212	4	3	1	589	556	553	0	V	
ship-V	83	4	3	1	553	615	612	249	V	
dark-N	185	4	3	1	598	497	586	0	N	
stumble-V	1	7	6	2	536	433	485	0	V	
long-A	755	4	3	1	579	381	471	0	A	
second-N	373	6	6	2	598	344	371	289	N	
degree-V	125	6	5	2	574	406	521	508	V	
atrophy-N	4	7	6	3	0	0	0	0	N	
lightly-V	31	7	5	2	0	0	0	0	V	
chromium-N	4	8	7	2	0	0	0	0	N	
ethnic-J	13	6	5	2	0	0	0	0	J	
higher-V	160	6	4	2	574	324	464	0	V	
same-A	686	4	3	1	569	248	326	0	A	
several-J	377	7	6	2	0	0	0	0	J	
screech-N	1	7	6	1	0	0	0	0	N	
survive-V	33	7	5	2	0	0	0	0	V	
bagpipe-N	1	7	6	2	397	601	594	377	N	
regard-N	89	6	5	2	0	0	0	0	N	
logical-N	34	7	6	3	539	0	295	0	N	
cutlass-N	1	7	6	2	0	0	0	0	N	
like-V	1290	4	3	1	610	286	352	0	V	
supply-V	102	6	5	2	534	368	340	417	V	
perish-V	2	6	5	2	483	329	404	0	V	
gown-V	16	4	3	1	515	586	578	0	V	
found-V	536	5	4	1	0	0	0	0	V	
hand-N	431	4	4	1	601	604	598	0	N	
session-N	80	7	5	2	505	372	394	0	N	
side-V	380	4	3	1	566	394	386	0	V	
learned-J	117	7	5	2	0	0	0	0	J	
patient-J	86	7	6	2	538	487	526	366	J	
graduation-J	11	10	8	3	568	416	577	0	J	
toward-R	386	6	5	2	0	0	0	0	R	
making-V	255	6	5	2	0	0	0	0	V	
accent-N	9	6	6	2	0	0	0	0	N	
timber-N	19	6	5	2	440	578	553	403	N	
from-C	4369	4	4	1	612	197	239	0	C	
lost-V	173	4	4	1	0	0	0	0	V	
secretary-N	191	9	8	3	528	576	563	456	N	
great-J	665	5	4	1	588	311	390	0	J	
fashion-N	69	7	5	2	548	356	474	467	N	
match-J	41	5	3	1	558	535	490	0	J	
permit-N	77	6	5	2	516	399	388	458	N	
upright-V	14	7	5	2	480	348	453	436	V	
budget-N	59	6	5	2	517	366	394	497	N	
moire-J	1	5	5	2	0	0	0	0	J	
trained-V	54	7	5	2	0	0	0	0	V	
undoing-V	2	7	6	2	396	257	283	439	V	
service-V	315	7	5	2	560	364	408	397	V	
meet-A	148	4	3	1	575	341	438	0	A	
ancestor-N	7	8	7	3	0	0	0	0	N	
open-V	319	4	4	2	581	381	425	0	V	
alone-A	195	5	4	2	562	390	480	0	A	
pedantic-J	2	8	8	3	0	0	0	0	J	
shoe-V	14	4	2	1	569	600	601	0	V	
impulsive-J	1	9	8	3	489	0	376	0	J	
weasel-N	1	6	4	2	0	0	0	0	N	
monthly-J	23	7	6	2	0	0	0	0	J	
entire-N	149	6	6	2	531	0	310	0	N	
violet-V	7	6	6	2	461	541	560	344	V	
quartet-N	9	7	6	2	0	0	0	0	N	
much-J	937	4	4	1	584	242	332	0	J	
