word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
sunken-J	3	6	6	2	0	0	0	0	J	
perfume-N	10	7	6	2	0	0	0	0	N	
cleaner-J	9	7	5	2	0	0	0	0	J	
fabian-N	4	6	6	2	0	0	0	0	N	
bracket-J	1	7	6	2	0	0	0	0	J	
fastidious-J	3	10	9	3	0	0	0	0	J	
gait-N	8	4	3	1	369	381	377	0	N	
lurk-N	1	4	3	1	0	0	0	0	N	
binge-V	1	5	4	1	0	0	0	0	V	
toss-V	9	4	3	1	0	0	0	0	V	
seller-N	6	6	4	2	459	444	427	381	N	
arouse-V	5	6	4	2	0	0	0	0	V	
limber-V	2	6	6	2	0	0	0	0	V	
arch-N	13	4	3	1	483	512	557	367	N	
fatigue-V	11	7	5	2	499	416	502	0	V	
bowl-V	23	4	3	1	557	575	579	256	V	
vowel-V	7	5	4	2	0	0	0	0	V	
georgian-N	3	8	6	2	0	0	0	0	N	
dented-V	1	6	6	2	0	0	0	0	V	
ramble-V	3	6	5	2	0	0	0	0	V	
prow-N	1	4	3	1	252	485	307	583	N	
finger-V	40	6	5	2	0	0	0	0	V	
beaver-V	3	6	5	2	470	589	612	0	V	
scurvy-J	1	6	5	2	0	0	0	0	J	
blush-J	2	5	4	1	535	465	551	378	J	
gearing-V	1	7	5	2	0	0	0	0	V	
assent-N	4	6	5	2	325	311	345	575	N	
storm-V	26	5	4	1	555	527	587	0	V	
aflame-J	3	6	5	2	0	0	0	0	J	
retell-V	1	6	5	2	0	0	0	0	V	
howling-V	3	7	5	2	0	0	0	0	V	
gosh-N	4	4	3	1	0	0	0	0	N	
upsurge-V	3	7	5	2	0	0	0	0	V	
tip-N	22	3	3	1	493	459	483	328	N	
loyal-J	18	5	4	1	0	0	0	0	J	
bowman-N	3	6	5	2	0	0	0	0	N	
punish-V	3	6	5	2	536	344	474	0	V	
butler-N	4	6	5	2	425	0	543	0	N	
grandiose-J	3	9	8	3	0	0	0	0	J	
soil-N	54	4	3	1	516	581	566	347	N	
loan-N	46	4	3	1	535	372	430	428	N	
tart-J	7	4	3	1	0	0	0	0	J	
doubly-A	4	6	5	2	0	0	0	0	A	
seal-V	17	4	3	1	482	587	563	328	V	
plaster-N	23	7	6	2	0	0	0	0	N	
enzyme-N	6	6	5	2	0	0	0	0	N	
voltage-N	16	7	6	2	0	0	0	0	N	
topping-N	2	7	5	2	0	0	0	0	N	
virtuous-J	6	8	7	2	0	0	0	0	J	
upkeep-N	6	6	5	2	395	299	347	0	N	
girlie-N	1	6	4	2	0	0	0	0	N	
fuzz-N	3	4	3	1	0	0	0	0	N	
tapping-N	6	7	5	2	0	0	0	0	N	
banking-N	2	7	6	2	0	0	0	0	N	
batting-N	15	7	5	2	0	0	0	0	N	
granite-J	3	7	6	2	0	0	0	0	J	
yonder-A	1	6	5	2	387	329	360	0	A	
masonry-N	6	7	6	3	0	0	0	0	N	
tedious-J	6	7	6	2	0	0	0	0	J	
roam-N	6	4	3	1	0	0	0	0	N	
cipher-V	1	6	4	2	0	0	0	0	V	
sunder-V	1	6	5	2	0	0	0	0	V	
nope-N	1	4	3	1	481	270	315	0	N	
flirt-N	1	5	4	1	0	0	0	0	N	
darn-N	3	4	3	1	0	0	0	0	N	
leasing-N	3	7	5	2	0	0	0	0	N	
soot-V	1	4	3	1	390	563	531	0	V	
batter-J	2	6	5	2	0	0	0	0	J	
ripping-V	3	7	5	2	0	0	0	0	V	
fictitious-J	2	10	8	3	0	0	0	0	J	
ambler-N	1	6	5	2	0	0	0	0	N	
summit-N	12	6	5	2	400	0	546	0	N	
bugler-N	1	6	6	2	0	0	0	0	N	
lascar-N	1	6	5	2	0	0	0	0	N	
plod-V	1	4	4	1	0	0	0	0	V	
swap-A	2	4	4	1	0	0	0	0	A	
cathedral-J	8	9	8	3	440	553	599	0	J	
laden-J	6	5	4	2	0	0	0	0	J	
observe-N	25	7	5	2	0	0	0	0	N	
sling-V	1	5	4	1	0	0	0	0	V	
artful-J	1	6	5	2	0	0	0	0	J	
cleric-J	1	6	6	2	0	0	0	0	J	
planner-N	2	7	5	2	0	0	0	0	N	
comet-N	2	5	5	2	426	0	521	0	N	
shading-V	4	7	5	2	0	0	0	0	V	
trundle-V	1	7	6	2	0	0	0	0	V	
foresaw-V	2	7	4	2	0	0	0	0	V	
dill-V	12	4	3	1	0	0	0	0	V	
injection-J	7	9	7	3	0	0	0	0	J	
puppy-N	2	5	4	2	522	623	635	203	N	
bundle-V	20	6	5	2	0	0	0	0	V	
eloquent-J	11	8	8	3	0	0	0	0	J	
glow-N	16	4	3	1	0	0	0	0	N	
segregate-V	1	9	8	3	0	0	0	0	V	
walled-V	1	6	4	2	0	0	0	0	V	
steward-V	2	7	6	2	0	0	0	0	V	
melange-N	1	7	6	2	0	0	0	0	N	
consul-N	3	6	6	2	0	0	0	0	N	
wishful-J	9	7	6	2	0	0	0	0	J	
stern-V	23	5	4	1	481	349	424	0	V	
