Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
covered	1612	1280	1578	1255	31.61	3.2076	15.26	3.1075	Verb	1570.0	0.97	Verb.Adjective	1570.42	4.49946851	2
cow	1301	728	1202	696	25.51	3.1146	8.68	2.8627	Noun	1283.0	0.99	Noun.Verb.Name	1283.9.2	4.406445126	1
coward	734	518	665	473	14.39	2.8663	6.18	2.7152	Noun	670.0	0.91	Noun.Name	670.67	4.158121481	2
cowboy	968	482	747	436	18.98	2.9863	5.75	2.6839	Noun	873.0	0.91	Noun.Name	873.88	4.278157919	2
crashed	531	391	511	382	10.41	2.7259	4.66	2.5933	Verb	512.0	0.97	Verb.Adjective	512.18	4.017745774	1
crawl	614	469	511	441	12.04	2.7889	5.59	2.6721	Verb	532.0	0.87	Verb.Noun	532.81	4.080709258	1
cream	2484	1345	2262	1271	48.71	3.3953	16.03	3.129	Noun	2434.0	0.98	Noun.Adjective.Verb.Name	2434.23.17.3	4.687160535	1
create	1289	924	1253	903	25.27	3.1106	11.02	2.9661	Verb	1289.0	1.0	Verb	1289	4.402423852	2
creature	1092	657	1044	641	21.41	3.0386	7.83	2.8182	Noun	1092.0	1.0	Noun	1092	4.330454304	2
creature	640	442	607	428	12.55	2.8069	5.27	2.6464	Noun	638.0	1.0	Noun	638	4.098692172	2
credit	2337	1490	2244	1449	45.82	3.3688	17.76	3.1735	Noun	2228.0	0.96	Noun.Verb	2228.104	4.660678649	2
creep	573	432	531	410	11.24	2.7589	5.15	2.6365	Noun	369.0	0.65	Noun.Verb	369.202	4.050746035	1
creepy	568	445	512	411	11.14	2.7551	5.31	2.6493	Adjective	567.0	1.0	Adjective	567	4.046946409	2
crew	2424	1036	2156	931	47.53	3.3847	12.35	3.0158	Noun	2175.0	0.93	Noun.Name	2175.175	4.676545885	1
cried	662	514	651	507	12.98	2.8215	6.13	2.7118	Verb	659.0	1.0	Verb	659	4.113347671	1
crisis	849	611	805	581	16.65	2.9294	7.28	2.7868	Noun	850.0	1.0	Noun	850	4.221253068	2
cross	2807	1700	2080	1436	55.04	3.4484	20.27	3.2307	Verb	1548.0	0.55	Verb.Noun.Name.Adjective.Preposition	1548.1069.129.42.15	4.740231246	1
crossed	874	740	855	731	17.14	2.942	8.82	2.8698	Verb	843.0	0.96	Verb.Adjective	843.31	4.233842195	1
crowd	1906	1230	1671	1146	37.37	3.2804	14.66	3.0903	Noun	1798.0	0.95	Noun.Verb	1798.104	4.572184835	1
crown	698	363	559	293	13.69	2.8445	4.33	2.5611	Noun	628.0	0.89	Noun.Verb.Name	628.65.10	4.136311318	1
cruel	936	690	882	675	18.35	2.9717	8.23	2.8395	Adjective	938.0	1.0	Adjective	938	4.263573733	2
cruise	626	395	506	323	12.27	2.7973	4.71	2.5977	Noun	489.0	0.78	Noun.Verb.Name	489.133.4	4.089101683	1
crush	857	625	772	581	16.8	2.9335	7.45	2.7966	Noun	497.0	0.58	Noun.Verb	497.361	4.22532143	1
cry	3348	1900	3194	1857	65.65	3.5249	22.65	3.279	Verb	2596.0	0.78	Verb.Noun	2596.752	4.81674929	1
cry	2709	1664	2562	1621	53.12	3.433	19.84	3.2214	Verb	1758.0	0.65	Verb.Noun.Adjective	1758.944.6	4.724803433	2
crystal	823	374	423	247	16.14	2.9159	4.46	2.574	Noun	706.0	0.86	Noun.Name	706.114	4.207761354	2
culture	711	474	666	445	13.94	2.8525	5.65	2.6767	Noun	710.0	1.0	Noun.Name	710.1	4.144314136	2
cup	2634	1566	2373	1494	51.65	3.4208	18.67	3.1951	Noun	2624.0	0.99	Noun.Verb	2624.15	4.712614762	1
cure	1063	627	1033	616	20.84	3.0269	7.47	2.798	Noun	587.0	0.55	Noun.Verb.Name	587.475.1	4.31877577	1
current	869	671	802	637	17.04	2.9395	8.0	2.8274	Adjective	798.0	0.92	Adjective.Noun	798.71	4.231353395	2
curse	929	517	836	480	18.22	2.9685	6.16	2.7143	Noun	659.0	0.71	Noun.Verb	659.263	4.260317091	1
curtain	525	331	376	252	10.29	2.721	3.95	2.5211	Noun	525.0	1.0	Noun	525	4.012819886	2
cute	4475	2459	4005	2279	87.75	3.6509	29.32	3.3909	Adjective	4467.0	1.0	Adjective	4467	4.94272422	1
cut	583	466	541	433	11.43	2.7664	5.56	2.6693	Verb	314.0	0.54	Verb.Noun	314.269	4.058246989	1
cutting	1126	904	1042	852	22.08	3.0519	10.78	2.9566	Verb	942.0	0.84	Verb.Noun.Adjective.Name	942.161.17.6	4.343758058	2
da	1183	448	525	164	23.2	3.0734	5.34	2.6522	Unclassified	525.0	0.44	Unclassified.Noun.Name	525.424.231	4.365185845	1
daily	797	588	573	465	15.63	2.902	7.01	2.7701	Adjective	563.0	0.71	Adjective.Adverb.Name.Noun	563.134.99.1	4.193837033	2
damage	1686	1177	1609	1145	33.06	3.2271	14.03	3.0711	Noun	1400.0	0.83	Noun.Verb.Name	1400.286.1	4.518949225	2
dame	702	329	528	258	13.76	2.847	3.92	2.5185	Noun	606.0	0.87	Noun.Name	606.92	4.138789467	1
damned	898	639	781	584	17.61	2.9538	7.62	2.8062	Verb	405.0	0.45	Verb.Adjective.Adverb	405.367.125	4.245593834	1
dancer	831	499	769	481	16.29	2.9201	5.95	2.699	Noun	810.0	0.98	Noun.Name	810.19	4.211957468	2
dancing	2774	1393	2503	1317	54.39	3.4433	16.61	3.1443	Verb	1451.0	0.52	Verb.Noun.Adjective	1451.1308.12	4.73509713	2
danger	2227	1415	2051	1365	43.67	3.3479	16.87	3.1511	Noun	2225.0	1.0	Noun.Name	2225.1	4.639749329	2
dare	2826	1687	2717	1640	55.41	3.4513	20.11	3.2274	Verb	2798.0	0.99	Verb.Noun	2798.39	4.743159951	1
dark	4519	2629	4110	2496	88.61	3.6551	31.34	3.42	Adjective	2661.0	0.59	Adjective.Noun.Name	2661.1852.7	4.946972577	1
darkness	892	567	779	530	17.49	2.9509	6.76	2.7543	Noun	890.0	1.0	Noun	890	4.242685601	2
darn	709	527	513	398	13.9	2.8513	6.28	2.7226	Adjective	427.0	0.6	Adjective.Interjection.Verb	427.200.79	4.143092491	1
data	1306	596	1045	567	25.61	3.1163	7.11	2.776	Noun	1287.0	0.99	Noun.Name	1287.17	4.40810973	2
dated	598	452	588	446	11.73	2.7774	5.39	2.6561	Verb	541.0	0.9	Verb.Adjective.Noun	541.56.1	4.069260965	2
date	931	658	906	644	18.25	2.9694	7.84	2.8189	Noun	784.0	0.84	Noun.Verb	784.149	4.261250054	1
dating	1689	1002	1612	969	33.12	3.2279	11.95	3.0013	Verb	1257.0	0.74	Verb.Noun	1257.431	4.519720847	2
dawn	1301	692	818	604	25.51	3.1146	8.25	2.8407	Noun	812.0	0.62	Noun.Name.Verb	812.457.32	4.406445126	1
deaf	741	482	710	471	14.53	2.8704	5.75	2.6839	Adjective	739.0	1.0	Adjective	739	4.162238047	1
dealer	831	495	745	456	16.29	2.9201	5.9	2.6955	Noun	829.0	1.0	Noun	829	4.211957468	2
dealing	1440	1152	1415	1137	28.24	3.1587	13.73	3.0618	Verb	1407.0	0.98	Verb.Noun	1407.32	4.450498123	2
debt	725	489	720	487	14.22	2.8609	5.83	2.6902	Noun	724.0	1.0	Noun.Name	724.1	4.152770763	1
decent	1433	1106	1374	1075	28.1	3.1565	13.19	3.0441	Adjective	1432.0	1.0	Adjective.Noun	1432.1	4.448383293	2
decide	2571	1920	2528	1902	50.41	3.4103	22.89	3.2835	Verb	2574.0	1.0	Verb	2574	4.702105106	2
deck	1212	629	1103	595	23.76	3.0839	7.5	2.7993	Noun	1207.0	1.0	Noun.Name	1207.2	4.375694943	1
deep	3896	2454	3285	2263	76.39	3.5907	29.26	3.3901	Adjective	2023.0	0.52	Adjective.Adverb.Noun.Name	2023.1833.24.6	4.882564548	1
deeper	644	477	571	454	12.63	2.8096	5.69	2.6794	Adverb	375.0	0.58	Adverb.Adjective	375.269	4.101393857	2
deeply	736	596	700	574	14.43	2.8675	7.11	2.776	Adverb	735.0	1.0	Adverb.Noun	735.1	4.15930163	2
defeat	580	403	556	395	11.37	2.7642	4.8	2.6064	Verb	367.0	0.63	Verb.Noun	367.215	4.056010275	2
defend	959	683	928	667	18.8	2.9823	8.14	2.8351	Verb	958.0	1.0	Verb	958	4.274105375	2
defense	1665	832	1323	716	32.65	3.2217	9.92	2.9206	Noun	1666.0	1.0	Noun.Name	1666.3	4.513509139	2
degree	759	585	745	579	14.88	2.8808	6.97	2.7679	Noun	759.0	1.0	Noun	759	4.172647734	2
degree	918	610	911	604	18.0	2.9633	7.27	2.786	Noun	918.0	1.0	Noun	918	4.255149654	2
delay	562	457	520	436	11.02	2.7505	5.45	2.6609	Noun	345.0	0.61	Noun.Verb.Name	345.214.3	4.042342537	2
demand	873	687	841	668	17.12	2.9415	8.19	2.8376	Verb	568.0	0.65	Verb.Noun	568.305	4.233345575	2
denied	584	431	535	406	11.45	2.7672	5.14	2.6355	Verb	578.0	0.99	Verb.Adjective	578.6	4.058990008	2
dentist	571	294	555	292	11.2	2.7574	3.51	2.4698	Noun	571.0	1.0	Noun	571	4.049230171	2
deny	1091	773	1035	749	21.39	3.0382	9.22	2.8887	Verb	1089.0	1.0	Verb	1089	4.330056781	2
depends	1457	1225	1138	980	28.57	3.1638	14.6	3.0885	Verb	1457.0	1.0	Verb	1457	4.455591666	2
depressed	830	583	790	569	16.27	2.9196	6.95	2.7664	Adjective	761.0	0.92	Adjective.Verb	761.69	4.211435166	2
describe	866	693	769	630	16.98	2.938	8.26	2.8414	Verb	866.0	1.0	Verb	866	4.22985324	2
desert	1427	730	1230	645	27.98	3.1547	8.7	2.8639	Noun	1257.0	0.89	Noun.Verb	1257.163	4.44656235	2
deserve	2230	1682	2221	1679	43.73	3.3485	20.05	3.2261	Verb	2231.0	1.0	Verb	2231	4.640333712	2
deserved	513	446	512	446	10.06	2.711	5.32	2.6503	Verb	502.0	0.98	Verb.Adjective	502.10	4.002797261	2
deserves	808	700	800	698	15.84	2.9079	8.35	2.8457	Verb	808.0	1.0	Verb	808	4.199782664	2
design	826	558	780	529	16.2	2.9175	6.65	2.7474	Noun	626.0	0.76	Noun.Verb	626.197	4.209339652	2
designed	894	681	860	654	17.53	2.9518	8.12	2.8338	Verb	892.0	1.0	Verb.Noun.Adjective	892.1.1	4.243657177	2
desk	2239	1404	2204	1391	43.9	3.3502	16.74	3.1477	Noun	2237.0	1.0	Noun	2237	4.64208216	1
desperate	1310	981	1181	924	25.69	3.1176	11.7	2.9921	Adjective	1310.0	1.0	Adjective	1310	4.409436834	2
despite	663	554	410	374	13.0	2.8222	6.6	2.7443	Preposition	662.0	1.0	Preposition	662	4.114002222	2
dessert	715	532	679	515	14.02	2.8549	6.34	2.7267	Noun	715.0	1.0	Noun	715	4.146747164	2
destroyed	1573	1084	1546	1073	30.84	3.197	12.92	3.0354	Verb	1554.0	0.99	Verb.Adjective	1554.18	4.48883887	2
detail	989	737	929	709	19.39	2.9956	8.79	2.8681	Noun	949.0	0.96	Noun.Verb	949.40	4.287469337	2
detail	1481	1151	1386	1098	29.04	3.1708	13.72	3.0615	Noun	1470.0	1.0	Noun.Verb	1470.7	4.462682346	2
device	926	563	922	561	18.16	2.9671	6.71	2.7513	Noun	926.0	1.0	Noun	926	4.258913876	2
diamond	1053	473	802	394	20.65	3.0228	5.64	2.6758	Noun	1006.0	0.96	Noun.Name	1006.45	4.314674753	2
diamond	869	340	768	305	17.04	2.9395	4.05	2.5328	Noun	869.0	1.0	Noun	869	4.231353395	2
dice	533	295	507	280	10.45	2.7275	3.52	2.4713	Noun	533.0	1.0	Noun	533	4.019375399	1
dy	1270	983	1248	968	24.9	3.1041	11.72	2.993	Verb	1265.0	0.99	Verb.Noun	1265.8	4.395979693	1
diet	784	557	654	475	15.37	2.8949	6.64	2.7466	Noun	751.0	0.96	Noun.Verb.Name	751.27.5	4.186703799	2
dig	2357	1253	1865	1119	46.22	3.3725	14.94	3.0983	Verb	2211.0	0.94	Verb.Noun	2211.140	4.664377943	1
digging	676	493	633	472	13.25	2.8306	5.88	2.6937	Verb	406.0	0.6	Verb.Noun.Adjective	406.187.81	4.122422811	2
dime	615	473	604	466	12.06	2.7896	5.64	2.6758	Noun	609.0	1.0	Noun.Name	609.2	4.081414854	1
diner	632	321	556	289	12.39	2.8014	3.83	2.5079	Noun	632.0	1.0	Noun	632	4.093237852	2
dining	598	444	578	434	11.73	2.7774	5.29	2.6484	Noun	514.0	0.86	Noun.Verb	514.84	4.069260965	2
direct	1226	931	1147	883	24.04	3.0888	11.1	2.9694	Adjective	843.0	0.69	Adjective.Verb.Adverb.Noun	843.333.48.1	4.380678705	2
dirt	1310	814	1130	782	25.69	3.1176	9.7	2.9112	Noun	1310.0	1.0	Noun.Name	1310.2	4.409436834	1
discus	2329	1675	2296	1663	45.67	3.3674	19.97	3.2243	Verb	2322.0	1.0	Verb	2322	4.659190063	2
discussed	538	467	537	466	10.55	2.7316	5.57	2.6702	Verb	537.0	1.0	Verb	537	4.023422907	2
dish	584	443	568	431	11.45	2.7672	5.28	2.6474	Noun	509.0	0.87	Noun.Verb	509.76	4.058990008	1
dish	605	443	588	432	11.86	2.7825	5.28	2.6474	Noun	602.0	1.0	Noun.Verb	602.3	4.074306766	2
dismissed	622	463	436	356	12.2	2.7945	5.52	2.6665	Verb	622.0	1.0	Verb	622	4.086322189	2
distance	1306	955	1223	913	25.61	3.1163	11.39	2.9805	Noun	1296.0	0.99	Noun.Verb.Name	1296.9.1	4.40810973	2
district	1068	608	696	459	20.94	3.029	7.25	2.7846	Noun	1018.0	0.95	Noun.Name	1018.49	4.320811847	2
disturb	566	481	548	466	11.1	2.7536	5.73	2.683	Verb	567.0	1.0	Verb	567	4.045417201	2
divine	594	372	438	321	11.65	2.7745	4.43	2.5717	Adjective	524.0	0.89	Adjective.Noun.Verb.Name	524.38.27.2	4.066351108	2
divorce	1669	871	1565	842	32.73	3.2227	10.38	2.9405	Noun	1397.0	0.83	Noun.Verb	1397.291	4.514550613	2
divorced	821	586	762	547	16.1	2.9149	6.99	2.7686	Verb	452.0	0.55	Verb.Adjective	452.370	4.20670596	2
doc	4122	1078	866	421	80.82	3.6152	12.85	3.033	Noun	4114.0	1.0	Noun.Name	4114.2	4.907047477	1
doctor	1855	1103	1626	1007	36.37	3.2686	13.15	3.043	Noun	1858.0	1.0	Noun.Verb.Name	1858.1.1	4.560412114	2
dog	2704	1282	2466	1217	53.02	3.4322	15.28	3.1082	Noun	2698.0	1.0	Noun.Verb.Name	2698.3.1	4.724001412	1
doll	1263	648	1080	615	24.76	3.1017	7.73	2.8122	Noun	1240.0	0.98	Noun.Verb	1240.21	4.393581216	1
dollar	1410	872	1338	842	27.65	3.1495	10.4	2.941	Noun	1405.0	1.0	Noun	1405	4.441361156	2
dollar	3998	1782	3938	1757	78.39	3.602	21.24	3.2512	Noun	3991.0	1.0	Noun	3991	4.893785546	2
door	1755	1180	1658	1136	34.41	3.2445	14.07	3.0722	Noun	1762.0	1.0	Noun	1762	4.536358654	1
double	3198	1972	2558	1686	62.71	3.505	23.51	3.2951	Adjective	1809.0	0.57	Adjective.Noun.Verb.Adverb.Name	1809.806.464.113.3	4.796848382	2
doubt	3205	2165	3141	2130	62.84	3.506	25.81	3.3357	Verb	1528.0	0.48	Verb.Noun.Adverb	1528.1092.584	4.79779766	1
dough	810	407	783	400	15.88	2.909	4.85	2.6107	Noun	809.0	1.0	Noun	809	4.200854996	1
downstairs	1985	1354	1877	1309	38.92	3.298	16.14	3.1319	Adverb	1894.0	0.96	Adverb.Noun	1894.88	4.589813386	2
downtown	1118	818	1018	773	21.92	3.0488	9.75	2.9133	Adverb	872.0	0.78	Adverb.Adjective	872.245	4.340664229	2
dozen	1231	1001	1214	991	24.14	3.0906	11.93	3.0009	Noun	1232.0	1.0	Noun	1232	4.38244485	2
drag	1349	973	1246	922	26.45	3.1303	11.6	2.9886	Verb	1314.0	0.98	Verb.Noun.Name	1314.31.2	4.422167911	1
dragged	589	517	578	510	11.55	2.7709	6.16	2.7143	Verb	589.0	1.0	Verb	589	4.062686154	1
dragon	984	277	445	172	19.29	2.9934	3.3	2.444	Noun	961.0	0.98	Noun.Name	961.20	4.285270373	2
drama	1028	480	555	394	20.16	3.0124	5.72	2.6821	Noun	1024.0	1.0	Noun	1024	4.304249517	2
drank	656	536	633	519	12.86	2.8176	6.39	2.73	Verb	650.0	1.0	Verb	650	4.109399512	1
draw	2061	1354	1837	1256	40.41	3.3143	16.14	3.1319	Verb	1821.0	0.88	Verb.Noun	1821.237	4.606122803	1
drawer	663	462	654	456	13.0	2.8222	5.51	2.6656	Noun	662.0	1.0	Noun	662	4.114002222	1
drawing	817	564	757	541	16.02	2.9128	6.72	2.752	Verb	412.0	0.5	Verb.Noun	412.408	4.204587446	2
drawn	542	461	528	453	10.63	2.7348	5.5	2.6646	Verb	543.0	1.0	Verb	543	4.026633972	1
dreamed	784	629	777	625	15.37	2.8949	7.5	2.7993	Verb	783.0	1.0	Verb	783	4.186703799	1
dreaming	939	668	887	645	18.41	2.9731	7.96	2.8254	Verb	876.0	0.93	Verb.Noun.Adjective	876.55.8	4.264961996	2
dream	3285	1732	3115	1700	64.41	3.5167	20.65	3.2388	Noun	3276.0	1.0	Noun.Verb	3276.5	4.808501701	1
dress	4447	2186	4328	2134	87.2	3.6482	26.06	3.3398	Noun	3328.0	0.75	Noun.Verb.Adjective	3328.1116.1	4.939998921	1
dressed	2394	1708	2331	1676	46.94	3.3793	20.36	3.2327	Verb	2350.0	0.98	Verb.Adjective	2350.38	4.67113966	1
dressing	804	614	773	594	15.76	2.9058	7.32	2.7889	Verb	403.0	0.5	Verb.Noun	403.400	4.197630023	2
drill	701	466	658	450	13.75	2.8463	5.56	2.6693	Noun	507.0	0.72	Noun.Verb	507.194	4.138171254	1
drinking	2685	1753	2565	1699	52.65	3.4291	20.9	3.244	Verb	1859.0	0.69	Verb.Noun.Adjective	1859.826.1	4.72094015	2
drink	1744	1228	1630	1169	34.2	3.2418	14.64	3.0896	Noun	1498.0	0.86	Noun.Verb	1498.246	4.533629573	1
driven	524	454	502	441	10.27	2.7202	5.41	2.658	Verb	463.0	0.88	Verb.Adjective.Noun	463.60.1	4.011993446	2
driver	2416	1398	2153	1286	47.37	3.3833	16.67	3.1458	Noun	2401.0	1.0	Noun.Name	2401.6	4.675110793	2
drive	728	601	679	561	14.27	2.8627	7.16	2.7796	Verb	616.0	0.85	Verb.Noun	616.112	4.15456167	1
driving	3780	2264	3627	2207	74.12	3.5776	26.99	3.3551	Verb	3084.0	0.82	Verb.Adjective.Noun	3084.626.64	4.86944082	2
dropped	2482	1814	2407	1775	48.67	3.395	21.63	3.2589	Verb	2480.0	1.0	Verb.Adjective	2480.1	4.686810862	1
dropping	826	685	780	657	16.2	2.9175	8.17	2.8363	Verb	821.0	0.99	Verb.Noun.Adjective	821.3.3	4.209339652	2
drop	525	438	503	426	10.29	2.721	5.22	2.6425	Verb	328.0	0.63	Verb.Noun	328.196	4.012819886	1
drove	1472	1101	1413	1076	28.86	3.1682	13.13	3.0422	Verb	1443.0	0.98	Verb.Noun	1443.24	4.460036889	1
drown	540	439	502	419	10.59	2.7332	5.23	2.6435	Verb	536.0	1.0	Verb	536	4.025031407	1
dry	2184	1537	2003	1450	42.82	3.3395	18.32	3.187	Adjective	1679.0	0.77	Adjective.Verb	1679.503	4.631285583	1
duck	1263	703	938	562	24.76	3.1017	8.38	2.8476	Noun	1053.0	0.84	Noun.Verb.Name	1053.171.32	4.393581216	1
dude	5071	1581	2783	1222	99.43	3.7052	18.85	3.1992	Noun	5050.0	1.0	Noun.Name	5050.13	4.997013387	1
due	2275	1712	2103	1615	44.61	3.3572	20.41	3.2338	Adjective	1624.0	0.71	Adjective.Preposition.Adverb.Noun	1624.635.16.1	4.6490064	1
duke	1277	311	206	77	25.04	3.1065	3.71	2.4942	Noun	1231.0	0.96	Noun.Name	1231.45	4.398364996	1
dull	616	468	575	452	12.08	2.7903	5.58	2.6712	Adjective	575.0	0.93	Adjective.Verb	575.42	4.082119306	1
dump	1470	1047	1371	996	28.82	3.1676	12.48	3.0204	Verb	824.0	0.56	Verb.Noun	824.645	4.459446815	1
dumped	915	670	891	660	17.94	2.9619	7.99	2.8267	Verb	914.0	1.0	Verb.Adjective	914.1	4.253729616	1
during	3872	2524	3369	2310	75.92	3.588	30.09	3.4023	Preposition	3865.0	1.0	Preposition	3865	4.879881639	2
dust	1216	811	1107	770	23.84	3.0853	9.67	2.9096	Noun	941.0	0.77	Noun.Verb	941.276	4.37712472	1
dutch	761	243	13	11	14.92	2.882	2.9	2.3874	Adjective	678.0	0.89	Adjective.Noun.Verb.Name	678.75.4.3	4.173789113	1
duty	2599	1531	2517	1498	50.96	3.415	18.25	3.1853	Noun	2605.0	1.0	Noun	2605	4.70680749	2
dying	3416	2084	3305	2049	66.98	3.5336	24.85	3.3191	Verb	2607.0	0.76	Verb.Adjective	2607.807	4.825479121	2
eagle	586	279	267	173	11.49	2.7686	3.33	2.4472	Noun	580.0	1.0	Noun.Name	580.2	4.060472243	2
ear	1632	1106	1579	1092	32.0	3.213	13.19	3.0441	Noun	1630.0	1.0	Noun	1630	4.504820327	1
earl	1042	225	19	13	20.43	3.0183	2.68	2.3541	Noun	958.0	0.92	Noun.Name	958.78	4.310118451	1
earn	783	623	761	612	15.35	2.8943	7.43	2.7952	Verb	783.0	1.0	Verb	783	4.186150205	1
earned	646	560	642	558	12.67	2.8109	6.68	2.749	Verb	635.0	0.98	Verb.Adjective	635.10	4.102738423	1
ear	1705	1276	1668	1260	33.43	3.232	15.21	3.1062	Noun	1704.0	1.0	Noun	1704	4.523813169	1
earth	5074	2339	2773	1703	99.49	3.7054	27.89	3.3692	Noun	5058.0	1.0	Noun.Name	5058.9	4.997270189	1
ease	974	718	842	635	19.1	2.989	8.56	2.8567	Noun	520.0	0.53	Noun.Verb	520.453	4.280838758	1
east	2527	1461	1027	721	49.55	3.4028	17.42	3.1649	Noun	2359.0	0.94	Noun.Name	2359.162	4.694611212	1
eaten	927	766	915	758	18.18	2.9675	9.13	2.8848	Verb	919.0	0.99	Verb.Adjective	919.5	4.259382118	2
eating	3102	2105	2954	2040	60.82	3.4918	25.1	3.3235	Verb	2601.0	0.84	Verb.Noun	2601.502	4.783615918	2
eats	645	535	620	518	12.65	2.8102	6.38	2.7292	Verb	629.0	0.98	Verb.Noun	629.16	4.10206666	1
edge	1199	907	1150	895	23.51	3.0792	10.81	2.9581	Noun	1194.0	1.0	Noun.Verb	1194.4	4.371015388	1
effect	1219	930	1200	921	23.9	3.0864	11.09	2.9689	Noun	1171.0	0.96	Noun.Verb	1171.49	4.378193973	2
effect	649	491	641	485	12.73	2.8129	5.85	2.692	Noun	642.0	0.99	Noun.Verb	642.7	4.104747499	2
effort	987	795	985	793	19.35	2.9948	9.48	2.9009	Noun	986.0	1.0	Noun	986	4.286591087	2
egg	1328	726	1237	694	26.04	3.1235	8.66	2.8615	Noun	1314.0	0.99	Noun.Verb.Name	1314.7.6	4.415359123	1
egg	1971	1115	1842	1063	38.65	3.2949	13.29	3.0477	Noun	1970.0	1.0	Noun	1970	4.586741053	1
eh	2619	1391	1917	1051	51.35	3.4183	16.58	3.1436	Interjection	2614.0	1.0	Interjection	2614	4.710135433	1
eight	5010	2682	3743	2256	98.24	3.6999	31.97	3.4286	Number	4991.0	1.0	Number.Noun	4991.6	4.991758545	1
empty	2409	1764	2214	1663	47.24	3.382	21.03	3.2467	Adjective	2147.0	0.89	Adjective.Verb	2147.262	4.673851185	2
ended	1511	1214	1485	1194	29.63	3.1796	14.47	3.0846	Verb	1510.0	1.0	Verb	1510	4.471385933	2
ending	812	596	789	582	15.92	2.9101	7.11	2.776	Noun	565.0	0.7	Noun.Verb	565.246	4.201924688	2
end	1563	1239	1534	1226	30.65	3.1942	14.77	3.0934	Verb	888.0	0.57	Verb.Noun	888.673	4.486070891	1
engaged	1327	791	1268	775	26.02	3.1232	9.43	2.8987	Verb	983.0	0.74	Verb.Adjective	983.340	4.415032217	2
engine	1626	807	1393	718	31.88	3.2114	9.62	2.9074	Noun	1615.0	1.0	Noun	1615	4.503221695	2
engine	543	276	496	266	10.65	2.7356	3.29	2.4425	Noun	542.0	1.0	Noun	542	4.027433042	2
english	3777	2007	65	49	74.06	3.5773	23.93	3.3028	Noun	2025.0	0.56	Noun.Adjective.Name.Verb	2025.1533.29.4	4.869096096	2
enjoy	4222	2769	3149	2236	82.78	3.6256	33.01	3.4425	Verb	4222.0	1.0	Verb.Noun	4222.1	4.917455224	2
enjoyed	926	772	905	756	18.16	2.9671	9.2	2.8882	Verb	926.0	1.0	Verb	926	4.258913876	2
enter	1516	1060	1311	943	29.73	3.181	12.64	3.0257	Verb	1513.0	1.0	Verb	1513	4.472819723	2
entered	747	625	732	612	14.65	2.8739	7.45	2.7966	Verb	746.0	1.0	Verb	746	4.16573574	2
entrance	800	609	784	601	15.69	2.9036	7.26	2.7853	Noun	795.0	1.0	Noun.Verb	795.1	4.195466658	2
entry	620	449	581	433	12.16	2.7931	5.35	2.6532	Noun	617.0	1.0	Noun	617	4.084925742	2
equal	682	535	640	510	13.37	2.8344	6.38	2.7292	Adjective	661.0	0.97	Adjective.Verb	661.20	4.126254846	2
er	1932	567	836	343	37.88	3.2862	6.76	2.7543	Unclassified	1234.0	0.71	Unclassified.Name	1234.511	4.578065996	1
escape	2258	1386	2147	1348	44.27	3.3539	16.52	3.1421	Verb	1400.0	0.62	Verb.Noun	1400.858	4.645750373	2
escaped	991	717	956	704	19.43	2.9965	8.55	2.8561	Verb	889.0	0.9	Verb.Adjective	889.102	4.288345814	2
estate	1076	687	1022	670	21.1	3.0322	8.19	2.8376	Noun	1077.0	1.0	Noun	1077	4.324049845	2
event	1345	969	1327	961	26.37	3.129	11.55	2.9868	Noun	1344.0	1.0	Noun	1344	4.420879202	2
event	860	668	838	652	16.86	2.935	7.96	2.8254	Noun	860.0	1.0	Noun	860	4.226837294	2
evil	3731	1598	3266	1527	73.16	3.5719	19.05	3.2038	Adjective	2024.0	0.54	Adjective.Noun.Name	2024.1604.94	4.863775777	2
ex	640	351	511	318	12.55	2.8069	4.18	2.5465	Noun	478.0	0.75	Noun.Preposition.Adverb.Adjective	478.144.11.4	4.098692172	1
exact	1154	948	1120	931	22.63	3.0626	11.3	2.9773	Adjective	1116.0	0.97	Adjective.Verb	1116.38	4.354416126	2
exam	684	382	562	335	13.41	2.8357	4.55	2.5832	Noun	684.0	1.0	Noun	684	4.127524714	2
exchange	1031	754	952	704	20.22	3.0137	8.99	2.8779	Noun	828.0	0.8	Noun.Verb.Name	828.197.5	4.305513839	2
exist	1477	1049	1476	1049	28.96	3.1697	12.51	3.0212	Verb	1477.0	1.0	Verb.Noun	1477.1	4.461508576	2
exists	575	470	575	470	11.27	2.7604	5.6	2.673	Verb	572.0	0.99	Verb.Noun	572.4	4.052256626	2
exit	794	569	701	520	15.57	2.9004	6.78	2.7559	Noun	586.0	0.74	Noun.Verb	586.206	4.192201271	2
expert	1128	842	1105	832	22.12	3.0527	10.04	2.9258	Noun	1095.0	0.97	Noun.Adjective.Name	1095.31.3	4.344528084	2
explained	598	520	589	516	11.73	2.7774	6.2	2.7168	Verb	592.0	0.99	Verb.Adjective	592.3	4.069260965	2
exposed	538	423	523	415	10.55	2.7316	5.04	2.6274	Verb	464.0	0.87	Verb.Adjective	464.70	4.023422907	2
