numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f
7176	7175	gap	26657	218	178	165	133	4.2745	2.3404	2.1221	2.2529	Noun	217	1	3.6323	1	9	3	16	1	low	low1	3	30	1	2	31	32	33	34
19066	19065	warmth	72028	227	199	218	192	4.451	2.3579	2.3724	2.301	Noun	223	0.98673	3.6498	1	45.8	6	0	1	low	low1	3	30	1	2	31	32	33	34
19335	19334	wink	73144	180	119	136	110	3.5294	2.2577	1.4187	2.0792	Noun	103	0.56906	3.5495	1	32	4	11	1	low	low1	3	30	1	2	31	32	33	34
9577	9576	knot	35868	188	151	187	150	3.6863	2.2765	1.8002	2.1818	Noun	181	0.96277	3.5683	1	10.67	4	4	1	low	low1	3	30	1	2	31	32	33	34
14052	14051	quake	51575	82	48	47	35	1.6078	1.9191	0.57225	1.6902	Noun	81	0.9878	3.2109	1	16.25	5	0	1	low	low1	3	30	1	2	31	32	33	34
4096	4095	cramp	14925	143	109	128	104	2.8039	2.1584	1.2995	2.0414	Noun	97	0.67832	3.4502	1	43	5	3	1	low	low1	3	30	1	2	31	32	33	34
19380	19379	woe	73330	119	86	76	56	2.3333	2.0792	1.0253	1.9395	Noun	117	1	3.371	1	6	3	11	1	low	low1	3	30	1	2	31	32	33	34
653	652	arch	2944	188	117	107	85	3.6863	2.2765	1.3948	2.0719	Noun	138	0.73404	3.5683	1	7.33	4	1	1	low	low1	3	30	1	2	31	32	33	34
13107	13106	pint	48243	167	122	159	116	3.2745	2.2253	1.4545	2.0899	Noun	167	1	3.5171	1	32.67	4	11	1	low	low1	3	30	1	2	31	32	33	34
18988	18987	wage	71782	159	142	158	141	3.1176	2.2041	1.6929	2.1553	Noun	126	0.79245	3.496	1	20.67	4	11	1	low	low1	3	30	1	2	31	32	33	34
11237	11236	mold	41307	219	153	210	151	4.2941	2.3424	1.824	2.1875	Noun	164	0.75229	3.6343	1	23.67	4	11	1	low	low1	3	30	1	2	31	32	33	34
11466	11465	muck	41987	97	81	92	79	1.902	1.9912	0.96567	1.9138	Noun	97	1	3.2831	1	23.33	4	14	1	low	low1	3	30	1	2	31	32	33	34
13276	13275	plow	48710	96	73	87	67	1.8824	1.9868	0.87029	1.8692	Noun	59	0.61458	3.2786	1	15.33	4	9	1	low	low1	3	30	1	2	31	32	33	34
13961	13960	pup	51287	164	88	127	83	3.2157	2.2175	1.0491	1.9494	Noun	107	0.66049	3.5093	1	4.5	3	11	1	low	low1	3	30	1	2	31	32	33	34
12913	12912	pest	47573	146	112	116	97	2.8627	2.1673	1.3352	2.0531	Noun	145	1	3.4592	1	23.33	4	14	1	low	low1	3	30	1	2	31	32	33	34
8686	8685	hymn	31726	83	62	63	49	1.6275	1.9243	0.73915	1.7993	Noun	82	1	3.2161	1	1.33	4	0	1	low	low1	3	30	1	2	31	32	33	34
10414	10413	mag	38506	78	58	45	37	1.5294	1.8976	0.69146	1.7709	Noun	76	0.97436	3.1895	1	11	3	22	1	low	low1	3	30	1	2	31	32	33	34
4480	4479	dane	16172	158	48	0	0	3.098	2.2014	0.57225	1.6902	Noun	158	1	3.4932	1	33.33	4	18	1	low	low1	3	30	1	2	31	32	33	34
11159	11158	mist	41060	181	121	144	100	3.549	2.2601	1.4425	2.0864	Noun	173	0.9558	3.5519	1	25.33	4	8	1	low	low1	3	30	1	2	31	32	33	34
17065	17064	stun	63137	96	67	83	61	1.8824	1.9868	0.79876	1.8325	Noun	61	0.63542	3.2786	1	6.67	4	4	1	low	low1	3	30	1	2	31	32	33	34
19095	19094	wasp	72107	73	43	41	23	1.4314	1.8692	0.51264	1.6435	Noun	73	1	3.1611	1	24.33	4	6	1	low	low1	3	30	1	2	31	32	33	34
10322	10321	lug	38166	132	104	118	99	2.5882	2.1239	1.2399	2.0212	Noun	84	0.63636	3.4157	1	5.5	3	12	1	low	low1	3	30	1	2	31	32	33	34
2976	2975	chalk	10509	183	143	151	118	3.5882	2.2648	1.7048	2.1584	Noun	183	1	3.5567	1	29.5	5	0	1	low	low1	3	30	1	2	31	32	33	34
16526	16525	speck	61213	95	62	58	51	1.8627	1.9823	0.73915	1.7993	Noun	90	0.94737	3.2741	1	30.75	5	2	1	low	low1	3	30	1	2	31	32	33	34
4334	4333	curb	15755	209	173	200	165	4.098	2.3222	2.0625	2.2405	Noun	139	0.66507	3.6141	1	16.67	4	4	1	low	low1	3	30	1	2	31	32	33	34
11394	11393	moth	41781	116	69	91	65	2.2745	2.0682	0.8226	1.8451	Noun	114	0.98276	3.36	1	17	4	5	1	low	low1	3	30	1	2	31	32	33	34
3301	3300	clause	11808	143	99	122	89	2.8039	2.1584	1.1803	2	Noun	130	0.90909	3.4502	1	40	6	0	1	low	low1	3	30	1	2	31	32	33	34
10176	10175	lobe	37658	95	69	93	68	1.8627	1.9823	0.8226	1.8451	Noun	95	1	3.2741	1	16.67	4	7	1	low	low1	3	30	1	2	31	32	33	34
12790	12789	peer	46999	78	63	70	56	1.5294	1.8976	0.75107	1.8062	Noun	49	0.62821	3.1895	1	26.67	4	11	1	low	low1	3	30	1	2	31	32	33	34
11708	11707	nerd	42966	168	99	144	92	3.2941	2.2279	1.1803	2	Noun	166	0.99401	3.5197	1	15.67	4	2	1	low	low1	3	30	1	2	31	32	33	34
5440	5439	duct	20156	160	110	143	106	3.1373	2.2068	1.3114	2.0453	Noun	121	0.76582	3.4987	1	13	4	3	1	low	low1	3	30	1	2	31	32	33	34
13092	13091	ping	48191	168	81	59	35	3.2941	2.2279	0.96567	1.9138	Noun	146	0.86905	3.5197	1	33	4	13	1	low	low1	3	30	1	2	31	32	33	34
18397	18396	turf	68203	218	176	205	164	4.2745	2.3404	2.0982	2.248	Noun	212	0.97248	3.6323	1	14	4	3	1	low	low1	3	30	1	2	31	32	33	34
1763	1762	blush	6830	136	115	127	110	2.6667	2.1367	1.371	2.0645	Noun	91	0.66912	3.4286	1	30	5	4	1	low	low1	3	30	1	2	31	32	33	34
15458	15457	scrap	57162	223	170	196	160	4.3725	2.3502	2.0267	2.233	Noun	169	0.75785	3.6421	1	15.5	5	2	1	low	low1	3	30	1	2	31	32	33	34
250	249	ale	1486	202	123	183	115	3.9608	2.3075	1.4664	2.0934	Noun	202	1	3.5993	1	1.5	3	9	1	low	low1	3	30	1	2	31	32	33	34
4235	4234	crotch	15393	140	113	128	109	2.7451	2.1492	1.3472	2.0569	Noun	123	0.87857	3.4411	1	45.8	6	2	1	low	low1	3	30	1	2	31	32	33	34
7393	7392	glance	27415	175	158	167	150	3.4314	2.2455	1.8836	2.2014	Noun	125	0.71839	3.5373	1	45.6	6	0	1	low	low1	3	30	1	2	31	32	33	34
16166	16165	slate	59705	165	128	145	117	3.2353	2.2201	1.526	2.1106	Noun	165	0.98802	3.5119	1	43.5	5	6	1	low	low1	3	30	1	2	31	32	33	34
16343	16342	sob	60519	77	75	57	56	1.5098	1.8921	0.89413	1.8808	Noun	57	0.74026	3.1839	1	9	3	18	1	low	low1	3	30	1	2	31	32	33	34
17532	17531	tart	65061	122	93	96	79	2.3922	2.0899	1.1087	1.9731	Noun	107	0.86992	3.3817	1	33	4	12	1	low	low1	3	30	1	2	31	32	33	34
8475	8474	hoof	30994	88	60	80	56	1.7255	1.9494	0.71531	1.7853	Noun	62	0.70455	3.2412	1	27.67	4	7	1	low	low1	3	30	1	2	31	32	33	34
10654	10653	mart	39266	97	58	21	19	1.902	1.9912	0.69146	1.7709	Noun	49	0.51579	3.2831	1	36.33	4	13	1	low	low1	3	30	1	2	31	32	33	34
4272	4271	crust	15521	166	126	163	124	3.2549	2.2227	1.5021	2.1038	Noun	164	0.98795	3.5146	1	34	5	4	1	low	low1	3	30	1	2	31	32	33	34
18980	18979	wad	71752	89	77	80	72	1.7451	1.9542	0.91798	1.8921	Noun	90	1	3.2461	1	9	3	17	1	low	low1	3	30	1	2	31	32	33	34
10215	10214	loft	37748	186	104	180	101	3.6471	2.2718	1.2399	2.0212	Noun	185	0.99462	3.5637	1	16	4	6	1	low	low1	3	30	1	2	31	32	33	34
14942	14941	rogue	55444	190	114	123	103	3.7255	2.281	1.3591	2.0607	Noun	175	0.92105	3.5729	1	17.75	5	1	1	low	low1	3	30	1	2	31	32	33	34
19159	19158	wedge	72347	119	97	107	90	2.3333	2.0792	1.1564	1.9912	Noun	91	0.76471	3.371	1	21.5	5	3	1	low	low1	3	30	1	2	31	32	33	34
13406	13405	pong	49108	82	34	18	16	1.6078	1.9191	0.40534	1.5441	Noun	46	0.56098	3.2109	1	29	4	8	1	low	low1	3	30	1	2	31	32	33	34
17268	17267	surge	64043	94	70	91	68	1.8431	1.9777	0.83453	1.8513	Noun	87	0.92553	3.2696	1	28.25	5	2	1	low	low1	3	30	1	2	31	32	33	34
1661	1660	bleep	6499	136	53	129	51	2.6667	2.1367	0.63186	1.7324	Noun	126	0.93333	3.4286	1	27.5	5	2	1	low	low1	3	30	1	2	31	32	33	34
11525	11524	muse	42255	98	58	91	55	1.9216	1.9956	0.69146	1.7709	Noun	93	0.91176	3.2875	1	19.33	4	7	1	low	low1	3	30	1	2	31	32	33	34
18439	18438	tux	68297	176	124	175	123	3.451	2.248	1.4783	2.0969	Noun	170	0.96591	3.5398	1	1.5	3	4	1	low	low1	3	30	1	2	31	32	33	34
17517	17516	tar	65016	160	100	132	87	3.1373	2.2068	1.1922	2.0043	Noun	134	0.8535	3.4987	1	8.5	3	16	1	low	low1	3	30	1	2	31	32	33	34
6619	6618	flan	24625	86	11	39	10	1.6863	1.9395	0.13114	1.0792	Noun	86	1	3.2314	1	20.67	4	8	1	low	low1	3	30	1	2	31	32	33	34
17062	17061	stump	63131	125	80	92	75	2.451	2.1004	0.95374	1.9085	Noun	104	0.832	3.3922	1	29.5	5	3	1	low	low1	3	30	1	2	31	32	33	34
2200	2199	brunch	8148	189	107	180	102	3.7059	2.2788	1.2756	2.0334	Noun	139	0.73545	3.5706	1	38.6	6	2	1	low	low1	3	30	1	2	31	32	33	34
6758	6757	foam	25117	179	140	165	132	3.5098	2.2553	1.6691	2.1492	Noun	163	0.91061	3.5471	1	21	4	4	1	low	low1	3	30	1	2	31	32	33	34
14798	14797	rhyme	54988	225	160	225	160	4.4118	2.3541	1.9075	2.2068	Noun	141	0.62946	3.6459	1	5.25	5	1	1	low	low1	3	30	1	2	31	32	33	34
972	971	awe	4122	134	95	93	81	2.6275	2.1303	1.1326	1.9823	Noun	110	0.8209	3.4222	1	2	3	10	1	low	low1	3	30	1	2	31	32	33	34
5680	5679	elf	21016	193	76	158	67	3.7843	2.2878	0.90606	1.8865	Noun	190	0.98446	3.5796	1	2	3	3	1	low	low1	3	30	1	2	31	32	33	34
8590	8589	hub	31365	156	61	63	50	3.0588	2.1959	0.72723	1.7924	Noun	137	0.87821	3.4877	1	7	3	13	1	low	low1	3	30	1	2	31	32	33	34
4859	4858	dew	17879	109	69	57	47	2.1373	2.0414	0.8226	1.8451	Noun	105	0.9633	3.3332	1	4.5	3	7	1	low	low1	3	30	1	2	31	32	33	34
13362	13361	poll	48968	127	79	112	70	2.4902	2.1072	0.94182	1.9031	Noun	129	0.99231	3.399	1	37.67	4	13	1	low	low1	3	30	1	2	31	32	33	34
11568	11567	mutt	42364	202	126	174	116	3.9608	2.3075	1.5021	2.1038	Noun	202	1	3.5993	1	10.67	4	4	1	low	low1	3	30	1	2	31	32	33	34
8038	8037	hare	29493	195	78	23	17	3.8235	2.2923	0.9299	1.8976	Noun	131	0.97761	3.5841	1	43.33	4	20	1	low	low1	3	30	1	2	31	32	33	34
16742	16741	stance	62056	96	73	93	73	1.8824	1.9868	0.87029	1.8692	Noun	95	1	3.2786	1	55	6	1	1	low	low1	3	30	1	2	31	32	33	34
15011	15010	rouge	55670	165	100	51	45	3.2353	2.2201	1.1922	2.0043	Noun	110	0.66265	3.5119	1	37	5	4	1	low	low1	3	30	1	2	31	32	33	34
18743	18742	vent	71015	225	159	211	152	4.4118	2.3541	1.8956	2.2041	Noun	174	0.78378	3.6459	1	21.33	4	10	1	low	low1	3	30	1	2	31	32	33	34
16609	16608	spook	61584	140	106	128	101	2.7451	2.1492	1.2637	2.0294	Noun	69	0.49286	3.4411	1	26	5	4	1	low	low1	3	30	1	2	31	32	33	34
1092	1091	bale	4528	104	23	71	18	2.0392	2.0212	0.2742	1.3802	Noun	87	0.83654	3.313	1	33	4	21	1	low	low1	3	30	1	2	31	32	33	34
16921	16920	stool	62665	179	156	174	153	3.5098	2.2553	1.8598	2.1959	Noun	179	1	3.5471	1	34	5	3	1	low	low1	3	30	1	2	31	32	33	34
18319	18318	trout	67929	205	112	148	94	4.0196	2.3139	1.3352	2.0531	Noun	198	0.96585	3.6057	1	36.25	5	0	1	low	low1	3	30	1	2	31	32	33	34
19392	19391	womb	73371	177	141	168	136	3.4706	2.2504	1.681	2.1523	Noun	176	0.99435	3.5423	1	12.67	4	3	1	low	low1	3	30	1	2	31	32	33	34
4285	4284	cub	15588	107	68	38	27	2.098	2.0334	0.81068	1.8388	Noun	104	0.97196	3.3253	1	6.5	3	13	1	low	low1	3	30	1	2	31	32	33	34
10600	10599	mare	39115	148	85	113	65	2.902	2.1732	1.0134	1.9345	Noun	110	0.7483	3.465	1	43.67	4	22	1	low	low1	3	30	1	2	31	32	33	34
15989	15988	sigh	59081	173	131	163	125	3.3922	2.2405	1.5618	2.1206	Noun	129	0.74566	3.5324	1	10.33	4	3	1	low	low1	3	30	1	2	31	32	33	34
13930	13929	pulp	51173	93	82	74	66	1.8235	1.9731	0.97759	1.9191	Noun	85	0.93407	3.265	1	15	4	3	1	low	low1	3	30	1	2	31	32	33	34
6609	6608	flair	24596	116	88	110	86	2.2745	2.0682	1.0491	1.9494	Noun	115	1	3.36	1	35.25	5	1	1	low	low1	3	30	1	2	31	32	33	34
7522	7521	goon	27877	116	64	67	55	2.2745	2.0682	0.76299	1.8129	Noun	99	0.86087	3.36	1	26	4	7	1	low	low1	3	30	1	2	31	32	33	34
8209	8208	heist	30048	160	100	142	92	3.1373	2.2068	1.1922	2.0043	Noun	154	0.96855	3.4987	1	24.25	5	1	1	low	low1	3	30	1	2	31	32	33	34
5345	5344	dread	19877	128	104	110	98	2.5098	2.1106	1.2399	2.0212	Noun	67	0.53175	3.4024	1	35	5	3	1	low	low1	3	30	1	2	31	32	33	34
8631	8630	hump	31509	225	162	197	156	4.4118	2.3541	1.9313	2.2122	Noun	127	0.56696	3.6459	1	16	4	8	1	low	low1	3	30	1	2	31	32	33	34
18936	18935	void	71602	209	160	200	157	4.098	2.3222	1.9075	2.2068	Noun	169	0.80861	3.6141	1	9	4	0	1	low	low1	3	30	1	2	31	32	33	34
1342	1341	beak	5204	107	88	100	85	2.098	2.0334	1.0491	1.9494	Noun	108	1	3.3253	1	30.67	4	11	1	low	low1	3	30	1	2	31	32	33	34
9724	9723	lark	36384	83	54	61	45	1.6275	1.9243	0.64378	1.7404	Noun	69	0.83133	3.2161	1	36	4	9	1	low	low1	3	30	1	2	31	32	33	34
9280	9279	jig	34846	87	62	80	58	1.7059	1.9445	0.73915	1.7993	Noun	81	0.93103	3.2363	1	5	3	11	1	low	low1	3	30	1	2	31	32	33	34
13725	13724	probe	50319	225	134	209	127	4.4118	2.3541	1.5975	2.1303	Noun	166	0.73778	3.6459	1	28	5	3	1	low	low1	3	30	1	2	31	32	33	34
7230	7229	gauge	26830	112	92	111	91	2.1961	2.0531	1.0968	1.9685	Noun	102	0.91071	3.3449	1	24.5	5	2	1	low	low1	3	30	1	2	31	32	33	34
16592	16591	splash	61478	215	170	179	151	4.2157	2.3345	2.0267	2.233	Noun	133	0.62441	3.6263	1	30.4	6	0	1	low	low1	3	30	1	2	31	32	33	34
2137	2136	brink	7947	127	110	112	102	2.4902	2.1072	1.3114	2.0453	Noun	123	0.9685	3.399	1	52.25	5	7	1	low	low1	3	30	1	2	31	32	33	34
16706	16705	stag	61960	81	56	72	48	1.5882	1.9138	0.66762	1.7559	Noun	75	0.90361	3.2056	1	8.67	4	7	1	low	low1	3	30	1	2	31	32	33	34
6732	6731	fluff	25025	72	54	63	49	1.4118	1.8633	0.64378	1.7404	Noun	51	0.70833	3.1552	1	24.75	5	1	1	low	low1	3	30	1	2	31	32	33	34
16489	16488	span	61060	101	86	95	81	1.9804	2.0086	1.0253	1.9395	Noun	74	0.74	3.3004	1	11.67	4	6	1	low	low1	3	30	1	2	31	32	33	34
16105	16104	skid	59494	111	74	79	58	2.1765	2.0492	0.88221	1.8751	Noun	78	0.7027	3.3411	1	8.33	4	6	1	low	low1	3	30	1	2	31	32	33	34
16316	16315	snob	60367	111	86	103	82	2.1765	2.0492	1.0253	1.9395	Noun	94	0.86239	3.3411	1	6	4	5	1	low	low1	3	30	1	2	31	32	33	34
7397	7396	glare	27423	82	72	80	71	1.6078	1.9191	0.85837	1.8633	Noun	62	0.7561	3.2109	1	44.75	5	4	1	low	low1	3	30	1	2	31	32	33	34
5504	5503	dwarf	20369	157	93	126	83	3.0784	2.1987	1.1087	1.9731	Noun	153	0.97452	3.4905	1	21.5	5	0	1	low	low1	3	30	1	2	31	32	33	34
6830	6829	fore	25359	135	96	78	60	2.6471	2.1335	1.1445	1.9868	Noun	61	0.45185	3.4254	1	32.33	4	15	1	low	low1	3	30	1	2	31	32	33	34
13916	13915	puff	51117	227	168	174	144	4.451	2.3579	2.0029	2.2279	Noun	187	0.82379	3.6498	1	11.33	4	6	1	low	low1	3	30	1	2	31	32	33	34
14311	14310	rave	52397	129	89	109	80	2.5294	2.1139	1.061	1.9542	Noun	91	0.70543	3.4058	1	20	4	14	1	low	low1	3	30	1	2	31	32	33	34
2096	2095	brew	7831	128	91	119	85	2.5098	2.1106	1.0849	1.9638	Noun	83	0.64844	3.4024	1	13	4	6	1	low	low1	3	30	1	2	31	32	33	34
18296	18295	troll	67858	138	54	107	48	2.7059	2.143	0.64378	1.7404	Noun	135	0.99265	3.4348	1	37.75	5	2	1	low	low1	3	30	1	2	31	32	33	34
2212	2211	brute	8187	162	133	142	119	3.1765	2.2122	1.5856	2.1271	Noun	162	1	3.504	1	29.25	5	0	1	low	low1	3	30	1	2	31	32	33	34
12719	12718	pawn	46784	221	136	201	129	4.3333	2.3464	1.6214	2.1367	Noun	145	0.65909	3.6382	1	20	4	7	1	low	low1	3	30	1	2	31	32	33	34
7748	7747	grub	28617	139	106	123	101	2.7255	2.1461	1.2637	2.0294	Noun	135	0.97826	3.438	1	7.33	4	1	1	low	low1	3	30	1	2	31	32	33	34
19033	19032	wand	71931	157	74	152	73	3.0784	2.1987	0.88221	1.8751	Noun	155	1	3.4905	1	34	4	9	1	low	low1	3	30	1	2	31	32	33	34
4315	4314	cult	15679	227	142	213	135	4.451	2.3579	1.6929	2.1553	Noun	227	1	3.6498	1	19.67	4	4	1	low	low1	3	30	1	2	31	32	33	34
12168	12167	orb	44752	140	67	122	61	2.7451	2.1492	0.79876	1.8325	Noun	140	1	3.4411	1	1.5	3	1	1	low	low1	3	30	1	2	31	32	33	34
4044	4043	cove	14759	166	80	57	33	3.2549	2.2227	0.95374	1.9085	Noun	164	0.98795	3.5146	1	22.33	4	14	1	low	low1	3	30	1	2	31	32	33	34
2053	2052	brawl	7700	108	88	106	86	2.1176	2.0374	1.0491	1.9494	Noun	96	0.8972	3.3293	1	34.5	5	4	1	low	low1	3	30	1	2	31	32	33	34
19525	19524	yarn	73860	81	60	78	59	1.5882	1.9138	0.71531	1.7853	Noun	81	1	3.2056	1	28	4	7	1	low	low1	3	30	1	2	31	32	33	34
17149	17148	suede	63552	92	53	88	51	1.8039	1.9685	0.63186	1.7324	Noun	92	1	3.2603	1	16.75	5	1	1	low	low1	3	30	1	2	31	32	33	34
7801	7800	guild	28755	103	53	14	11	2.0196	2.017	0.63186	1.7324	Noun	100	0.97087	3.3089	1	24.5	5	3	1	low	low1	3	30	1	2	31	32	33	34
10060	10059	limp	37337	187	152	183	149	3.6667	2.2742	1.8121	2.1847	Noun	109	0.57979	3.566	1	18	4	6	1	low	low1	3	30	1	2	31	32	33	34
18313	18312	trough	67916	72	58	70	56	1.4118	1.8633	0.69146	1.7709	Noun	72	1	3.1552	1	36	6	1	1	low	low1	3	30	1	2	31	32	33	34
3152	3151	chimp	11109	153	57	150	57	3	2.1875	0.67954	1.7634	Noun	142	0.9281	3.4794	1	30	5	4	1	low	low1	3	30	1	2	31	32	33	34
14457	14456	reel	53181	166	110	137	100	3.2549	2.2227	1.3114	2.0453	Noun	101	0.60843	3.5146	1	23	4	8	1	low	low1	3	30	1	2	31	32	33	34
6663	6662	flea	24755	169	110	133	102	3.3137	2.2304	1.3114	2.0453	Noun	139	0.82738	3.5223	1	12.67	4	5	1	low	low1	3	30	1	2	31	32	33	34
