"numid.f" "X.f" "Word.s" "Unnamed.f" "FREQcount.f" "Cdcount.f" "FREQlow.f" "Cdlow.f" "SUBLTLWF.f" "Lg10WF.f" "SUBTLCD.f" "Lg10CD.f" "Dom_PoS_SUBTLEX.s" "Freq_dom_PoS_SUBTLEX.f" "Percentage_dom_PoS.f" "Zipfvalue.f" "cmu_sylls.f" "BF_TP.f" "LEN_L.f" "N.f" "Zipfvalue_incl.f" "Zipfvalue_cat.s"
"528" 5373 5372 "drink" 19967 12617 4353 11605 4198 247.3921569 4.100990523 51.89556509 3.638888425 "Noun" 6454 0.512181573 5.392824665 1 51.75 5 3 1 "high"
"532" 5443 5442 "dude" 20166 5071 1581 2783 1222 99.43137255 3.705179245 18.84835479 3.199206479 "Noun" 5050 0.997432352 4.997013387 1 16 4 5 1 "high"
"534" 5492 5491 "duration" 20329 81 75 74 69 1.588235294 1.913813852 0.894134478 1.880813592 "Noun" 81 1 3.205647995 3 95.86 8 0 1 "low"
"535" 5496 5495 "dust" 20342 1216 811 1107 770 23.84313725 3.085290578 9.668574154 2.909556029 "Noun" 941 0.773212818 4.37712472 1 28.33 4 11 1 "high"
"540" 5531 5530 "ear" 20453 1632 1106 1579 1092 32 3.212986185 13.1855031 3.044147621 "Noun" 1630 1 4.504820327 1 6 3 11 1 "high"
"541" 5550 5549 "earth" 20500 5074 2339 2773 1703 99.49019608 3.705436047 27.88507392 3.369215857 "Noun" 5058 0.998223801 4.997270189 1 35 5 0 1 "high"
"543" 5561 5560 "east" 20534 2527 1461 1027 721 49.54901961 3.40277707 17.41773963 3.164947373 "Noun" 2359 0.935739786 4.694611212 1 26.67 4 10 1 "high"
"545" 5597 5596 "edge" 20664 1199 907 1150 895 23.50980392 3.079181246 10.81306629 2.958085849 "Noun" 1194 0.996661102 4.371015388 1 5 4 1 1 "high"
"546" 5605 5604 "editing" 20690 108 72 98 67 2.117647059 2.037426498 0.858369099 1.86332286 "Noun" 79 0.731481481 3.32926064 3 288.33 7 1 1 "low"
"550" 5627 5626 "egg" 20787 1328 726 1237 694 26.03921569 3.123524981 8.655221745 2.861534411 "Noun" 1314 0.990203466 4.415359123 1 1.5 3 1 1 "high"
"562" 5755 5754 "emptiness" 21344 92 79 91 78 1.803921569 1.968482949 0.94182165 1.903089987 "Noun" 92 1 3.260317091 3 82.63 9 0 1 "low"
"565" 5777 5776 "end" 21466 13559 5673 12881 5552 265.8627451 4.13225969 67.6323319 3.753889331 "Noun" 9153 0.677347739 5.424093832 1 1.5 3 1 1 "high"
"566" 5780 5779 "endeavor" 21479 76 67 67 62 1.490196078 1.886490725 0.798760134 1.832508913 "Noun" 54 0.710526316 3.178324867 3 30.86 8 0 1 "low"
"591" 6107 6106 "expertise" 22949 203 177 199 175 3.980392157 2.309630167 2.110157368 2.250420002 "Noun" 203 1 3.60146431 3 103.25 9 0 1 "low"
"597" 6139 6138 "extinction" 23111 76 65 71 63 1.490196078 1.886490725 0.774916547 1.819543936 "Noun" 76 1 3.178324867 3 122 10 0 1 "low"
"599" 6141 6140 "extraction" 23136 126 91 118 87 2.470588235 2.103803721 1.084883166 1.963787827 "Noun" 125 0.992063492 3.395637863 3 123.11 10 0 1 "low"
"600" 6151 6150 "eye" 23209 5701 3216 5464 3157 111.7843137 3.756027213 38.34048641 3.507451061 "Noun" 5672 0.995786517 5.047861355 1 3.5 3 8 1 "high"
"606" 6225 6224 "faith" 23399 2363 1220 2008 1159 46.33333333 3.373647472 14.54458751 3.086715664 "Noun" 2358 0.99830652 4.665481614 1 36 5 1 1 "high"
"611" 6264 6263 "fare" 23552 314 248 289 242 6.156862745 2.498310554 2.956604673 2.396199347 "Noun" 233 0.746794872 3.790144696 1 39.33 4 17 1 "high"
"612" 6268 6267 "farm" 23561 1532 731 1369 681 30.03921569 3.185542155 8.714830711 2.864511081 "Noun" 1518 0.991508818 4.477376297 1 29.67 4 6 1 "high"
"613" 6298 6297 "fate" 23651 1375 865 1260 824 26.96078431 3.138618434 10.31235098 2.937517892 "Noun" 1373 0.998545455 4.430452576 1 23.67 4 14 1 "high"
"614" 6313 6312 "fault" 23699 5310 3101 5291 3091 104.1176471 3.725176301 36.96948021 3.491641793 "Noun" 5278 0.994535519 5.017010444 1 20.25 5 1 1 "high"
"616" 6328 6327 "fear" 23758 3523 1912 3206 1821 69.07843137 3.5470359 22.79446829 3.28171497 "Noun" 2110 0.598921374 4.838870042 1 32 4 11 1 "high"
"619" 6345 6344 "fee" 23819 494 358 475 349 9.68627451 2.694605199 4.268001907 2.555094449 "Noun" 494 1 3.986439341 1 7.5 3 15 1 "high"
"625" 6431 6430 "fiasco" 24077 83 70 82 69 1.62745098 1.924279286 0.834525513 1.851258349 "Noun" 84 1 3.216113428 3 23 6 0 1 "low"
"628" 6477 6476 "file" 24217 2246 1279 2129 1243 44.03921569 3.351603072 15.2479733 3.10720997 "Noun" 1652 0.736842105 4.643437215 1 28.67 4 12 1 "high"
"629" 6494 6493 "film" 24256 3328 1013 3210 974 65.25490196 3.522313795 12.07677635 3.006037955 "Noun" 3259 0.980445247 4.814147937 1 20 4 3 1 "high"
"635" 6562 6561 "firm" 24434 1799 966 1754 944 35.2745098 3.255272505 11.51645207 2.985426474 "Noun" 1434 0.796666667 4.547106647 1 16.33 4 5 1 "high"
"642" 6621 6620 "flank" 24630 236 132 222 127 4.62745098 2.374748346 1.573676681 2.123851641 "Noun" 217 0.919491525 3.666582488 1 44.75 5 5 1 "high"
"646" 6647 6646 "flat" 24679 1337 913 1233 866 26.21568627 3.126456113 10.88459704 2.960946196 "Noun" 658 0.491778774 4.418290256 1 21.67 4 9 1 "high"
"649" 6670 6669 "fleet" 24778 540 217 454 192 10.58823529 2.733197265 2.587029089 2.338456494 "Noun" 506 0.940520446 4.025031407 1 34.25 5 2 1 "high"
"650" 6672 6671 "flesh" 24791 1125 792 1062 773 22.05882353 3.051538391 9.442060086 2.899273187 "Noun" 1126 1 4.343372533 1 28.25 5 3 1 "high"
"652" 6680 6679 "flight" 24831 3044 1358 2524 1255 59.68627451 3.483587297 16.18979495 3.133219457 "Noun" 3030 0.99901088 4.775421439 1 32 6 5 1 "high"
"656" 6703 6702 "floor" 24919 5132 2732 5030 2699 100.627451 3.710371264 32.57033858 3.436639632 "Noun" 5099 0.993763399 5.002205406 1 39 5 2 1 "high"
"658" 6725 6724 "flow" 24992 701 484 665 473 13.74509804 2.846337112 5.77014783 2.685741739 "Noun" 535 0.776487663 4.138171254 1 18.33 4 8 1 "high"
"659" 6729 6728 "flu" 25009 444 255 423 248 8.705882353 2.648360011 3.040057225 2.408239965 "Noun" 442 0.997742664 3.940194153 1 1.5 3 1 1 "high"
"668" 6797 6796 "fool" 25247 4556 2370 4311 2308 89.33333333 3.658679029 28.2546495 3.374931554 "Noun" 2789 0.614317181 4.950513171 1 27 4 10 1 "high"
"670" 6827 6826 "force" 25345 3604 1985 2918 1808 70.66666667 3.556905269 23.66475918 3.297979244 "Noun" 2766 0.768974145 4.848739411 1 32.5 5 3 1 "high"
"672" 6844 6843 "foreigner" 25396 150 102 132 93 2.941176471 2.178976947 1.21602289 2.012837225 "Noun" 150 1 3.470811089 3 58.38 9 0 1 "low"
"675" 6874 6873 "form" 25516 2180 1535 2088 1485 42.74509804 3.338655666 18.29995231 3.186391216 "Noun" 1650 0.757575758 4.630489808 1 22.67 4 10 1 "high"
"678" 6903 6902 "foundation" 25659 740 374 336 237 14.50980392 2.869818208 4.458750596 2.574031268 "Noun" 733 0.994572592 4.16165235 3 132.22 10 0 1 "high"
"681" 6952 6951 "freak" 25846 1874 1198 1741 1148 36.74509804 3.273001272 14.28230806 3.078819183 "Noun" 1087 0.581283422 4.564835414 1 32 5 3 1 "high"
"682" 6972 6971 "freight" 25924 196 144 178 133 3.843137255 2.294466226 1.716738197 2.161368002 "Noun" 195 1 3.586300368 1 30.33 7 0 1 "low"
"684" 6998 6997 "friend" 26000 21384 6178 20982 6147 419.2941176 4.330109255 73.65283739 3.790918195 "Noun" 21297 0.997424129 5.621943397 1 45.8 6 0 1 "high"
"687" 7033 7032 "fruit" 26153 1108 715 994 661 21.7254902 3.044931546 8.524082022 2.854913022 "Noun" 1108 1 4.336765688 1 19.5 5 0 1 "high"
"690" 7060 7059 "fun" 26274 12010 4632 11650 4589 235.4901961 4.079579167 55.22174535 3.6658623 "Noun" 6172 0.514762302 5.371413309 1 6 3 13 1 "high"
"691" 7063 7062 "fund" 26284 541 388 461 335 10.60784314 2.733999287 4.625655699 2.589949601 "Noun" 486 0.896678967 4.025833429 1 21 4 4 1 "high"
"698" 7121 7120 "gal" 26505 725 429 671 411 14.21568627 2.860936621 5.114449213 2.633468456 "Noun" 705 1 4.152770763 1 4.5 3 8 1 "high"
"699" 7126 7125 "galaxy" 26515 339 152 232 137 6.647058824 2.531478917 1.812112542 2.184691431 "Noun" 336 0.991150442 3.823313059 3 29.6 6 0 1 "high"
"702" 7152 7151 "game" 26592 11926 3774 11451 3698 233.8431373 4.076531219 44.99284692 3.576916956 "Noun" 11721 0.984296271 5.368365361 1 20.67 4 13 1 "high"
"703" 7164 7163 "gang" 26622 1537 802 1388 742 30.1372549 3.186956335 9.561278016 2.904715545 "Noun" 1490 0.972584856 4.478790478 1 32 4 9 1 "high"
"711" 7218 7217 "gate" 26794 1634 902 1334 779 32.03921569 3.213517757 10.75345732 2.95568775 "Noun" 1633 0.999388005 4.505351899 1 24.67 4 13 1 "high"
"716" 7252 7251 "geek" 26898 353 237 311 223 6.921568627 2.549003262 2.82546495 2.376576957 "Noun" 275 0.774647887 3.840837404 1 20.33 4 5 1 "high"
"723" 7342 7341 "gift" 27230 3290 1877 3242 1856 64.50980392 3.517327882 22.37720553 3.273695588 "Noun" 3287 1 4.809162024 1 10 4 5 1 "high"
"725" 7364 7363 "girl" 27336 28413 6143 27239 6094 557.1176471 4.453532376 73.23557463 3.788451207 "Noun" 28298 0.999893997 5.745366518 1 11.67 4 3 1 "high"
"733" 7437 7436 "glow" 27586 293 232 278 219 5.745098039 2.46834733 2.765855985 2.367355921 "Noun" 190 0.650684932 3.760181473 1 14.33 4 4 1 "high"
"734" 7439 7438 "glue" 27598 300 220 268 206 5.882352941 2.478566496 2.622794468 2.344392274 "Noun" 233 0.776666667 3.770400638 1 10 4 6 1 "high"
"738" 7478 7477 "godmother" 27732 82 49 72 44 1.607843137 1.919078092 0.584167859 1.698970004 "Noun" 83 1 3.210912235 3 30.38 9 0 1 "low"
"739" 7489 7488 "gold" 27763 4026 1533 3398 1357 78.94117647 3.60498163 18.27610873 3.18582536 "Noun" 3764 0.937484433 4.896815772 1 21.33 4 9 1 "high"
"740" 7498 7497 "golf" 27796 1302 604 1192 568 25.52941176 3.114944416 7.200762995 2.781755375 "Noun" 1302 1 4.406778558 1 19 4 3 1 "high"
"743" 7526 7525 "goose" 27887 665 376 424 314 13.03921569 2.823474229 4.482594182 2.57634135 "Noun" 636 0.959276018 4.115308371 1 37.5 5 4 1 "high"
"748" 7569 7568 "grade" 28035 1493 993 1442 967 29.2745098 3.174350597 11.83834049 2.997386384 "Noun" 1358 0.90896921 4.46618474 1 43 5 7 1 "high"
"751" 7582 7581 "grain" 28067 243 179 233 172 4.764705882 2.387389826 2.134000954 2.255272505 "Noun" 243 1 3.679223968 1 44.25 5 5 1 "high"
"755" 7621 7620 "grass" 28200 856 550 797 531 16.78431373 2.932980822 6.556986171 2.741151599 "Noun" 852 0.996491228 4.224814964 1 46.5 5 7 1 "high"
"757" 7634 7633 "grave" 28241 1340 881 1285 868 26.2745098 3.127428778 10.50309967 2.945468585 "Noun" 1039 0.77886057 4.41926292 1 44.25 5 9 1 "high"
"759" 7648 7647 "grease" 28290 354 271 296 242 6.941176471 2.550228353 3.230805913 2.434568904 "Noun" 280 0.793201133 3.842062495 1 51 6 2 1 "high"
"768" 7728 7727 "group" 28575 3762 2097 3033 1680 73.76470588 3.575534218 25 3.321805484 "Noun" 3456 0.998266898 4.86736836 1 34.25 5 1 1 "high"
"773" 7767 7766 "guard" 28683 2968 1569 2122 1297 58.19607843 3.472610198 18.70529328 3.195899652 "Noun" 2149 0.72332548 4.76444434 1 26.75 5 0 1 "high"
"775" 7787 7786 "guest" 28726 2037 1381 1990 1363 39.94117647 3.30920418 16.46399619 3.140508043 "Noun" 2032 0.999016716 4.601038322 1 21.5 5 2 1 "high"
"776" 7794 7793 "guide" 28742 910 657 758 563 17.84313725 2.959518377 7.832618026 2.818225894 "Noun" 551 0.605494505 4.251352519 1 20.5 5 3 1 "high"
"780" 7826 7825 "gum" 28814 683 442 616 416 13.39215686 2.835056102 5.269432523 2.646403726 "Noun" 647 0.947291362 4.126890244 1 5.5 3 11 1 "high"
"781" 7831 7830 "gun" 28832 10873 2976 10548 2928 213.1960784 4.036389329 35.47925608 3.473778835 "Noun" 10813 0.996589862 5.328223471 1 7 3 14 1 "high"
"782" 7868 7867 "gut" 28923 497 393 474 379 9.745098039 2.697229343 4.685264664 2.595496222 "Noun" 438 0.881287726 3.989063485 1 7.5 3 16 1 "high"
"783" 7873 7872 "guy" 28944 38893 6594 37462 6561 762.6078431 4.58988261 78.61230329 3.8192148 "Noun" 37515 0.965910554 5.881716752 1 3.5 3 6 1 "high"
"784" 7877 7876 "gym" 28954 927 530 860 520 18.17647059 2.967547976 6.31855031 2.725094521 "Noun" 927 1 4.259382118 1 1 3 2 1 "high"
"785" 7881 7880 "gymnastics" 28959 78 44 69 40 1.529411765 1.897627091 0.524558894 1.653212514 "Noun" 78 1 3.189461233 3 57.22 10 0 1 "low"
"787" 7915 7914 "hair" 29101 7831 3632 7535 3582 153.5490196 3.893872679 43.29995231 3.560265398 "Noun" 7819 0.999872123 5.185706821 1 24 4 5 1 "high"
"791" 7962 7961 "hand" 29273 14262 5562 13466 5431 279.6470588 4.154210882 66.30901288 3.74530906 "Noun" 13177 0.924961393 5.446045024 1 33.33 4 9 1 "high"
"795" 8017 8016 "happiness" 29425 1249 842 1157 799 24.49019608 3.096910013 10.03814974 2.925827575 "Noun" 1243 0.998393574 4.388744155 3 72.25 9 0 1 "high"
"798" 8043 8042 "harm" 29522 1621 1181 1595 1169 31.78431373 3.21005085 14.07963758 3.072617477 "Noun" 1039 0.643742255 4.501884992 1 33.67 4 7 1 "high"
"802" 8070 8069 "hatch" 29642 654 258 508 245 12.82352941 2.8162413 3.075822604 2.413299764 "Noun" 439 0.674347158 4.108075442 1 42.5 5 7 1 "high"
"805" 8110 8109 "head" 29777 18947 6294 18207 6235 371.5098039 4.277563376 75.03576538 3.798995734 "Noun" 17392 0.919093167 5.569397518 1 32 4 12 1 "high"
"806" 8131 8130 "headmaster" 29819 112 49 61 36 2.196078431 2.053078443 0.584167859 1.698970004 "Noun" 112 1 3.344912586 3 49.89 10 0 1 "low"
"807" 8150 8149 "health" 29865 2054 1341 1736 1218 40.2745098 3.312811826 15.98712446 3.127752516 "Noun" 2048 0.998537299 4.604645968 1 40.4 6 2 1 "high"
"810" 8170 8169 "heat" 29931 2044 1315 1926 1260 40.07843137 3.310693312 15.67715784 3.119255889 "Noun" 1850 0.904645477 4.602527454 1 34.67 4 11 1 "high"
"813" 8194 8193 "heel" 30007 377 281 305 242 7.392156863 2.5774918 3.350023844 2.450249108 "Noun" 310 0.82010582 3.869325942 1 25.67 4 7 1 "high"
"822" 8268 8267 "hernia" 30286 91 72 89 70 1.784313725 1.963787827 0.858369099 1.86332286 "Noun" 91 1 3.255621969 3 28.8 6 0 1 "low"
"824" 8327 8326 "hill" 30491 1915 920 1028 623 37.54901961 3.282395505 10.96804959 2.96425963 "Noun" 1552 0.810443864 4.574229647 1 32.33 4 14 1 "high"
"830" 8406 8405 "hole" 30751 2969 1755 2846 1711 58.21568627 3.472756449 20.92274678 3.244524512 "Noun" 2945 0.993254637 4.764590591 1 30.67 4 14 1 "high"
"834" 8470 8469 "hood" 30980 785 475 560 379 15.39215686 2.895422546 5.662851693 2.677606953 "Noun" 561 0.715561224 4.187256688 1 29.67 4 10 1 "high"
"836" 8477 8476 "hook" 31002 1938 1285 1603 1160 38 3.287577809 15.31950405 3.109240969 "Noun" 954 0.493023256 4.579411951 1 28.67 4 12 1 "high"
"844" 8570 8569 "house" 31268 26214 6040 24470 5849 514 4.418549862 72.00762995 3.781108836 "Noun" 25883 0.989449138 5.710384004 1 42.25 5 5 1 "high"
"846" 8603 8602 "hug" 31396 986 695 910 653 19.33333333 2.994317153 8.285646161 2.84260924 "Noun" 580 0.590631365 4.286151295 1 8.5 3 17 1 "high"
"849" 8634 8633 "hunch" 31524 383 292 382 291 7.509803922 2.584331224 3.481163567 2.46686762 "Noun" 378 0.992125984 3.876165367 1 33.5 5 4 1 "high"
"856" 8697 8696 "hypnosis" 31801 101 57 88 52 1.980392157 2.008600172 0.679542203 1.763427994 "Noun" 100 1 3.300434314 3 9.86 8 0 1 "low"
"858" 8715 8714 "ice" 31899 4057 1974 3725 1891 79.54901961 3.608312043 23.53361946 3.2955671 "Noun" 4018 0.991364421 4.900146185 1 2 3 3 1 "high"
"864" 8775 8774 "imbecile" 32165 147 109 130 97 2.882352941 2.170261715 1.299475441 2.041392685 "Noun" 109 0.751724138 3.462095858 3 41 8 0 1 "low"
"867" 8815 8814 "impostor" 32459 101 70 101 70 1.980392157 2.008600172 0.834525513 1.851258349 "Noun" 101 1 3.300434314 3 37 8 0 1 "low"
"870" 8845 8844 "inch" 32664 631 499 621 496 12.37254902 2.800717078 5.948974726 2.698970004 "Noun" 597 0.950636943 4.09255122 1 6 4 1 1 "high"
"882" 8984 8983 "inn" 33400 428 177 419 176 8.392156863 2.632457292 2.110157368 2.250420002 "Noun" 420 0.992907801 3.924291434 1 1.5 3 2 1 "high"
"895" 9066 9065 "interface" 33824 77 55 74 55 1.509803922 1.892094603 0.655698617 1.748188027 "Noun" 57 0.74025974 3.183928745 3 76.75 9 0 1 "low"
"896" 9078 9077 "internet" 33901 334 210 288 172 6.549019608 2.525044807 2.503576538 2.324282455 "Noun" 322 0.969879518 3.816878949 3 75.71 8 1 1 "high"
"910" 9219 9218 "jar" 34643 424 297 413 289 8.31372549 2.62838893 3.540772532 2.474216264 "Noun" 421 0.992924528 3.920223072 1 8 3 14 1 "high"
"915" 9250 9249 "jellyfish" 34745 74 40 67 38 1.450980392 1.875061263 0.476871722 1.612783857 "Noun" 74 1 3.166895406 3 35.88 9 0 1 "low"
"916" 9252 9251 "jerk" 34769 1690 1110 1531 1031 33.1372549 3.228143608 13.23319027 3.045714059 "Noun" 1169 0.691306919 4.51997775 1 14 4 1 1 "high"
"922" 9309 9308 "joke" 34985 3724 2158 3649 2134 73.01960784 3.571126277 25.72722938 3.334252642 "Noun" 3455 0.928264374 4.862960419 1 12.67 4 5 1 "high"
"924" 9329 9328 "joy" 35067 1456 923 1095 815 28.54901961 3.163459552 11.00381497 2.965671971 "Noun" 1118 0.773167358 4.455293694 1 4.5 3 8 1 "high"
"926" 9378 9377 "junk" 35197 784 570 742 552 15.37254902 2.894869657 6.795422031 2.756636108 "Noun" 769 0.982120051 4.186703799 1 20 4 5 1 "high"
"929" 9470 9469 "kid" 35553 17299 4625 15988 4556 339.1960784 4.238046103 55.1382928 3.665205628 "Noun" 16701 0.96755692 5.529880245 1 6 3 10 1 "high"
"933" 9504 9503 "kind" 35635 30125 7317 28973 7259 590.6862745 4.478941472 87.23175966 3.864392405 "Noun" 21140 0.702185611 5.770775614 1 29.33 4 8 1 "high"
"937" 9551 9550 "knee" 35798 749 533 723 519 14.68627451 2.875061263 6.354315689 2.727541257 "Noun" 744 0.993324433 4.166895406 1 5.33 4 1 1 "high"
"940" 9604 9603 "lab" 36032 2020 1007 1821 969 39.60784314 3.305566314 12.00524559 3.003460532 "Noun" 2011 1 4.597400456 1 7 3 14 1 "high"
"945" 9648 9647 "lake" 36169 1836 802 1074 497 36 3.264109156 9.561278016 2.904715545 "Noun" 1753 0.955834242 4.555943298 1 21.67 4 15 1 "high"
"946" 9653 9652 "lamb" 36186 542 322 426 280 10.62745098 2.73479983 3.838817358 2.509202522 "Noun" 431 0.796672828 4.026633972 1 20.33 4 3 1 "high"
"947" 9667 9666 "lance" 36251 554 130 100 37 10.8627451 2.744292983 1.549833095 2.117271296 "Noun" 472 0.853526221 4.036127125 1 39.25 5 1 1 "high"
"948" 9672 9671 "land" 36262 4494 2074 3993 1923 88.11764706 3.652729696 24.72579876 3.317018101 "Noun" 3345 0.746318608 4.944563838 1 33.67 4 11 1 "high"
"950" 9698 9697 "lane" 36303 1704 513 319 235 33.41176471 3.231724383 6.115879828 2.710963119 "Noun" 1593 0.943161634 4.523558525 1 36.67 4 16 1 "high"
"957" 9753 9752 "latitude" 36474 81 67 72 60 1.588235294 1.913813852 0.798760134 1.832508913 "Noun" 78 1 3.205647995 3 47 8 0 1 "low"
"959" 9779 9778 "law" 36559 5932 2517 5421 2413 116.3137255 3.773274348 30.00715308 3.401055726 "Noun" 5908 0.996794331 5.06510849 1 8.5 3 16 1 "high"
"960" 9785 9784 "lawn" 36574 630 424 604 411 12.35294118 2.800029359 5.054840248 2.62838893 "Noun" 629 1 4.091863501 1 19.67 4 7 1 "high"
"964" 9825 9824 "leak" 36664 517 382 504 379 10.1372549 2.71432976 4.55412494 2.583198774 "Noun" 418 0.808510638 4.006163902 1 29 4 9 1 "high"
"970" 9865 9864 "leg" 36796 2882 1588 2832 1566 56.50980392 3.459844642 18.93180734 3.201123897 "Noun" 2871 0.997221257 4.751678785 1 5.5 3 12 1 "high"
"972" 9896 9895 "lemonade" 36887 281 192 229 165 5.509803922 2.450249108 2.288984263 2.285557309 "Noun" 281 1 3.74208325 3 32.29 8 0 1 "high"
"980" 10000 9999 "life" 37180 40629 7596 38855 7561 796.6470588 4.608846822 90.55793991 3.880642126 "Noun" 40575 0.999975355 5.900680964 1 14 4 10 1 "high"
"981" 10025 10024 "light" 37228 8425 3924 7737 3767 165.1960784 3.925621455 46.78111588 3.593839661 "Noun" 5589 0.664645023 5.217455597 1 18.75 5 8 1 "high"
"986" 10065 10064 "line" 37359 10515 4539 10060 4455 206.1764706 4.021850577 54.1130186 3.657055853 "Noun" 9959 0.948115004 5.31368472 1 37 4 22 1 "high"
"989" 10118 10117 "list" 37492 4110 2176 4045 2151 80.58823529 3.613947477 25.94182165 3.337858429 "Noun" 3958 0.965365854 4.905781619 1 28 4 11 1 "high"
"992" 10159 10158 "load" 37616 1490 1096 1336 1005 29.21568627 3.173477643 13.06628517 3.040206628 "Noun" 1005 0.674949631 4.465311786 1 23.67 4 9 1 "high"
"1004" 10273 10272 "lord" 37947 7046 1994 1421 360 138.1568627 3.848004271 23.77205532 3.2999429 "Noun" 5117 0.728398577 5.139838414 1 28.33 4 7 1 "high"
"1005" 10283 10282 "loss" 37978 1485 1144 1445 1126 29.11764706 3.172018809 13.63853124 3.058805487 "Noun" 1484 1 4.463852952 1 24.33 4 12 1 "high"
"1006" 10285 10284 "lot" 37981 29066 7185 28738 7165 569.9215686 4.463400211 85.65808298 3.856487213 "Noun" 21770 0.749242841 5.755234353 1 8.5 3 17 1 "high"
"1008" 10291 10290 "lounge" 38009 401 273 327 232 7.862745098 2.604226053 3.254649499 2.437750563 "Noun" 388 0.967581047 3.896060195 1 42.6 6 0 1 "high"
"1010" 10319 10318 "luck" 38141 7840 3874 7609 3815 153.7254902 3.894371454 46.18502623 3.588271707 "Noun" 7775 0.992848934 5.186205596 1 22 4 12 1 "high"
"1015" 10348 10347 "lunch" 38231 5310 2637 4997 2561 104.1176471 3.725176301 31.43776824 3.421274791 "Noun" 5242 0.986822289 5.017010444 1 33.5 5 6 1 "high"
"1020" 10413 10412 "mafia" 38503 238 150 53 44 4.666666667 2.378397901 1.788268956 2.178976947 "Noun" 235 0.991561181 3.670232043 3 15 5 2 1 "high"
"1024" 10437 10436 "magnitude" 38574 73 67 72 66 1.431372549 1.86923172 0.798760134 1.832508913 "Noun" 72 1 3.161065862 3 33.25 9 0 1 "low"
"1025" 10448 10447 "maid" 38598 1164 614 1082 580 22.82352941 3.066325925 7.319980925 2.788875116 "Noun" 1160 1 4.358160068 1 26.33 4 7 1 "high"
"1026" 10452 10451 "mail" 38606 1879 1110 1718 1061 36.84313725 3.274157849 13.23319027 3.045714059 "Noun" 1630 0.869797225 4.565991991 1 27.67 4 15 1 "high"
"1030" 10517 10516 "man" 38821 94133 8054 84739 7956 1845.745098 4.973746513 96.01812113 3.906065545 "Noun" 93487 0.995251935 6.265580656 1 9.5 3 19 1 "high"
"1036" 10567 10566 "manpower" 38996 105 96 102 94 2.058823529 2.025305865 1.144492132 1.986771734 "Noun" 105 1 3.317140007 3 63 8 0 1 "low"
"1039" 10584 10583 "map" 39053 1623 805 1587 792 31.82352941 3.210586025 9.597043395 2.906335042 "Noun" 1561 0.962392109 4.502420167 1 10.5 3 20 1 "high"
"1046" 10673 10672 "mask" 39334 1010 480 912 463 19.80392157 3.004751156 5.722460658 2.682145076 "Noun" 957 0.951292247 4.296585298 1 26.33 4 9 1 "high"
"1052" 10711 10710 "mate" 39441 1491 650 1386 628 29.23529412 3.173768823 7.749165474 2.813580989 "Noun" 1355 0.910006716 4.465602965 1 28 4 19 1 "high"
"1053" 10719 10718 "math" 39470 836 508 709 473 16.39215686 2.922725458 6.056270863 2.706717782 "Noun" 835 1 4.2145596 1 23.33 4 10 1 "high"
"1057" 10766 10765 "meal" 39639 1472 1048 1441 1030 28.8627451 3.168202747 12.4940391 3.020775488 "Noun" 1471 1 4.460036889 1 31.33 4 12 1 "high"
"1058" 10777 10776 "meat" 39684 2226 1286 2083 1247 43.64705882 3.347720217 15.33142585 3.109578547 "Noun" 2227 1 4.639554359 1 32 4 13 1 "high"
"1065" 10854 10853 "men" 39952 19011 4996 17450 4804 372.7647059 4.279027806 59.56127802 3.698709349 "Noun" 18999 0.999842122 5.570861948 1 6.5 3 13 1 "high"
"1066" 10898 10897 "mess" 40167 3985 2614 3856 2560 78.1372549 3.600537294 31.163567 3.417471693 "Noun" 2822 0.708333333 4.892371437 1 15.67 4 7 1 "high"
"1074" 11048 11047 "mind" 40680 24715 6870 23477 6771 484.6078431 4.392978187 81.90271817 3.837019949 "Noun" 12457 0.504740681 5.684812329 1 31.33 4 12 1 "high"
"1079" 11080 11079 "minivan" 40768 81 52 81 52 1.588235294 1.913813852 0.619933238 1.72427587 "Noun" 74 0.925 3.205647995 3 37 7 0 1 "low"
"1083" 11126 11125 "misery" 40929 526 381 418 359 10.31372549 2.721810615 4.542203147 2.582063363 "Noun" 523 0.996190476 4.013644757 3 58.6 6 1 1 "high"
"1085" 11146 11145 "miss" 41025 23850 5432 8516 4163 467.6470588 4.377506592 64.75917978 3.735039705 "Noun" 15492 0.649968534 5.669340735 1 19 4 7 1 "high"
"1087" 11189 11188 "mob" 41161 660 384 579 346 12.94117647 2.820201459 4.577968526 2.58546073 "Noun" 634 0.963525836 4.112035602 1 8 3 14 1 "high"
"1089" 11203 11202 "mode" 41203 263 198 236 187 5.156862745 2.421603927 2.360515021 2.298853076 "Noun" 254 0.965779468 3.713438069 1 19 4 10 1 "high"
"1092" 11237 11236 "mold" 41307 219 153 210 151 4.294117647 2.342422681 1.824034335 2.187520721 "Noun" 164 0.752293578 3.634256823 1 23.67 4 11 1 "low"
"1093" 11241 11240 "mole" 41315 411 162 316 148 8.058823529 2.614897216 1.931330472 2.212187604 "Noun" 396 0.968215159 3.906731358 1 29.67 4 14 1 "high"
"1094" 11252 11251 "mom" 41356 21950 4077 8199 2746 430.3921569 4.34145431 48.60515021 3.610447221 "Noun" 21822 0.998535737 5.633288452 1 4.5 3 9 1 "high"
