word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
briar-N	1	5	4	2	0	0	0	0	N	
wink-N	7	4	4	1	521	515	501	0	N	
enjoin-V	1	6	5	2	0	0	0	0	V	
toffee-N	1	6	4	2	0	0	0	0	N	
thorn-N	3	5	3	1	454	586	600	0	N	
shit-V	2	4	3	1	0	0	0	0	V	
quiz-N	2	4	4	1	0	0	0	0	N	
blazed-V	2	6	5	2	0	0	0	0	V	
sage-N	2	4	3	1	424	462	434	0	N	
lob-V	1	3	3	1	0	0	0	0	V	
submerged-V	7	9	7	3	0	0	0	0	V	
exertion-N	1	8	7	3	393	324	445	0	N	
lifer-N	1	5	5	2	0	0	0	0	N	
infusion-N	1	8	8	3	0	0	0	0	N	
canoe-N	7	5	4	2	441	623	602	394	N	
balloon-N	10	7	5	2	520	623	583	0	N	
hive-N	2	4	3	1	386	583	554	319	N	
activate-V	2	8	7	3	0	0	0	0	V	
primate-N	1	7	6	2	0	0	0	0	N	
yodel-V	1	5	4	2	0	0	0	0	V	
hushed-V	2	6	4	2	0	0	0	0	V	
squashy-J	1	7	6	2	0	0	0	0	J	
cripple-V	1	7	5	2	0	0	0	0	V	
stagger-N	2	7	5	2	0	0	0	0	N	
oatmeal-N	1	7	5	2	471	552	558	0	N	
alias-A	1	5	4	2	384	232	294	561	A	
bedding-V	3	7	5	2	0	0	0	0	V	
omit-V	1	4	4	2	0	0	0	0	V	
unquiet-V	1	7	7	2	0	0	0	0	V	
madness-N	2	7	6	2	473	289	422	0	N	
shag-N	1	4	3	1	0	0	0	0	N	
medal-J	7	5	4	2	494	571	529	0	J	
vietnamese-N	6	10	9	3	0	0	0	0	N	
peaked-J	7	6	4	2	0	0	0	0	J	
fir-N	2	3	2	1	407	442	461	0	N	
thesaurus-N	1	9	7	3	0	0	0	0	N	
arduous-J	4	7	6	2	0	0	0	0	J	
pastoral-J	6	8	8	3	0	0	0	0	J	
sabre-V	2	5	4	2	0	0	0	0	V	
conclave-J	2	8	7	2	0	0	0	0	J	
intestine-N	1	9	8	3	0	0	0	0	N	
gable-J	2	5	4	1	355	449	424	0	J	
stout-N	3	5	4	1	511	413	521	0	N	
swarthy-J	4	7	5	2	0	0	0	0	J	
limber-J	2	6	5	2	0	0	0	0	J	
hamper-V	5	6	5	2	0	0	0	0	V	
encroach-N	1	8	6	2	0	0	0	0	N	
doting-V	2	6	5	2	0	0	0	0	V	
claret-J	4	6	6	2	0	0	0	0	J	
hone-N	2	4	3	1	0	0	0	0	N	
netting-V	1	7	5	2	0	0	0	0	V	
rinse-V	6	5	4	1	480	0	465	0	V	
wrack-V	1	5	3	1	309	354	424	0	V	
bin-N	9	3	3	1	580	598	562	192	N	
boo-N	1	3	2	1	0	0	0	0	N	
glazing-V	2	7	6	2	0	0	0	0	V	
tawny-J	4	5	4	2	0	0	0	0	J	
geese-N	3	5	3	1	421	597	603	314	N	
rapping-N	3	7	5	2	0	0	0	0	N	
pinnacle-N	1	8	6	3	0	0	0	0	N	
instruct-V	3	8	8	2	0	0	0	0	V	
sappy-J	1	5	4	2	0	0	0	0	J	
mock-N	8	4	3	1	0	0	0	0	N	
choppy-J	3	6	5	2	0	0	0	0	J	
pout-V	1	4	3	1	0	0	0	0	V	
lesion-N	2	6	5	2	0	0	0	0	N	
swoop-N	2	5	4	1	0	0	0	0	N	
chore-V	7	5	3	1	0	0	0	0	V	
choir-N	8	5	4	2	526	567	567	0	N	
commend-V	7	7	6	2	0	0	0	0	V	
tableau-N	1	7	5	2	0	0	0	0	N	
cage-N	9	4	3	1	487	593	585	300	N	
thud-A	3	4	3	1	456	423	453	0	A	
blithe-N	2	6	4	1	0	0	0	0	N	
rocker-N	4	6	4	2	474	583	520	0	N	
stark-A	7	5	4	1	0	0	0	0	A	
float-N	3	5	4	1	553	451	525	0	N	
depiction-N	1	9	8	3	0	0	0	0	N	
afoot-A	1	5	4	2	0	0	0	0	A	
concur-V	4	6	5	2	0	0	0	0	V	
bullish-J	1	7	5	2	0	0	0	0	J	
rumble-N	2	6	5	2	476	407	494	0	N	
sly-J	5	3	3	1	0	0	0	0	J	
elk-N	1	3	3	1	0	0	0	0	N	
outrage-N	4	7	5	2	0	0	0	0	N	
flatter-N	1	7	6	2	0	0	0	0	N	
aft-A	5	3	3	1	0	0	0	0	A	
glee-N	3	4	3	1	0	0	0	0	N	
poplin-N	1	6	6	2	0	0	0	0	N	
scottish-J	10	8	6	2	0	0	0	0	J	
cork-N	9	4	3	1	544	608	631	0	N	
corduroy-V	1	8	6	3	0	0	0	0	V	
cave-N	9	4	3	1	526	592	601	0	N	
surf-V	1	4	3	1	526	527	601	0	V	
herring-N	2	7	5	2	425	617	524	397	N	
sulphur-N	3	7	5	2	445	591	561	0	N	
articulate-J	8	10	9	4	0	0	0	0	J	
reed-V	5	4	3	1	430	564	520	369	V	
sway-N	5	4	3	1	0	0	0	0	N	
prod-N	2	4	4	1	0	0	0	0	N	
