word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
road-N	197	4	3	1	604	583	609	206	N	
hot-V	130	3	3	1	607	507	551	0	V	
directly-A	141	8	8	3	0	0	0	0	A	
war-A	464	3	3	1	582	477	551	314	A	
set-V	414	3	3	1	0	0	0	0	V	
process-N	196	7	6	2	0	0	0	0	N	
college-N	267	7	5	2	620	554	590	0	N	
closed-N	106	6	5	2	0	0	0	0	N	
without-R	583	7	5	2	577	267	302	0	R	
total-N	211	5	4	2	0	0	0	0	N	
reach-V	106	5	4	1	577	368	391	0	V	
person-N	175	6	4	2	620	562	562	0	N	
home-N	547	4	3	1	626	539	599	233	N	
important-J	369	9	8	3	624	0	341	0	J	
rate-N	209	4	3	1	527	308	311	456	N	
miss-N	258	4	3	1	586	372	447	0	N	
specific-N	115	8	8	3	0	0	0	0	N	
effective-N	129	9	7	3	0	0	0	0	N	
medical-J	162	7	7	3	0	0	0	0	J	
provided-C	132	8	8	3	576	0	264	0	C	
stop-V	120	4	4	1	563	308	452	0	V	
hospital-J	110	8	7	3	548	584	602	319	J	
meeting-N	159	7	5	2	575	403	451	356	N	
heart-V	173	5	3	1	578	605	617	281	V	
whether-J	286	7	5	2	528	0	207	0	J	
low-V	174	3	2	1	580	322	378	0	V	
current-J	104	7	6	2	509	0	497	0	J	
maybe-J	134	5	4	1	598	0	222	0	J	
process-V	196	7	6	2	0	0	0	0	V	
place-N	571	5	4	1	612	427	377	269	N	
progress-N	120	8	7	2	0	0	0	0	N	
material-J	174	8	8	3	559	539	490	378	J	
view-N	186	4	3	1	523	379	430	0	N	
serve-N	107	5	3	1	0	0	0	0	N	
living-J	194	6	5	2	0	0	0	0	J	
amount-N	172	6	5	2	583	335	316	392	N	
hope-V	178	4	3	1	561	261	421	0	V	
spent-V	104	5	5	1	0	0	0	0	V	
short-J	212	5	3	1	586	351	431	0	J	
beyond-R	175	6	6	2	0	0	0	0	R	
beyond-A	175	6	6	2	0	0	0	0	A	
average-N	130	7	6	3	579	0	297	0	N	
return-V	180	6	5	2	582	0	293	0	V	
can't-V	169	5	4	1	0	0	0	0	V	
picture-V	162	7	6	2	597	579	581	219	V	
saying-V	113	6	4	1	0	0	0	0	V	
degree-V	125	6	5	2	574	406	521	508	V	
real-A	260	4	3	1	596	285	313	0	A	
deal-V	142	4	3	1	522	342	383	381	V	
wouldn't-V	129	8	5	2	0	0	0	0	V	
stopped-V	129	7	5	2	607	0	397	0	V	
economic-N	243	8	8	4	0	0	0	0	N	
particular-N	179	10	9	4	514	0	274	0	N	
latter-A	114	6	5	2	444	280	256	536	A	
officer-V	101	7	6	3	549	550	593	0	V	
coming-V	174	6	5	2	0	0	0	0	V	
pretty-N	107	6	5	2	584	341	520	0	N	
blue-N	143	4	3	1	593	459	569	0	N	
came-V	622	4	3	1	563	265	288	0	V	
range-N	160	5	4	1	515	417	413	436	N	
later-A	397	5	5	2	0	0	0	0	A	
medical-J	162	7	7	3	0	0	0	0	J	
university-J	214	10	10	5	622	533	615	497	J	
god-N	318	3	3	1	567	365	461	0	N	
stage-N	174	5	4	1	0	0	0	0	N	
lead-N	129	4	3	1	526	543	488	400	N	
common-A	223	6	5	2	595	0	276	0	A	
county-N	155	6	5	2	0	0	0	0	N	
corner-N	115	6	4	2	556	533	556	0	N	
square-A	143	6	4	1	576	516	610	250	A	
other-C	1702	5	4	2	581	275	265	0	C	
unless-R	101	6	5	2	0	0	0	0	R	
hall-N	152	4	3	1	592	565	559	283	N	
complete-A	181	8	7	2	605	0	341	0	A	
picture-N	162	7	6	2	597	579	581	219	N	
tax-V	197	3	4	1	523	445	446	469	V	
difficult-J	161	9	8	3	0	0	0	0	J	
give-N	391	4	3	1	595	326	383	0	N	
foreign-N	158	7	5	2	539	0	404	0	N	
act-N	283	3	3	1	566	379	433	319	N	
basis-N	184	5	5	2	0	0	0	0	N	
hold-V	169	4	4	1	596	416	416	267	V	
same-J	686	4	3	1	569	248	326	0	J	
unless-N	101	6	5	2	0	0	0	0	N	
christian-J	144	9	8	2	0	0	0	0	J	
side-N	380	4	3	1	566	394	386	0	N	
does-V	485	4	3	1	629	0	210	0	V	
reason-V	241	6	4	2	601	332	285	383	V	
soviet-N	129	6	6	3	0	0	0	0	N	
girl-J	220	4	3	1	645	607	634	183	J	
square-J	143	6	4	1	576	516	610	250	J	
paid-V	145	4	3	1	577	386	429	0	V	
record-N	137	6	5	2	609	558	591	322	N	
west-N	235	4	4	1	563	355	426	342	N	
hotel-N	126	5	5	2	565	591	597	308	N	
eight-N	104	5	2	1	613	368	501	211	N	
support-V	180	7	5	2	556	0	359	0	V	
taking-J	175	6	5	2	0	0	0	0	J	
standing-J	101	8	7	2	0	0	0	0	J	
easily-A	106	6	5	3	0	0	0	0	A	
