word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
still-A	782	5	4	1	557	354	345	0	A	
live-V	177	4	3	1	608	436	446	0	V	
tried-V	170	5	4	1	597	0	303	0	V	
chief-N	119	5	4	1	482	503	545	0	N	
record-V	137	6	5	2	609	558	591	322	V	
club-J	145	4	4	1	533	509	522	0	J	
whole-J	309	5	3	1	592	324	377	289	J	
much-N	937	4	3	1	584	242	332	0	N	
section-N	189	7	6	2	0	0	0	0	N	
sound-V	204	5	4	1	597	502	497	300	V	
service-V	315	7	5	2	560	364	408	397	V	
reading-V	140	7	5	2	581	377	436	0	V	
meet-J	148	4	3	1	575	341	438	0	J	
anything-U	280	8	6	3	0	0	0	0	U	
like-A	1290	4	3	1	610	286	352	0	A	
became-V	246	6	5	2	531	273	262	0	V	
down-A	895	4	3	1	546	339	459	0	A	
doctor-V	100	6	5	2	573	575	600	0	V	
outside-R	210	7	5	2	607	0	419	0	R	
within-J	359	6	5	2	0	0	0	0	J	
design-V	114	6	5	2	538	444	407	403	V	
english-J	195	7	6	2	0	0	0	0	J	
again-A	578	5	4	2	0	0	0	0	A	
free-A	260	4	3	1	607	328	397	0	A	
across-A	282	6	5	2	0	0	0	0	A	
well-V	897	4	3	1	550	467	522	0	V	
closed-N	106	6	5	2	0	0	0	0	N	
beyond-R	175	6	6	2	0	0	0	0	R	
dark-J	185	4	3	1	598	497	586	0	J	
including-V	171	9	8	3	0	0	0	0	V	
top-V	204	3	3	1	571	435	486	0	V	
almost-J	432	6	6	2	0	0	0	0	J	
design-N	114	6	5	2	538	444	407	403	N	
feel-V	216	4	3	1	588	324	363	0	V	
hardly-A	106	6	5	2	500	223	256	0	A	
form-N	370	4	3	1	553	438	452	383	N	
visit-N	109	5	5	2	0	0	0	0	N	
five-J	286	4	3	1	553	365	529	0	J	
firm-V	109	4	3	1	567	400	404	0	V	
subject-A	161	7	7	2	590	406	418	417	A	
section-V	189	7	5	2	0	0	0	0	V	
step-N	131	4	4	1	578	508	483	267	N	
former-J	131	6	4	2	523	0	283	0	J	
hotel-N	126	5	5	2	565	591	597	308	N	
material-V	174	8	7	3	559	539	490	378	V	
standard-J	110	8	7	2	556	324	319	472	J	
member-V	137	6	6	2	573	455	399	392	V	
religion-N	119	8	7	3	565	375	434	0	N	
justice-V	114	7	6	2	522	307	379	500	V	
major-J	247	5	4	2	558	0	395	0	J	
distance-V	108	8	7	2	594	353	432	344	V	
view-N	186	4	3	1	523	379	430	0	N	
wrong-J	129	5	3	1	600	303	344	244	J	
game-N	123	4	3	1	574	477	521	242	N	
officer-V	101	7	6	3	549	550	593	0	V	
act-N	283	3	3	1	566	379	433	319	N	
daily-J	122	5	4	2	0	0	0	0	J	
inside-R	174	6	5	2	611	0	371	0	R	
demand-V	102	6	6	2	0	0	0	0	V	
whether-N	286	7	5	2	528	0	207	0	N	
game-V	123	4	3	1	574	477	521	242	V	
whose-J	252	5	3	1	0	0	0	0	J	
found-V	536	5	4	1	0	0	0	0	V	
went-N	507	4	4	1	594	240	308	0	N	
county-J	155	6	5	2	0	0	0	0	J	
hope-N	178	4	3	1	561	261	421	0	N	
than-C	1789	4	3	1	545	188	213	0	C	
turn-N	233	4	3	1	583	359	384	233	N	
sound-N	204	5	4	1	597	502	497	300	N	
firm-A	109	4	3	1	567	400	404	0	A	
ready-J	143	5	4	2	0	0	0	0	J	
council-N	103	7	5	2	508	435	405	464	N	
middle-J	118	6	4	1	0	0	0	0	J	
due-J	142	3	3	1	0	0	0	0	J	
live-A	177	4	3	1	608	436	446	0	A	
basic-J	171	5	5	2	533	0	271	0	J	
standing-N	101	8	7	2	0	0	0	0	N	
like-C	1290	4	3	1	610	286	352	0	C	
direct-A	129	6	6	2	0	0	0	0	A	
living-N	194	6	5	2	0	0	0	0	N	
effective-J	129	9	7	3	0	0	0	0	J	
talk-N	154	4	3	1	613	422	453	0	N	
either-J	284	6	3	2	0	0	0	0	J	
standing-J	101	8	7	2	0	0	0	0	J	
unless-R	101	6	5	2	0	0	0	0	R	
hope-V	178	4	3	1	561	261	421	0	V	
cost-J	229	4	4	1	589	348	401	0	J	
window-V	119	6	5	2	621	609	602	231	V	
image-V	119	5	4	2	0	0	0	0	V	
mass-N	110	4	3	1	473	397	484	458	N	
class-V	207	5	4	1	0	0	0	0	V	
before-J	1016	6	5	2	583	261	255	0	J	
provided-C	132	8	8	3	576	0	264	0	C	
running-N	123	7	5	2	571	444	490	0	N	
research-V	171	8	6	2	546	366	445	0	V	
march-V	120	5	4	1	539	440	497	269	V	
pretty-J	107	6	5	2	584	341	520	0	J	
half-A	275	4	3	1	610	389	458	267	A	
volume-V	135	6	6	2	526	418	464	461	V	
daily-A	122	5	4	2	0	0	0	0	A	
