word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
dead-N	174	4	3	1	581	429	520	0	N	
either-A	284	6	3	2	0	0	0	0	A	
morning-N	211	7	5	2	605	515	579	0	N	
standard-J	110	8	7	2	556	324	319	472	J	
experience-V	276	10	10	3	604	275	367	464	V	
brown-J	176	5	4	1	0	0	0	0	J	
continued-V	133	9	9	3	623	0	281	0	V	
training-N	156	8	6	2	0	0	0	0	N	
subject-N	161	7	7	2	590	406	418	417	N	
drive-N	105	5	4	1	0	0	0	0	N	
cost-J	229	4	4	1	589	348	401	0	J	
member-V	137	6	6	2	573	455	399	392	V	
fine-V	161	4	3	1	560	328	392	0	V	
sound-J	204	5	4	1	597	502	497	300	J	
inside-N	174	6	5	2	611	0	371	0	N	
situation-N	196	9	9	4	573	311	319	457	N	
really-V	275	6	4	2	562	0	246	0	V	
amount-N	172	6	5	2	583	335	316	392	N	
think-N	433	5	4	1	612	346	384	0	N	
true-V	231	4	3	1	605	269	365	0	V	
freedom-N	128	7	6	2	568	277	437	425	N	
whose-U	252	5	3	1	0	0	0	0	U	
later-A	397	5	5	2	0	0	0	0	A	
greater-A	188	7	6	2	0	0	0	0	A	
feet-N	283	4	3	1	611	642	597	0	N	
function-V	113	8	7	2	518	343	294	511	V	
average-J	130	7	6	3	579	0	297	0	J	
action-V	291	6	4	2	0	0	0	0	V	
able-J	216	4	3	2	575	302	284	0	J	
field-N	274	5	4	1	0	0	0	0	N	
mother-J	216	6	5	2	632	579	638	144	J	
forward-N	115	7	5	2	596	0	329	0	N	
training-V	156	8	6	2	0	0	0	0	V	
seem-V	229	4	3	1	549	226	249	0	V	
action-N	291	6	5	2	0	0	0	0	N	
brown-V	176	5	4	1	0	0	0	0	V	
lower-N	123	5	4	2	0	0	0	0	N	
return-N	180	6	5	2	582	0	293	0	N	
study-N	246	5	5	2	0	0	0	0	N	
population-N	136	10	10	4	543	406	391	469	N	
beginning-V	164	9	7	3	593	318	359	311	V	
read-N	173	4	3	1	568	420	499	0	N	
ahead-A	109	5	4	2	0	0	0	0	A	
whose-J	252	5	3	1	0	0	0	0	J	
respect-N	125	7	7	2	571	280	343	433	N	
growing-V	108	7	5	2	0	0	0	0	V	
latter-J	114	6	4	2	444	280	256	536	J	
serve-N	107	5	3	1	0	0	0	0	N	
whatever-J	112	8	6	3	0	0	0	0	J	
rise-N	102	4	3	1	546	368	451	0	N	
act-V	283	3	3	1	566	379	433	319	V	
national-J	375	8	6	3	556	0	400	0	J	
often-A	368	5	3	2	0	0	0	0	A	
wrong-N	129	5	3	1	600	303	344	244	N	
cause-V	130	5	3	1	557	287	282	408	V	
felt-V	357	4	4	1	504	437	483	0	V	
english-V	195	7	6	2	0	0	0	0	V	
during-C	585	6	6	2	0	0	0	0	C	
see-V	772	3	2	1	625	352	379	0	V	
playing-N	101	7	5	1	582	379	464	0	N	
nature-V	191	6	5	2	535	414	513	342	V	
ball-N	110	4	3	1	575	615	622	150	N	
closed-N	106	6	5	2	0	0	0	0	N	
process-N	196	7	6	2	0	0	0	0	N	
whether-A	286	7	4	2	528	0	207	0	A	
book-N	193	4	3	1	643	609	591	214	N	
choice-J	113	6	4	1	0	0	0	0	J	
machine-N	103	7	5	2	549	578	575	0	N	
dark-V	185	4	3	1	598	497	586	0	V	
hope-N	178	4	3	1	561	261	421	0	N	
waiting-V	110	7	5	2	564	0	383	0	V	
friend-N	133	6	5	1	603	450	587	0	N	
close-N	234	5	4	1	587	391	420	283	N	
before-C	1016	6	4	2	583	261	255	0	C	
brown-N	176	5	4	1	0	0	0	0	N	
reaction-N	124	8	7	3	533	312	395	506	N	
report-N	174	6	5	2	590	417	411	386	N	
present-A	377	7	6	2	569	389	481	0	A	
put-V	437	3	3	1	539	287	263	0	V	
couple-V	122	6	4	2	0	0	0	0	V	
mass-N	110	4	3	1	473	397	484	458	N	
third-J	190	5	3	1	0	0	0	0	J	
early-A	366	5	3	2	575	0	376	0	A	
game-J	123	4	3	1	574	477	521	242	J	
plan-V	205	4	4	1	571	357	379	0	V	
summer-N	134	6	4	2	612	439	618	253	N	
attention-N	179	9	7	3	0	0	0	0	N	
either-U	284	6	3	2	0	0	0	0	U	
war-N	464	3	2	1	582	477	551	314	N	
city-N	393	4	4	2	616	554	605	0	N	
addition-N	142	8	6	3	535	339	347	314	N	
water-N	442	5	4	2	641	616	632	153	N	
supply-V	102	6	5	2	534	368	340	417	V	
spirit-N	182	6	6	2	518	296	450	389	N	
surface-V	200	7	5	2	573	447	453	378	V	
corner-V	115	6	4	2	556	533	556	0	V	
body-N	276	4	4	2	610	568	614	267	N	
talking-V	100	7	5	2	0	0	0	0	V	
feed-N	123	4	3	1	0	0	0	0	N	
sunday-N	101	6	5	2	0	0	0	0	N	
