word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
tally-A	4	5	4	2	374	331	308	536	A	
gleeful-J	1	7	6	2	0	0	0	0	J	
petty-N	8	5	4	2	0	0	0	0	N	
arid-J	2	4	4	2	418	399	433	0	J	
blacking-V	1	8	6	2	0	0	0	0	V	
accede-V	1	6	5	2	0	0	0	0	V	
lasso-V	2	5	4	2	0	0	0	0	V	
hark-V	3	4	3	1	0	0	0	0	V	
shaven-V	2	6	4	2	0	0	0	0	V	
horseplay-N	2	9	6	2	0	0	0	0	N	
feather-N	6	7	4	2	485	0	0	0	N	
agone-J	2	5	4	2	0	0	0	0	J	
occlusive-J	1	9	7	3	0	0	0	0	J	
fallow-N	1	6	4	2	0	0	0	0	N	
helmet-V	1	6	6	2	528	602	620	0	V	
stamp-N	8	5	5	1	0	0	0	0	N	
shank-N	1	5	4	1	0	0	0	0	N	
vent-V	10	4	4	1	0	0	0	0	V	
occlusion-N	2	9	7	3	0	0	0	0	N	
worsted-J	2	7	6	2	0	0	0	0	J	
hockey-J	1	6	4	2	514	535	593	0	J	
prowl-N	2	5	4	1	0	0	0	0	N	
thump-V	3	5	4	1	0	0	0	0	V	
coupe-J	2	5	3	1	0	0	0	0	J	
ewe-N	1	3	2	1	341	538	481	378	N	
dope-V	2	4	3	1	0	0	0	0	V	
tipping-V	1	7	5	2	0	0	0	0	V	
fry-V	2	3	3	1	0	0	0	0	V	
cohesion-N	6	8	7	3	0	0	0	0	N	
warlike-J	5	7	5	2	0	0	0	0	J	
horsemen-N	3	8	6	2	0	0	0	0	N	
lunar-N	10	5	5	2	0	0	0	0	N	
buss-N	1	4	3	1	0	0	0	0	N	
engraving-N	2	9	8	3	0	0	0	0	N	
amass-V	2	5	4	2	0	0	0	0	V	
frail-N	8	5	4	1	459	383	430	0	N	
flimsy-N	2	6	6	2	0	0	0	0	N	
hearth-N	4	6	3	1	0	0	0	0	N	
astral-N	1	6	6	2	0	0	0	0	N	
withdrawal-N	6	10	8	3	0	0	0	0	N	
shred-V	3	5	4	1	0	0	0	0	V	
flirt-V	1	5	4	1	0	0	0	0	V	
pert-J	2	4	3	1	0	0	0	0	J	
waiter-N	10	6	4	2	0	0	0	0	N	
paschal-J	2	7	6	2	0	0	0	0	J	
spat-N	9	4	4	1	0	0	0	0	N	
hush-N	4	4	3	1	415	396	467	246	N	
lust-N	5	4	4	1	472	324	444	0	N	
blur-V	3	4	3	1	0	0	0	0	V	
dip-V	6	3	3	1	466	479	456	331	V	
bide-V	1	4	3	1	0	0	0	0	V	
cipher-V	1	6	4	2	0	0	0	0	V	
smirk-N	3	5	4	1	0	0	0	0	N	
sputnik-N	2	7	7	2	0	0	0	0	N	
primate-N	1	7	6	2	0	0	0	0	N	
duck-N	9	4	3	1	529	606	632	164	N	
yea-A	3	3	2	1	0	0	0	0	A	
whim-N	2	4	3	1	0	0	0	0	N	
groat-N	1	5	4	1	0	0	0	0	N	
bud-V	9	3	3	1	465	549	508	331	V	
stunk-V	1	5	5	1	0	0	0	0	V	
deceptive-J	4	9	8	3	0	0	0	0	J	
serial-J	7	6	6	2	440	365	340	0	J	
localize-V	1	8	7	3	0	0	0	0	V	
brood-N	9	5	4	1	0	0	0	0	N	
mythic-J	2	6	5	2	0	0	0	0	J	
dwell-V	8	5	4	1	0	0	0	0	V	
loom-N	6	4	3	1	0	0	0	0	N	
cocky-J	3	5	4	2	0	0	0	0	J	
slashing-V	5	8	6	2	0	0	0	0	V	
thud-V	3	4	3	1	456	423	453	0	V	
horned-J	1	6	5	2	0	0	0	0	J	
beast-V	7	5	4	1	456	564	558	319	V	
desolate-J	6	8	7	3	459	325	435	0	J	
padding-N	3	7	5	2	0	0	0	0	N	
malevolent-N	2	10	10	4	0	0	0	0	N	
grading-V	1	7	6	2	0	0	0	0	V	
cave-N	9	4	3	1	526	592	601	0	N	
blot-N	6	4	4	1	0	0	0	0	N	
buffet-N	6	6	5	2	0	0	0	0	N	
fallow-J	1	6	4	2	0	0	0	0	J	
dispatch-N	8	8	7	2	0	0	0	0	N	
tannin-N	1	6	5	2	0	0	0	0	N	
bending-V	7	7	6	2	0	0	0	0	V	
pledge-V	3	6	4	1	442	360	408	0	V	
puzzle-N	10	6	4	2	486	449	510	320	N	
curtail-J	4	7	5	2	0	0	0	0	J	
gash-N	1	4	3	1	0	0	0	0	N	
quirk-N	1	5	4	1	0	0	0	0	N	
ram-V	2	3	3	1	468	541	546	0	V	
parsley-N	1	7	5	2	0	0	0	0	N	
tramp-N	1	5	5	1	0	0	0	0	N	
forked-V	4	6	4	2	0	0	0	0	V	
comely-J	1	6	5	2	0	0	0	0	J	
lifetime-N	10	8	6	2	0	0	0	0	N	
concede-V	8	7	6	2	0	0	0	0	V	
inborn-J	1	6	5	2	0	0	0	0	J	
thud-A	3	4	3	1	456	423	453	0	A	
alight-V	3	6	4	2	0	0	0	0	V	
char-N	1	4	3	1	0	0	0	0	N	
