word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
readable-J	2	8	6	3	0	0	0	0	J	
referee-N	1	7	6	3	534	554	564	0	N	
western-J	137	7	6	2	0	0	0	0	J	
rather-A	373	6	4	2	0	0	0	0	A	
gospel-N	13	6	6	2	437	403	440	444	N	
town-N	212	4	3	1	589	556	553	0	N	
venom-J	2	5	5	2	375	476	456	531	J	
each-J	877	4	2	1	555	268	320	0	J	
military-J	212	8	8	4	458	417	478	428	J	
multiple-N	36	8	7	3	0	0	0	0	N	
english-V	195	7	6	2	0	0	0	0	V	
trail-V	31	5	4	1	508	511	525	386	V	
capsicum-N	1	8	8	3	0	0	0	0	N	
president-N	382	9	9	3	538	526	572	458	N	
preacher-N	11	8	6	2	0	0	0	0	N	
stir-V	7	4	3	1	0	0	0	0	V	
operation-N	113	9	8	4	0	0	0	0	N	
chose-N	37	5	3	1	0	0	0	0	N	
limousine-N	4	9	7	3	505	624	595	0	N	
force-N	230	5	3	1	552	331	437	372	N	
world-N	787	5	4	1	607	532	560	0	N	
must-N	1013	4	4	1	589	297	247	0	N	
physical-J	138	8	7	3	0	0	0	0	J	
window-V	119	6	5	2	621	609	602	231	V	
what-N	1908	4	3	1	608	293	249	0	N	
pigeon-N	3	6	5	2	499	609	610	325	N	
going-J	399	5	4	1	0	0	0	0	J	
half-A	275	4	3	1	610	389	458	267	A	
express-J	42	7	7	2	530	402	456	467	J	
both-J	730	4	3	1	598	322	298	0	J	
puppy-V	2	5	4	2	522	623	635	203	V	
second-V	373	6	6	2	598	344	371	289	V	
push-N	37	4	3	1	564	0	395	0	N	
wrong-N	129	5	3	1	600	303	344	244	N	
dent-V	2	4	4	1	480	517	486	361	V	
equity-J	7	6	6	3	319	303	281	0	J	
pitched-V	8	7	4	2	0	0	0	0	V	
puzzle-V	10	6	4	2	486	449	510	320	V	
flowering-V	6	9	7	3	0	0	0	0	V	
luminosity-N	1	10	10	5	0	0	0	0	N	
occasion-N	58	8	6	3	566	346	305	0	N	
sealed-V	13	6	4	2	0	0	0	0	V	
while-C	680	5	3	1	543	204	302	0	C	
fake-N	10	4	3	1	0	0	0	0	N	
what-C	1908	4	3	1	608	293	249	0	C	
orient-V	4	6	6	3	0	0	0	0	V	
adversary-J	5	9	8	4	0	0	0	0	J	
left-N	480	4	4	1	592	341	383	0	N	
tonic-V	1	5	5	2	0	0	0	0	V	
golf-V	34	4	4	1	503	540	616	364	V	
brim-V	4	4	4	1	430	509	510	394	V	
pamphlet-V	3	8	7	2	0	0	0	0	V	
start-N	154	5	4	1	0	0	0	0	N	
list-V	133	4	4	1	0	0	0	0	V	
most-N	1160	4	4	1	560	321	306	0	N	
exacting-V	2	8	8	3	409	0	295	0	V	
ask-N	128	3	3	1	0	0	0	0	N	
inferior-N	7	8	7	3	547	311	379	0	N	
less-V	438	4	3	1	541	266	286	0	V	
small-J	542	5	4	1	616	402	447	0	J	
outgrow-N	4	7	5	2	0	0	0	0	N	
formulae-N	5	8	7	3	0	0	0	0	N	
medley-V	1	6	5	2	0	0	0	0	V	
move-N	171	4	3	1	572	390	413	0	N	
couple-N	122	6	4	2	0	0	0	0	N	
lead-N	129	4	3	1	526	543	488	400	N	
amid-R	14	4	4	2	0	0	0	0	R	
whiskey-N	17	7	5	2	574	604	592	0	N	
but-J	4381	3	3	1	603	227	206	0	J	
coated-V	4	6	5	2	0	0	0	0	V	
wizard-V	3	6	5	2	473	473	551	0	V	
sonority-N	1	8	8	4	0	0	0	0	N	
lace-N	7	4	3	1	468	545	506	0	N	
heavy-A	110	5	4	2	581	413	495	0	A	
heartfelt-J	1	9	7	2	0	0	0	0	J	
group-N	390	5	4	1	553	451	467	0	N	
less-A	438	4	3	1	541	266	286	0	A	
can-N	1772	3	3	1	620	365	369	0	N	
systematic-N	18	10	10	4	0	0	0	0	N	
study-N	246	5	5	2	0	0	0	0	N	
surrealism-N	1	10	9	4	0	0	0	0	N	
pattern-V	113	7	5	2	555	472	453	319	V	
awkward-A	11	7	5	2	502	329	419	0	A	
dilemma-V	25	7	6	3	0	0	0	0	V	
heal-V	2	4	3	1	536	417	438	0	V	
release-V	37	7	5	2	0	0	0	0	V	
reason-N	241	6	4	2	601	332	285	383	N	
through-J	969	7	3	1	587	274	320	0	J	
trimming-V	2	8	6	2	0	0	0	0	V	
every-J	491	5	4	2	597	264	267	0	J	
temple-V	38	6	5	1	450	565	547	0	V	
neither-U	141	7	4	2	0	0	0	0	U	
villager-N	1	8	6	3	0	0	0	0	N	
support-N	180	7	5	2	556	0	359	0	N	
verbatim-N	2	8	7	3	0	0	0	0	N	
course-N	465	6	3	1	564	389	391	0	N	
stage-V	174	5	4	1	0	0	0	0	V	
more-R	2216	4	2	1	612	284	264	0	R	
brown-N	176	5	4	1	0	0	0	0	N	
use-N	589	3	3	1	0	0	0	0	N	
