word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
bloody-J	8	6	5	2	0	0	0	0	J	
loaded-J	22	6	5	2	0	0	0	0	J	
old-A	660	3	3	1	616	349	478	0	A	
till-N	50	4	3	1	442	365	364	0	N	
closer-J	61	6	5	2	536	323	393	0	J	
exquisite-J	3	9	9	3	0	0	0	0	J	
seven-N	113	5	4	2	0	0	0	0	N	
dazzle-N	1	6	4	1	0	0	0	0	N	
became-V	246	6	5	2	531	273	262	0	V	
inexpert-J	1	8	8	3	0	0	0	0	J	
going-V	399	5	4	1	0	0	0	0	V	
paragon-N	2	7	7	3	0	0	0	0	N	
more-N	2216	4	3	1	612	284	264	0	N	
vellum-N	1	6	5	2	0	0	0	0	N	
south-N	240	5	3	1	540	347	476	0	N	
truth-N	126	5	4	1	581	261	374	0	N	
creep-N	10	5	4	1	0	0	0	0	N	
chapter-N	74	7	6	2	0	0	0	0	N	
saint-V	16	5	4	1	463	458	394	0	V	
priest-V	16	6	5	1	484	561	568	411	V	
opinion-N	96	7	7	3	550	285	359	0	N	
needs-A	152	5	4	1	0	0	0	0	A	
against-R	626	7	6	2	600	0	285	0	R	
once-N	499	4	4	1	539	315	322	0	N	
several-J	377	7	6	2	0	0	0	0	J	
himself-U	603	7	7	2	569	285	317	0	U	
cautious-J	10	8	5	2	515	0	363	0	J	
transition-N	32	10	9	3	0	0	0	0	N	
misguided-V	2	9	8	3	0	0	0	0	V	
demoniac-N	2	8	8	4	0	0	0	0	N	
difficult-V	161	9	8	3	0	0	0	0	V	
revolve-V	1	7	6	2	0	0	0	0	V	
puissant-J	2	8	7	3	0	0	0	0	J	
stage-V	174	5	4	1	0	0	0	0	V	
example-V	292	7	7	3	0	0	0	0	V	
still-J	782	5	4	1	557	354	345	0	J	
last-A	676	4	4	1	587	299	367	0	A	
only-R	1747	4	4	2	600	218	255	0	R	
plane-N	114	5	4	1	558	535	556	0	N	
infinitive-N	1	10	9	4	0	0	0	0	N	
invader-N	1	7	6	3	402	485	419	439	N	
parcel-J	1	6	4	2	503	525	509	0	J	
veneration-N	3	10	8	4	0	0	0	0	N	
later-J	397	5	5	2	0	0	0	0	J	
call-N	188	4	3	1	599	389	424	225	N	
next-R	394	4	5	1	548	262	386	0	R	
west-J	235	4	4	1	563	355	426	342	J	
streamer-V	1	8	7	2	475	518	504	0	V	
use-N	589	3	3	1	0	0	0	0	N	
rifle-V	63	5	4	2	477	606	581	322	V	
common-J	223	6	5	2	595	0	276	0	J	
spoil-V	3	5	4	1	0	0	0	0	V	
yet-V	419	3	3	1	523	249	237	0	V	
shall-N	267	5	3	1	558	0	237	0	N	
enough-A	430	6	4	2	545	246	345	0	A	
another-U	683	7	6	3	0	0	0	0	U	
comes-N	137	5	4	2	636	0	283	0	N	
thou-N	14	4	2	1	0	0	0	0	N	
principle-N	109	9	8	3	496	245	305	533	N	
pseudonym-N	1	9	9	3	0	0	0	0	N	
less-C	438	4	3	1	541	266	286	0	C	
blue-J	143	4	3	1	593	459	569	0	J	
dead-A	174	4	3	1	581	429	520	0	A	
crucifix-V	3	8	9	3	416	564	576	475	V	
resort-V	12	6	5	2	523	499	523	0	V	
passionate-J	12	10	7	3	507	0	495	0	J	
matter-V	308	6	4	2	563	439	298	411	V	
most-N	1160	4	4	1	560	321	306	0	N	
datum-N	1	5	5	2	0	0	0	0	N	
observant-J	3	9	8	3	0	0	0	0	J	
epithet-N	2	7	6	3	0	0	0	0	N	
there-N	2724	5	3	1	603	216	283	0	N	
see-V	772	3	2	1	625	352	379	0	V	
mean-N	199	4	3	1	539	313	419	0	N	
inveterate-V	3	10	9	4	0	0	0	0	V	
hurricane-N	8	9	7	3	471	576	608	0	N	
several-A	377	7	6	3	0	0	0	0	A	
fiftieth-N	1	8	7	3	0	0	0	0	N	
give-N	391	4	3	1	595	326	383	0	N	
see-N	772	3	2	1	625	352	379	0	N	
does-N	485	4	3	1	629	0	210	0	N	
eight-J	104	5	2	1	613	368	501	211	J	
square-V	143	6	4	1	576	516	610	250	V	
period-N	265	6	6	2	573	358	429	458	N	
ounce-J	3	5	3	1	565	502	457	0	J	
typhus-N	3	6	5	2	0	0	0	0	N	
door-N	312	4	2	1	630	606	599	214	N	
what-J	1908	4	3	1	608	293	249	0	J	
collation-N	1	9	7	3	0	0	0	0	N	
far-N	427	3	3	1	587	302	411	0	N	
idea-N	195	4	3	2	585	259	319	0	N	
neither-J	141	7	5	2	0	0	0	0	J	
oatmeal-J	1	7	5	2	471	552	558	0	J	
problem-N	313	7	7	2	596	360	411	367	N	
past-N	281	4	4	1	545	293	446	0	N	
general-J	497	7	7	3	568	408	491	0	J	
mistake-V	34	7	6	2	584	0	380	0	V	
almost-J	432	6	6	2	0	0	0	0	J	
under-A	707	5	4	2	544	319	426	0	A	
scientific-J	86	10	9	4	0	0	0	0	J	
