word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
alphabet-J	2	8	7	3	493	449	499	244	J	
cup-V	45	3	3	1	595	539	558	0	V	
american-N	569	8	8	4	0	0	0	0	N	
being-V	712	5	4	1	568	276	323	383	V	
other-C	1702	5	4	2	581	275	265	0	C	
form-V	370	4	3	1	553	438	452	383	V	
mute-N	3	4	4	1	0	0	0	0	N	
foul-A	4	4	3	1	483	351	467	0	A	
droop-J	1	5	4	1	0	0	0	0	J	
since-A	628	5	4	1	541	247	264	0	A	
horn-V	31	4	3	1	498	618	566	308	V	
all-A	3001	3	2	1	582	267	332	0	A	
large-V	361	5	3	1	634	0	449	0	V	
plumb-J	5	5	4	1	461	459	501	0	J	
well-V	897	4	3	1	550	467	522	0	V	
incense-N	2	7	6	2	504	499	555	0	N	
never-A	698	5	4	2	572	259	351	0	A	
program-V	394	7	7	2	0	0	0	0	V	
phalanx-N	5	7	7	2	0	0	0	0	N	
still-A	782	5	4	1	557	354	345	0	A	
burn-V	15	4	3	1	548	490	541	217	V	
ended-V	60	5	5	2	0	0	0	0	V	
check-N	88	5	4	1	0	0	0	0	N	
intention-N	36	9	8	3	525	285	286	481	N	
ever-N	345	4	4	2	557	299	273	0	N	
past-R	281	4	4	1	545	293	446	0	R	
life-N	715	4	3	1	598	361	482	0	N	
conspiracy-N	22	10	10	4	0	0	0	0	N	
write-V	106	5	3	1	560	446	548	0	V	
then-A	1377	4	3	1	610	190	204	0	A	
peace-V	198	5	3	1	571	309	446	0	V	
similar-J	157	7	6	3	554	0	324	0	J	
new-A	1635	3	3	1	614	348	418	0	A	
heavenly-J	9	8	6	3	0	0	0	0	J	
chop-V	3	4	4	1	487	555	575	317	V	
day-V	686	3	2	1	595	477	526	0	V	
leave-N	205	5	3	1	0	0	0	0	N	
how-A	834	3	2	1	593	195	230	0	A	
become-V	361	6	5	2	603	0	259	0	V	
school-N	492	6	4	1	582	573	599	228	N	
along-A	355	5	4	2	0	0	0	0	A	
social-N	380	6	4	2	497	242	386	0	N	
engraver-N	1	8	7	3	0	0	0	0	N	
element-N	52	7	7	3	0	0	0	0	N	
heart-V	173	5	3	1	578	605	617	281	V	
east-A	183	4	3	1	574	363	497	0	A	
soviet-N	129	6	6	3	0	0	0	0	N	
ago-J	246	3	3	2	0	0	0	0	J	
innuendo-V	1	8	8	3	0	0	0	0	V	
pluralism-N	1	9	10	4	0	0	0	0	N	
existence-N	107	9	9	3	0	0	0	0	N	
staying-V	17	7	5	1	0	0	0	0	V	
manifold-A	13	8	8	3	0	0	0	0	A	
manure-V	6	6	5	2	458	644	534	0	V	
attorney-N	65	8	5	3	0	0	0	0	N	
miss-N	258	4	3	1	586	372	447	0	N	
without-C	583	7	5	2	577	267	302	0	C	
women-N	195	5	5	2	0	0	0	0	N	
walk-V	100	4	3	1	625	452	505	206	V	
city-J	393	4	4	2	616	554	605	0	J	
horror-N	17	6	4	2	501	341	545	372	N	
less-N	438	4	3	1	541	266	286	0	N	
game-N	123	4	3	1	574	477	521	242	N	
contrary-J	52	8	8	3	0	0	0	0	J	
occasional-N	37	10	7	4	503	315	276	0	N	
indeed-A	162	6	5	2	0	0	0	0	A	
underwent-V	2	9	8	3	0	0	0	0	V	
production-N	148	10	9	3	545	318	347	486	N	
provincial-N	9	10	9	3	421	339	322	0	N	
citation-N	5	8	7	3	306	425	386	0	N	
rot-N	8	3	3	1	0	0	0	0	N	
reverse-N	18	7	5	2	0	0	0	0	N	
something-N	450	9	6	3	0	0	0	0	N	
towards-A	64	7	6	2	0	0	0	0	A	
thought-V	515	7	3	1	603	274	348	347	V	
again-R	578	5	4	2	0	0	0	0	R	
need-A	360	4	3	1	589	314	327	0	A	
stage-V	174	5	4	1	0	0	0	0	V	
outspoken-J	6	9	8	3	537	0	354	0	J	
difference-V	148	10	7	3	592	270	293	378	V	
whole-A	309	5	3	1	592	324	377	289	A	
education-N	214	9	9	4	585	320	416	408	N	
fashion-V	69	7	5	2	548	356	474	467	V	
carnal-V	2	6	4	2	0	0	0	0	V	
village-V	72	7	5	2	524	576	578	317	V	
fathom-V	3	6	5	2	0	0	0	0	V	
out-R	2096	3	2	1	608	249	330	0	R	
different-J	312	9	7	2	558	0	329	0	J	
view-V	186	4	3	1	523	379	430	0	V	
small-N	542	5	4	1	616	402	447	0	N	
uncanny-J	5	7	6	3	0	0	0	0	J	
rime-N	1	4	3	1	0	0	0	0	N	
shelter-V	70	7	5	2	509	0	488	0	V	
avert-V	1	5	4	2	0	0	0	0	V	
feet-N	283	4	3	1	611	642	597	0	N	
compromise-N	20	10	9	3	0	0	0	0	N	
consonant-J	3	9	9	3	0	0	0	0	J	
tried-V	170	5	4	1	597	0	303	0	V	
coward-V	8	6	4	2	0	0	0	0	V	
greater-A	188	7	6	2	0	0	0	0	A	
