word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
outward-J	10	7	5	2	0	0	0	0	J	
banner-V	8	6	5	2	381	567	569	0	V	
thrust-V	22	6	5	1	0	0	0	0	V	
fishpond-N	1	8	7	2	0	0	0	0	N	
gab-N	1	3	3	1	0	0	0	0	N	
morose-J	2	6	5	2	0	0	0	0	J	
rescue-N	15	6	6	2	532	373	456	367	N	
hug-N	3	3	3	1	0	0	0	0	N	
inventor-N	7	8	7	3	0	0	0	0	N	
tower-V	13	5	4	2	463	585	596	353	V	
clan-J	2	4	4	1	0	0	0	0	J	
sneezing-V	1	8	6	2	0	0	0	0	V	
ramble-V	3	6	5	2	0	0	0	0	V	
cheese-N	9	6	3	1	588	624	592	211	N	
accord-N	9	6	4	2	418	299	248	0	N	
vernal-J	1	6	4	2	0	0	0	0	J	
beggar-V	2	6	5	2	435	533	593	364	V	
corral-V	5	6	5	2	0	0	0	0	V	
bonus-J	2	5	5	2	539	0	397	0	J	
rampage-N	1	7	6	2	0	0	0	0	N	
mound-V	11	5	4	1	0	0	0	0	V	
hardy-N	42	5	4	2	0	0	0	0	N	
adjacent-J	12	8	7	3	0	0	0	0	J	
gothic-J	4	6	5	2	0	0	0	0	J	
smart-N	21	5	4	1	602	304	396	0	N	
girdle-N	2	6	4	2	488	570	559	0	N	
therefrom-A	5	9	6	2	0	0	0	0	A	
nazi-N	13	4	5	2	0	0	0	0	N	
savvy-N	1	5	4	2	0	0	0	0	N	
hermetic-N	1	8	7	3	0	0	0	0	N	
crepe-N	1	5	4	1	0	0	0	0	N	
dusk-V	9	4	4	1	474	455	575	425	V	
stealer-N	1	7	5	2	0	0	0	0	N	
scarlet-V	3	7	6	2	428	519	587	0	V	
ruddy-V	3	5	4	2	0	0	0	0	V	
silver-N	29	6	5	2	528	564	582	317	N	
weigh-N	4	5	2	1	536	363	411	0	N	
cole-N	1	4	3	1	0	0	0	0	N	
owing-J	4	5	3	2	0	0	0	0	J	
abduction-N	1	9	8	3	413	337	463	0	N	
dispel-V	3	6	6	2	0	0	0	0	V	
hyperbolic-J	2	10	9	4	0	0	0	0	J	
apathy-N	3	6	5	3	472	364	376	0	N	
removable-J	1	9	8	4	0	0	0	0	J	
cur-N	1	3	2	1	0	0	0	0	N	
viewer-N	4	6	4	2	0	0	0	0	N	
clearing-V	16	8	6	2	0	0	0	0	V	
midway-R	8	6	5	2	0	0	0	0	R	
bonus-N	2	5	5	2	539	0	397	0	N	
tribe-N	4	5	4	1	503	504	515	0	N	
pallet-N	1	6	5	2	0	0	0	0	N	
inaction-N	6	8	7	3	327	297	270	589	N	
tremor-N	2	6	5	2	401	487	491	511	N	
quartz-J	1	6	5	1	0	0	0	0	J	
tub-V	13	3	3	1	0	0	0	0	V	
thug-N	1	4	3	1	0	0	0	0	N	
uptown-A	5	6	5	2	0	0	0	0	A	
clod-V	1	4	4	1	0	0	0	0	V	
germ-V	3	4	3	1	523	464	442	319	V	
bran-V	1	4	4	1	0	0	0	0	V	
sabine-N	2	6	5	2	0	0	0	0	N	
insulin-N	3	7	8	3	0	0	0	0	N	
deathbed-N	2	8	6	2	0	0	0	0	N	
anguish-V	8	7	6	2	0	0	0	0	V	
biceps-N	3	6	6	2	0	0	0	0	N	
peeled-V	5	6	4	2	0	0	0	0	V	
bale-V	5	4	3	1	386	462	473	0	V	
gastronomy-N	1	10	10	4	0	0	0	0	N	
welding-V	2	7	6	2	0	0	0	0	V	
spoonful-N	1	8	7	2	0	0	0	0	N	
tank-V	12	4	4	1	511	581	563	0	V	
whip-N	19	4	3	1	476	570	579	397	N	
rubble-N	1	6	4	1	407	493	482	0	N	
crib-V	5	4	4	1	0	0	0	0	V	
buffoon-N	1	7	5	2	262	418	393	0	N	
jam-J	6	3	3	1	529	563	569	0	J	
poker-J	6	5	5	2	0	0	0	0	J	
immaturity-N	1	10	10	5	0	0	0	0	N	
sup-N	1	3	3	1	0	0	0	0	N	
rung-N	3	4	3	1	423	532	480	414	N	
tramp-N	1	5	5	1	0	0	0	0	N	
garter-N	2	6	4	2	0	0	0	0	N	
abbot-N	2	5	4	2	0	0	0	0	N	
trio-N	9	4	4	2	0	0	0	0	N	
beast-V	7	5	4	1	456	564	558	319	V	
mandarin-N	1	8	8	3	0	0	0	0	N	
amanuensis-N	1	10	11	5	0	0	0	0	N	
bag-V	42	3	3	1	634	603	570	217	V	
dandelion-N	1	9	9	4	513	558	579	0	N	
crested-V	1	7	7	2	0	0	0	0	V	
wash-V	37	4	3	1	632	447	522	186	V	
grizzly-J	1	7	6	2	471	443	523	0	J	
clobber-V	1	7	6	2	0	0	0	0	V	
acclaim-N	4	7	5	2	0	0	0	0	N	
fevered-J	1	7	5	2	0	0	0	0	J	
bandage-V	4	7	6	2	546	639	554	0	V	
callous-V	7	7	5	2	0	0	0	0	V	
salable-J	1	7	6	3	0	0	0	0	J	
norman-N	15	6	5	2	0	0	0	0	N	
fairness-N	6	8	5	2	0	0	0	0	N	
