word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
enquirer-N	1	8	8	4	0	0	0	0	N	
backs-N	15	5	4	1	0	0	0	0	N	
calvinist-N	1	9	9	3	0	0	0	0	N	
have-V	3941	4	3	1	597	251	271	0	V	
neutral-N	39	7	7	2	491	0	300	0	N	
put-V	437	3	3	1	539	287	263	0	V	
innovate-V	1	8	6	3	0	0	0	0	V	
much-J	937	4	4	1	584	242	332	0	J	
than-N	1789	4	3	1	545	188	213	0	N	
caribbean-J	7	9	8	4	0	0	0	0	J	
alone-J	195	5	4	2	562	390	480	0	J	
awkward-J	11	7	5	2	502	329	419	0	J	
badminton-N	1	9	9	3	0	0	0	0	N	
vitriolic-J	2	9	9	4	0	0	0	0	J	
herring-N	2	7	5	2	425	617	524	397	N	
cosmos-N	3	6	6	2	0	0	0	0	N	
without-A	583	7	5	2	577	267	302	0	A	
then-N	1377	4	3	1	610	190	204	0	N	
spear-N	7	5	3	1	513	584	545	0	N	
gear-N	26	4	2	1	437	0	0	0	N	
allot-V	1	5	4	2	0	0	0	0	V	
precinct-N	8	8	8	2	0	0	0	0	N	
souffle-J	1	7	5	1	0	0	0	0	J	
she-U	2859	3	2	1	599	406	474	0	U	
ever-N	345	4	4	2	557	299	273	0	N	
version-N	53	7	4	2	0	0	0	0	N	
vague-N	25	5	3	2	522	272	321	0	N	
exploit-V	9	7	7	2	0	0	0	0	V	
shadowing-V	5	9	6	3	0	0	0	0	V	
underwrite-V	3	10	7	3	0	0	0	0	V	
can-N	1772	3	3	1	620	365	369	0	N	
large-J	361	5	3	1	634	0	449	0	J	
down-N	895	4	3	1	546	339	459	0	N	
pill-N	15	4	3	1	556	610	580	0	N	
second-V	373	6	6	2	598	344	371	289	V	
stewardess-N	2	10	7	2	0	0	0	0	N	
incumbent-N	4	9	9	3	0	0	0	0	N	
dodger-N	1	6	4	2	0	0	0	0	N	
investment-J	43	10	10	3	0	0	0	0	J	
only-A	1747	4	4	2	600	218	255	0	A	
childish-J	11	8	7	2	539	0	417	0	J	
chromic-J	1	7	6	2	0	0	0	0	J	
them-U	1789	4	3	1	542	344	368	0	U	
these-U	1573	5	3	1	547	260	267	0	U	
high-A	497	4	2	1	612	371	463	0	A	
must-N	1013	4	4	1	589	297	247	0	N	
once-A	499	4	4	1	539	315	322	0	A	
ammunition-J	18	10	8	4	0	0	0	0	J	
toward-A	386	6	5	2	0	0	0	0	A	
wail-J	3	4	3	1	426	439	452	0	J	
belgian-J	14	7	6	2	0	0	0	0	J	
town-N	212	4	3	1	589	556	553	0	N	
sum-N	45	3	3	1	537	379	465	278	N	
assay-N	1	5	3	2	0	0	0	0	N	
city-N	393	4	4	2	616	554	605	0	N	
factory-J	32	7	7	3	562	586	608	0	J	
into-R	1791	4	4	2	584	306	259	0	R	
hand-V	431	4	4	1	601	604	598	0	V	
then-C	1377	4	3	1	610	190	204	0	C	
next-J	394	4	5	1	548	262	386	0	J	
born-V	113	4	3	1	566	336	435	0	V	
melancholy-V	9	10	9	4	431	329	370	0	V	
cut-N	192	3	3	1	581	430	460	0	N	
colonnade-N	3	9	7	3	0	0	0	0	N	
amount-N	172	6	5	2	583	335	316	392	N	
personal-N	196	8	5	3	559	311	408	0	N	
numb-N	4	4	3	1	487	379	477	0	N	
formative-J	2	9	7	3	0	0	0	0	J	
roost-V	1	5	4	1	0	0	0	0	V	
underneath-A	11	10	7	3	0	0	0	0	A	
mulch-V	6	5	4	1	0	0	0	0	V	
peppery-J	3	7	6	3	0	0	0	0	J	
ship-N	83	4	3	1	553	615	612	249	N	
extra-J	50	5	6	2	570	262	337	331	J	
pleasance-N	1	9	7	2	0	0	0	0	N	
platform-V	72	8	7	2	498	547	529	386	V	
consonance-N	1	10	9	3	0	0	0	0	N	
two-J	1412	3	2	1	596	383	445	0	J	
lecturer-N	6	8	8	3	574	561	551	0	N	
fay-V	1	3	2	1	0	0	0	0	V	
inventive-J	3	9	8	3	0	0	0	0	J	
careless-J	8	8	5	3	508	0	361	0	J	
some-U	1617	4	3	1	578	286	302	0	U	
state-N	808	5	4	1	560	440	511	0	N	
huddle-V	4	6	4	2	0	0	0	0	V	
ill-A	39	3	2	1	0	0	0	0	A	
mops-V	1	4	4	1	0	0	0	0	V	
without-C	583	7	5	2	577	267	302	0	C	
before-N	1016	6	5	2	583	261	255	0	N	
ripple-V	5	6	4	2	0	0	0	0	V	
back-A	967	4	3	1	587	540	483	225	A	
this-A	5146	4	3	1	601	240	279	0	A	
ground-V	186	6	5	1	574	558	513	258	V	
near-V	198	4	2	1	582	337	408	0	V	
illusory-J	2	8	7	4	0	0	0	0	J	
stitch-V	3	6	5	1	0	0	0	0	V	
artery-V	46	6	5	3	0	0	0	0	V	
lost-N	173	4	4	1	0	0	0	0	N	
spindle-N	8	7	6	2	0	0	0	0	N	
little-N	831	6	4	1	594	378	502	0	N	
