numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
198	718	adherent	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	64	8	0	1	low	low3	4	40	1	2	41	42	43	44	
15185	50575	promoter	51	51	41	51	41	1	1.716	0.48879	1.6232	Noun	51	1	3.0078	3	101.57	8	3	1	low	low3	4	40	1	2	41	42	43	44	
13727	46017	palmetto	4	4	3	3	2	0.078431	0.69897	0.035765	0.60206	Noun	4	1	1.9908	3	33.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
7309	24711	flattery	70	70	65	53	49	1.3725	1.8513	0.77492	1.8195	Noun	70	1	3.1431	3	85.14	8	1	1	low	low3	4	40	1	2	41	42	43	44	
13311	44461	olds	24	24	24	18	18	0.47059	1.3979	0.28612	1.3979	Noun	24	1	2.6898	1	7.33	4	1	1	low	low1	3	30	1	2	31	32	33	34	
10628	36063	labs	208	208	137	173	117	4.0784	2.3201	1.6333	2.1399	Noun	208	1	3.612	1	21	4	11	1	low	low1	3	30	1	2	31	32	33	34	
16350	55532	roofs	62	62	54	62	54	1.2157	1.7993	0.64378	1.7404	Noun	62	1	3.0912	1	27.25	5	4	1	low	low1	3	30	1	2	31	32	33	34	
6426	21668	enlarger	7	7	4	6	4	0.13725	0.90309	0.047687	0.69897	Noun	7	1	2.1949	3	55.57	8	2	1	low	low3	4	40	1	2	41	42	43	44	
1729	5513	beholder	15	15	15	15	15	0.29412	1.2041	0.17883	1.2041	Noun	15	1	2.496	3	55.71	8	1	1	low	low3	4	40	1	2	41	42	43	44	
20399	70593	utensil	12	12	9	12	9	0.23529	1.1139	0.1073	1	Noun	12	1	2.4058	3	12.67	7	0	1	low	low3	4	40	1	2	41	42	43	44	
