numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
17050	57714	selfs	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	1	21.25	5	2	1	low	low1	3	30	1	2	31	32	33	34	
15526	51774	quilt	39	39	34	39	34	0.76471	1.6021	0.40534	1.5441	Noun	39	1	2.8939	1	25	5	5	1	low	low1	3	30	1	2	31	32	33	34	
20042	68094	tuft	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	1	10.67	4	0	1	low	low1	3	30	1	2	31	32	33	34	
17666	59787	sleepovers	25	25	22	23	21	0.4902	1.415	0.26228	1.3617	Noun	25	1	2.7068	3	30.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
16474	55920	runaways	41	41	38	33	31	0.80392	1.6232	0.45303	1.5911	Noun	41	1	2.9151	3	25.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
9816	33083	infamy	22	22	20	22	20	0.43137	1.3617	0.23844	1.3222	Noun	22	1	2.6536	3	20.4	6	0	1	low	low3	4	40	1	2	41	42	43	44	
11665	39172	maritimes	3	3	2	0	0	0.058824	0.60206	0.023844	0.47712	Noun	3	1	1.8939	3	94.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
14070	46944	pedestal	67	67	44	66	43	1.3137	1.8325	0.52456	1.6532	Noun	67	1	3.1243	3	55.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
18546	63111	studs	50	50	39	47	37	0.98039	1.7076	0.46495	1.6021	Noun	50	1	2.9994	1	40.5	5	3	1	low	low1	3	30	1	2	31	32	33	34	
14181	47313	peridot	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	41.67	7	0	1	low	low3	4	40	1	2	41	42	43	44	
