word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
wig-V	1	3	3	1	518	618	587	0	V	
ewe-V	1	3	2	1	341	538	481	378	V	
keg-J	2	3	3	1	300	586	606	0	J	
genre-N	2	5	1	1	0	0	0	0	N	
rash-N	1	4	3	1	485	523	520	0	N	
maw-N	2	3	2	1	0	0	0	0	N	
ugh-N	1	3	2	1	0	0	0	0	N	
brig-N	2	4	4	1	0	0	0	0	N	
womb-V	1	4	3	1	508	538	529	0	V	
beck-N	1	4	3	1	0	0	0	0	N	
gut-N	1	3	3	1	0	0	0	0	N	
fade-V	2	4	3	1	0	0	0	0	V	
toil-V	1	4	3	1	468	386	393	0	V	
vet-V	1	3	3	1	456	485	494	0	V	
gob-V	1	3	3	1	0	0	0	0	V	
tee-N	5	3	2	1	0	0	0	0	N	
tug-N	3	3	3	1	0	0	0	0	N	
orb-N	1	3	2	1	0	0	0	0	N	
flip-J	4	4	4	1	0	0	0	0	J	
lame-V	2	4	3	1	0	0	0	0	V	
kin-J	2	3	3	1	0	0	0	0	J	
nigh-V	1	4	2	1	0	0	0	0	V	
carte-N	1	5	3	1	0	0	0	0	N	
fay-V	1	3	2	1	0	0	0	0	V	
flea-N	2	4	3	1	515	625	606	0	N	
zip-V	1	3	3	1	0	0	0	0	V	
fir-N	2	3	2	1	407	442	461	0	N	
dun-J	1	3	3	1	0	0	0	0	J	
evade-V	1	5	4	2	0	0	0	0	V	
wow-N	1	3	2	1	0	0	0	0	N	
gob-N	1	3	3	1	0	0	0	0	N	
glib-V	1	4	4	1	0	0	0	0	V	
muck-V	1	4	3	1	0	0	0	0	V	
tow-J	1	3	2	1	468	409	406	0	J	
ebb-N	1	3	2	1	0	0	0	0	N	
curd-N	2	4	3	1	0	0	0	0	N	
urn-N	2	3	2	1	369	551	510	442	N	
parley-V	1	6	4	2	0	0	0	0	V	
rap-N	2	3	3	1	501	404	388	0	N	
ere-R	1	3	1	1	0	0	0	0	R	
nay-N	2	3	2	1	0	0	0	0	N	
oft-A	1	3	3	1	0	0	0	0	A	
toy-N	4	3	2	1	550	567	569	164	N	
prow-J	1	4	3	1	252	485	307	583	J	
shiny-J	3	5	4	2	541	411	537	0	J	
beige-J	1	5	3	1	0	0	0	0	J	
yon-A	1	3	3	1	0	0	0	0	A	
titter-V	1	6	4	2	0	0	0	0	V	
fain-A	1	4	3	1	0	0	0	0	A	
hoy-N	1	3	2	1	0	0	0	0	N	
pluck-V	2	5	4	1	0	0	0	0	V	
harp-N	1	4	3	1	430	591	621	0	N	
lob-N	1	3	3	1	0	0	0	0	N	
lag-J	3	3	3	1	0	0	0	0	J	
gild-N	1	4	4	1	0	0	0	0	N	
ooze-N	2	4	2	1	0	0	0	0	N	
owl-V	2	3	2	1	477	614	595	269	V	
prep-N	2	4	4	1	0	0	0	0	N	
gnaw-V	1	4	2	1	0	0	0	0	V	
yawl-V	1	4	3	1	0	0	0	0	V	
yon-U	1	3	3	1	0	0	0	0	U	
boo-V	1	3	2	1	0	0	0	0	V	
clinch-N	2	6	5	1	474	369	423	0	N	
wreak-V	1	5	3	1	0	0	0	0	V	
ike-N	4	3	2	1	0	0	0	0	N	
deft-J	2	4	4	1	0	0	0	0	J	
flop-N	1	4	4	1	0	0	0	0	N	
haw-N	1	3	2	1	0	0	0	0	N	
mew-V	1	3	3	1	0	0	0	0	V	
err-V	1	3	2	1	0	0	0	0	V	
mid-N	2	3	3	1	0	0	0	0	N	
biz-N	2	3	3	1	0	0	0	0	N	
whoop-V	1	5	3	1	320	383	426	414	V	
weir-N	2	4	2	1	0	0	0	0	N	
wade-N	2	4	3	1	0	0	0	0	N	
aye-N	1	3	1	1	333	233	255	0	N	
buss-N	1	4	3	1	0	0	0	0	N	
cur-N	1	3	2	1	0	0	0	0	N	
pap-N	1	3	3	1	0	0	0	0	N	
boar-N	1	4	2	1	455	558	524	0	N	
yea-V	3	3	2	1	0	0	0	0	V	
aye-A	1	3	1	1	333	233	255	0	A	
hash-V	1	4	3	1	0	0	0	0	V	
jowl-V	2	4	3	1	0	0	0	0	V	
gauze-N	1	5	3	1	0	0	0	0	N	
bough-V	2	5	2	1	0	0	0	0	V	
dole-N	1	4	3	1	0	0	0	0	N	
feeder-N	2	6	4	2	0	0	0	0	N	
wee-N	5	3	2	1	0	0	0	0	N	
pate-N	2	4	3	1	0	0	0	0	N	
kin-N	2	3	3	1	0	0	0	0	N	
gym-N	2	3	3	1	547	597	613	0	N	
hump-J	2	4	4	1	439	507	515	369	J	
vet-N	1	3	3	1	456	485	494	0	N	
lop-V	1	3	3	1	0	0	0	0	V	
bug-N	4	3	3	1	0	0	0	0	N	
boar-V	1	4	3	1	455	558	524	0	V	
lava-N	1	4	4	2	0	0	0	0	N	
bock-N	1	4	3	1	0	0	0	0	N	
wry-A	5	3	2	1	0	0	0	0	A	
