word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
more-R	2216	4	2	1	612	284	264	0	R	
even-J	1171	4	4	2	576	283	338	0	J	
with-R	7289	4	3	1	608	268	287	0	R	
him-N	2619	3	3	1	613	368	421	0	N	
who-U	2252	3	2	1	599	234	261	0	U	
but-U	4381	3	3	1	603	227	206	0	U	
was-V	9816	3	3	1	604	194	264	0	V	
into-R	1791	4	4	2	584	306	259	0	R	
his-U	6997	3	3	1	614	320	337	0	U	
have-N	3941	4	3	1	597	251	271	0	N	
not-V	4609	3	3	1	565	273	253	0	V	
all-N	3001	3	2	1	582	267	332	0	N	
not-A	4609	3	3	1	565	273	253	0	A	
could-V	1599	5	3	1	622	0	210	0	V	
only-C	1747	4	4	2	600	218	255	0	C	
she-N	2859	3	2	1	599	406	474	0	N	
were-V	3284	4	2	1	593	200	243	0	V	
new-A	1635	3	3	1	614	348	418	0	A	
are-N	4393	3	1	1	564	195	262	0	N	
for-R	9489	3	2	1	603	245	216	0	R	
was-N	9816	3	3	1	604	194	264	0	N	
said-J	1961	4	3	1	600	306	313	0	J	
this-J	5146	4	3	1	601	240	279	0	J	
you-N	3286	3	2	1	632	370	400	0	N	
has-V	2439	3	3	1	585	267	271	0	V	
but-N	4381	3	3	1	603	227	206	0	N	
will-J	2244	4	3	1	584	275	322	0	J	
one-J	3292	3	3	1	613	379	432	0	J	
one-U	3292	3	3	1	613	379	432	0	U	
one-V	3292	3	3	1	613	379	432	0	V	
first-A	1360	5	4	1	590	311	388	0	A	
over-N	1236	4	4	2	589	287	327	0	N	
one-N	3292	3	3	1	613	379	432	0	N	
but-V	4381	3	3	1	603	227	206	0	V	
out-R	2096	3	2	1	608	249	330	0	R	
any-A	1345	3	3	2	542	222	206	0	A	
but-R	4381	3	3	1	603	227	206	0	R	
from-R	4369	4	4	1	612	197	239	0	R	
and-A	28852	3	3	1	620	220	226	0	A	
but-J	4381	3	3	1	603	227	206	0	J	
not-N	4609	3	3	1	565	273	253	0	N	
all-J	3001	3	2	1	582	267	332	0	J	
this-A	5146	4	3	1	601	240	279	0	A	
when-N	2331	4	3	1	609	219	231	0	N	
then-C	1377	4	3	1	610	190	204	0	C	
some-A	1617	4	3	1	578	286	302	0	A	
him-U	2619	3	3	1	613	368	421	0	U	
with-N	7289	4	3	1	608	268	287	0	N	
she-U	2859	3	2	1	599	406	474	0	U	
there-N	2724	5	3	1	603	216	283	0	N	
and-C	28852	3	3	1	620	220	226	0	C	
his-N	6997	3	3	1	614	320	337	0	N	
would-V	2714	5	3	1	588	202	211	0	V	
that-J	10595	4	3	1	611	232	225	0	J	
which-U	3562	5	4	1	555	215	257	0	U	
this-U	5146	4	3	1	601	240	279	0	U	
from-A	4369	4	4	1	612	197	239	0	A	
about-R	1815	5	4	2	593	227	225	0	R	
and-N	28852	3	3	1	620	220	226	0	N	
there-A	2724	5	2	1	603	216	283	0	A	
out-J	2096	3	2	1	608	249	330	0	J	
not-J	4609	3	3	1	565	273	253	0	J	
even-N	1171	4	4	2	576	283	338	0	N	
all-A	3001	3	2	1	582	267	332	0	A	
will-N	2244	4	3	1	584	275	322	0	N	
but-C	4381	3	3	1	603	227	206	0	C	
but-A	4381	3	3	1	603	227	206	0	A	
what-N	1908	4	3	1	608	293	249	0	N	
would-N	2714	5	3	1	588	202	211	0	N	
you-U	3286	3	2	1	632	370	400	0	U	
their-U	2670	5	2	1	607	257	255	0	U	
from-C	4369	4	4	1	612	197	239	0	C	
will-V	2244	4	3	1	584	275	322	0	V	
new-V	1635	3	3	1	614	348	418	0	V	
about-A	1815	5	4	2	593	227	225	0	A	
when-A	2331	4	3	1	609	219	231	0	A	
had-V	5133	3	3	1	570	253	296	0	V	
that-A	10595	4	3	1	611	232	225	0	A	
been-V	2472	4	3	1	567	215	222	0	V	
can-V	1772	3	3	1	620	365	369	0	V	
her-U	3037	3	2	1	569	419	464	0	U	
that-U	10595	4	3	1	611	232	225	0	U	
will-V	2244	4	3	1	584	275	322	0	V	
more-J	2216	4	3	1	612	284	264	0	J	
when-C	2331	4	3	1	609	219	231	0	C	
and-R	28852	3	3	1	620	220	226	0	R	
his-J	6997	3	3	1	614	320	337	0	J	
have-V	3941	4	3	1	597	251	271	0	V	
over-J	1236	4	4	2	589	287	327	0	J	
which-J	3562	5	3	1	555	215	257	0	J	
other-U	1702	5	4	2	581	275	265	0	U	
that-C	10595	4	3	1	611	232	225	0	C	
the-A	69971	3	2	1	625	237	209	0	A	
the-J	69971	3	2	1	625	237	209	0	J	
for-C	9489	3	2	1	603	245	216	0	C	
their-J	2670	5	2	1	607	257	255	0	J	
they-U	3618	4	2	1	607	316	312	0	U	
when-U	2331	4	3	1	609	219	231	0	U	
all-U	3001	3	2	1	582	267	332	0	U	
also-A	1069	4	4	2	552	194	264	0	A	
