word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
beck-N	1	4	3	1	0	0	0	0	N	
gut-V	1	3	3	1	0	0	0	0	V	
shit-V	2	4	3	1	0	0	0	0	V	
rut-V	1	3	3	1	0	0	0	0	V	
ebb-N	1	3	2	1	0	0	0	0	N	
czar-N	1	4	2	1	0	0	0	0	N	
wow-V	1	3	2	1	0	0	0	0	V	
bade-V	1	4	3	1	0	0	0	0	V	
mould-N	1	5	4	1	0	0	0	0	N	
ewe-J	1	3	2	1	341	538	481	378	J	
poke-V	1	4	3	1	0	0	0	0	V	
ere-J	1	3	2	1	0	0	0	0	J	
gob-J	1	3	3	1	0	0	0	0	J	
peep-V	2	4	3	1	418	388	437	289	V	
aye-N	1	3	1	1	333	233	255	0	N	
fir-N	2	3	2	1	407	442	461	0	N	
pun-N	1	3	3	1	0	0	0	0	N	
dung-N	2	4	3	1	0	0	0	0	N	
yon-U	1	3	3	1	0	0	0	0	U	
ere-A	1	3	1	1	0	0	0	0	A	
skate-V	1	5	4	1	534	562	563	0	V	
sham-N	1	4	3	1	0	0	0	0	N	
pal-N	2	3	3	1	0	0	0	0	N	
tote-N	1	4	3	1	0	0	0	0	N	
thug-V	1	4	3	1	0	0	0	0	V	
hap-V	1	3	3	1	0	0	0	0	V	
gist-N	1	4	4	1	322	273	262	0	N	
ire-N	1	3	2	2	0	0	0	0	N	
homo-N	1	4	4	2	0	0	0	0	N	
squeal-V	1	6	5	1	0	0	0	0	V	
mauve-J	1	5	3	1	0	0	0	0	J	
rib-N	1	3	3	1	536	599	586	0	N	
rap-N	2	3	3	1	501	404	388	0	N	
whirl-V	3	5	3	1	423	402	499	364	V	
tat-N	1	3	3	1	0	0	0	0	N	
thong-V	1	5	3	1	335	543	448	553	V	
woe-J	5	3	2	1	359	252	348	461	J	
mag-N	1	3	3	1	0	0	0	0	N	
tow-N	1	3	2	1	468	409	406	0	N	
bye-N	2	3	2	1	0	0	0	0	N	
quiz-N	2	4	4	1	0	0	0	0	N	
wold-N	1	4	4	1	0	0	0	0	N	
jab-V	1	3	3	1	0	0	0	0	V	
yolk-N	1	4	3	1	471	593	530	0	N	
lop-N	1	3	3	1	0	0	0	0	N	
swum-V	1	4	4	1	0	0	0	0	V	
dew-N	3	3	3	1	427	578	559	331	N	
err-N	1	3	2	1	0	0	0	0	N	
nil-N	1	3	3	1	0	0	0	0	N	
rye-N	4	3	2	1	388	600	459	500	N	
gut-N	1	3	3	1	0	0	0	0	N	
vow-V	2	3	2	1	463	329	389	458	V	
whoop-V	1	5	3	1	320	383	426	414	V	
fay-N	1	3	2	1	0	0	0	0	N	
urn-N	2	3	2	1	369	551	510	442	N	
hun-N	2	3	3	1	0	0	0	0	N	
elk-N	1	3	3	1	0	0	0	0	N	
aye-A	1	3	1	1	333	233	255	0	A	
ache-N	4	4	3	1	523	443	443	0	N	
shod-V	2	4	3	1	0	0	0	0	V	
boo-N	1	3	2	1	0	0	0	0	N	
haw-N	1	3	2	1	0	0	0	0	N	
orb-N	1	3	2	1	0	0	0	0	N	
viva-V	1	4	4	2	0	0	0	0	V	
hue-N	1	3	3	1	404	388	399	544	N	
ana-N	1	3	3	2	0	0	0	0	N	
fray-V	1	4	3	1	0	0	0	0	V	
whiff-V	1	5	3	1	426	413	461	0	V	
vet-V	1	3	3	1	456	485	494	0	V	
rut-N	1	3	3	1	0	0	0	0	N	
miner-N	1	5	4	2	521	551	569	0	N	
pert-A	2	4	3	1	0	0	0	0	A	
cud-N	1	3	3	1	0	0	0	0	N	
bough-N	2	5	2	1	0	0	0	0	N	
yon-A	1	3	3	1	0	0	0	0	A	
avid-J	1	4	4	2	354	275	325	0	J	
haw-V	1	3	2	1	0	0	0	0	V	
whoop-N	1	5	3	1	320	383	426	414	N	
lope-N	2	4	3	1	0	0	0	0	N	
wig-N	1	3	3	1	518	618	587	0	N	
titter-N	1	6	4	2	0	0	0	0	N	
prowl-V	2	5	4	1	0	0	0	0	V	
tow-V	1	3	2	1	468	409	406	0	V	
nab-N	1	3	3	1	0	0	0	0	N	
wreak-N	1	5	3	1	0	0	0	0	N	
kit-N	2	3	3	1	0	0	0	0	N	
phi-N	2	3	2	1	0	0	0	0	N	
awe-N	5	3	1	1	0	0	0	0	N	
pal-V	2	3	3	1	0	0	0	0	V	
flounder-V	1	8	6	2	0	0	0	0	V	
fay-J	1	3	2	1	0	0	0	0	J	
horde-V	2	5	3	1	0	0	0	0	V	
claps-N	2	5	5	1	0	0	0	0	N	
zip-V	1	3	3	1	0	0	0	0	V	
nay-N	2	3	2	1	0	0	0	0	N	
sip-V	2	3	3	1	0	0	0	0	V	
forgo-V	1	5	4	2	0	0	0	0	V	
knead-V	1	5	3	1	0	0	0	0	V	
leet-N	1	4	3	1	0	0	0	0	N	
kin-N	2	3	3	1	0	0	0	0	N	
