numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
18521	18520	underpants	69070	150	102	130	92	2.9412	2.179	1.216	2.0128	Noun	143	0.95333	3.4708	3	70.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_18521_underpants_low3	3500	11500
6793	6792	food	25238	7876	3605	7355	3494	154.4314	3.8964	42.9781	3.557	Noun	7869	0.99975	5.1882	1	28.33	4	10	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_6793_food_high1	3300	11300
12316	12315	overdose	45388	136	100	115	90	2.6667	2.1367	1.1922	2.0043	Noun	112	0.82353	3.4286	3	37.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_12316_overdose_low3	3200	11200
5833	5832	enterprise	21782	413	164	139	124	8.098	2.617	1.9552	2.2175	Noun	411	0.99757	3.9088	3	63	10	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_5833_enterprise_high3	3300	11300
10919	10918	meteor	40250	180	68	163	62	3.5294	2.2577	0.81068	1.8388	Noun	179	0.99444	3.5495	3	34.2	6	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_10919_meteor_low3	3500	11500
2200	2199	brunch	8148	189	107	180	102	3.7059	2.2788	1.2756	2.0334	Noun	139	0.73545	3.5706	1	38.6	6	2	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_2200_brunch_low1	3450	11450
14798	14797	rhyme	54988	225	160	225	160	4.4118	2.3541	1.9075	2.2068	Noun	141	0.62946	3.6459	1	5.25	5	1	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_14798_rhyme_low1	3400	11400
810	809	assistant	3503	1643	977	1414	861	32.2157	3.2159	11.6476	2.9903	Noun	1095	0.6685	4.5077	3	57.13	9	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_810_assistant_high3	3500	11500
6079	6078	exhibit	22795	388	239	288	196	7.6078	2.5899	2.8493	2.3802	Noun	277	0.71762	3.8818	3	16.5	7	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_6079_exhibit_high3	3250	11250
8885	8884	indictment	32901	126	87	124	86	2.4706	2.1038	1.0372	1.9445	Noun	126	1	3.3956	3	70.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_8885_indictment_low3	3200	11200
15493	15492	scroll	57271	116	48	102	39	2.2745	2.0682	0.57225	1.6902	Noun	103	0.88793	3.36	1	26.8	6	1	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_15493_scroll_low1	3250	11250
33	32	acceptance	327	161	140	150	134	3.1569	2.2095	1.6691	2.1492	Noun	162	1	3.5013	3	42.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_33_acceptance_low3	3400	11400
10308	10307	loyalty	38101	595	437	543	408	11.6667	2.7752	5.2098	2.6415	Noun	595	1	4.0671	3	27.67	7	2	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_10308_loyalty_high3	3200	11200
12805	12804	penalty	47060	464	307	449	301	9.098	2.6675	3.66	2.4886	Noun	464	1	3.9593	3	47	7	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_12805_penalty_high3	3300	11300
2744	2743	carrier	9780	326	160	282	151	6.3922	2.5145	1.9075	2.2068	Noun	326	1	3.8064	3	151.5	7	4	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_2744_carrier_high3	3250	11250
1658	1657	bleach	6478	118	71	110	70	2.3137	2.0755	0.84645	1.8573	Noun	84	0.70588	3.3674	1	37.4	6	1	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_1658_bleach_low1	3500	11500
3652	3651	companion	12939	323	247	302	239	6.3333	2.5105	2.9447	2.3945	Noun	324	1	3.8024	3	108	9	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_3652_companion_high3	3400	11400
11394	11393	moth	41781	116	69	91	65	2.2745	2.0682	0.8226	1.8451	Noun	114	0.98276	3.36	1	17	4	5	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_11394_moth_low1	3400	11400
2096	2095	brew	7831	128	91	119	85	2.5098	2.1106	1.0849	1.9638	Noun	83	0.64844	3.4024	1	13	4	6	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_2096_brew_low1	3500	11500
3152	3151	chimp	11109	153	57	150	57	3	2.1875	0.67954	1.7634	Noun	142	0.9281	3.4794	1	30	5	4	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_3152_chimp_low1	3300	11300
1436	1435	believer	5565	174	139	168	136	3.4118	2.243	1.6571	2.1461	Noun	174	1	3.5349	3	64	8	2	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_1436_believer_low3	3250	11250
12689	12688	patriot	46702	133	95	91	66	2.6078	2.1271	1.1326	1.9823	Noun	129	0.96992	3.4189	3	60	7	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_12689_patriot_low3	3350	11350
17053	17052	studio	63106	1190	566	1071	517	23.3333	3.0759	6.7477	2.7536	Noun	1187	0.99832	4.3677	3	30.8	6	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_17053_studio_high3	3300	11300
4499	4498	dash	16266	308	220	250	201	6.0392	2.49	2.6228	2.3444	Noun	206	0.66883	3.7818	1	27	4	10	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_4499_dash_high1	3500	11500
2029	2028	brake	7628	305	196	252	173	5.9804	2.4857	2.3367	2.2945	Noun	216	0.72241	3.7776	1	38.5	5	4	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_2029_brake_high1	3450	11450
16356	16355	sock	60575	458	302	383	276	8.9804	2.6618	3.6004	2.4814	Noun	336	0.73362	3.9536	1	27.33	4	12	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_16356_sock_high1	3250	11250
18932	18931	vogue	71593	119	61	24	11	2.3333	2.0792	0.72723	1.7924	Noun	118	1	3.371	1	11.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_18932_vogue_low1	3250	11250
531	530	antidote	2497	221	82	213	81	4.3333	2.3464	0.97759	1.9191	Noun	222	1	3.6382	3	44	8	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_531_antidote_low3	3500	11500
1654	1653	blaze	6468	107	77	88	72	2.098	2.0334	0.91798	1.8921	Noun	80	0.74766	3.3253	1	30	5	5	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_1654_blaze_low1	3350	11350
7738	7737	grove	28588	197	101	59	40	3.8627	2.2967	1.2041	2.0086	Noun	170	0.86294	3.5885	1	39.25	5	5	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_7738_grove_low1	3450	11450
3213	3212	chum	11447	156	94	132	91	3.0588	2.1959	1.1206	1.9777	Noun	151	0.96795	3.4877	1	10.33	4	2	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_3213_chum_low1	3500	11500
4260	4259	crunch	15497	179	125	105	87	3.5098	2.2553	1.4902	2.1004	Noun	108	0.60674	3.5471	1	39.8	6	1	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_4260_crunch_low1	3350	11350
18988	18987	wage	71782	159	142	158	141	3.1176	2.2041	1.6929	2.1553	Noun	126	0.79245	3.496	1	20.67	4	11	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_18988_wage_low1	3300	11300
11159	11158	mist	41060	181	121	144	100	3.549	2.2601	1.4425	2.0864	Noun	173	0.9558	3.5519	1	25.33	4	8	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_11159_mist_low1	3450	11450
7048	7047	fugitive	26219	264	195	249	185	5.1765	2.4232	2.3247	2.2923	Noun	262	1	3.7151	3	64.71	8	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_7048_fugitive_high3	3500	11500
3045	3044	chase	10746	1673	944	894	743	32.8039	3.2238	11.2542	2.9754	Noun	842	0.50389	4.5156	1	44.25	5	4	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_3045_chase_high1	3450	11450
12683	12682	patio	46685	133	108	125	103	2.6078	2.1271	1.2876	2.0374	Noun	132	0.99248	3.4189	3	30	5	1	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_12683_patio_low3	3300	11300
10043	10042	limb	37301	238	195	237	194	4.6667	2.3784	2.3247	2.2923	Noun	238	1	3.6702	1	15	4	3	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_10043_limb_high1	3200	11200
16820	16819	steam	62258	686	408	606	393	13.451	2.837	4.8641	2.6117	Noun	665	0.9708	4.1288	1	35.75	5	3	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_16820_steam_high1	3250	11250
